<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
A,20051031,4.2,4.2,3.98,4.02,118200
ABC,20051031,7,7,7,7,100
ACC,20051031,2.74,2.74,2.66,2.74,207000
ADAM,20051031,0.9474,0.9559,0.939,0.9474,2377907
ADVANC,20051031,100,100,98.5,100,4192700
AEC,20051031,5.85,5.85,5.75,5.75,189800
AEONTS,20051031,32.5,32.5,32,32,381900
AH,20051031,23.8,24.9,23.8,24.6,1088200
AIT,20051031,9.2,9.2667,9.2,9.2,24900
AJ,20051031,3.44,3.5,3.44,3.5,27100
AMANAH,20051031,0.96,0.96,0.96,0.96,327700
AMARIN,20051031,9.95,9.95,9.95,9.95,17600
AMATA,20051031,12.8,12.8,12.7,12.8,570200
AMC,20051031,4.827,4.827,4.827,4.827,36395
AOT,20051031,50.5,50.5,49.75,50.5,574200
AP,20051031,3.44,3.44,3.34,3.38,1429000
APURE,20051031,2.6311,2.7378,2.6311,2.7378,1281937
AQ,20051031,3.2949,3.351,3.22,3.2387,1907170
ASIAN,20051031,4.78,4.8,4.78,4.8,161400
ASP,20051031,4.7,4.7,4.62,4.7,8646100
AYUD,20051031,15.6,15.6,15.6,15.6,10100
BAFS,20051031,7.4141,7.4557,7.4141,7.4141,24848
BANPU,20051031,141,142,140,140,792000
BAT-3K,20051031,60,60,60,60,19100
BAY,20051031,12.3,12.4,12.2,12.4,950300
BBL,20051031,97,98,96.5,98,1873200
BCH,20051031,1.6229,1.6229,1.6,1.6,200500
BCP,20051031,14.3,14.4,14.3,14.4,72200
BDMS,20051031,20.9,20.9,20.8,20.9,164600
BEC,20051031,15,15.2,15,15,265800
BFIT,20051031,12.75,12.875,12.75,12.875,691200
BH,20051031,26.75,26.75,26.5,26.75,87100
BIGC,20051031,26.25,27.5,26.25,27.5,65400
BJC,20051031,5.1,5.1,5.1,5.1,5000
BKI,20051031,168,168,168,168,11850
BKKCP,20051031,8.3,8.3,8.3,8.3,3000
BLAND,20051031,0.59,0.59,0.57,0.57,14495000
BLISS,20051031,1.9681,2.0109,1.9539,1.9824,245800
BROOK,20051031,0.51,0.52,0.48,0.49,3637522
BTC,20051031,2.42,2.44,2.3,2.32,1919100
CCET,20051031,3.54,3.56,3.46,3.46,2215700
CCP,20051031,2.7,2.8,2.7,2.8,818800
CEN,20051031,3.9,3.92,3.66,3.7,19398500
CENTEL,20051031,3.9429,4.0524,3.9429,3.9794,4610600
CFRESH,20051031,3.3,3.36,3.3,3.36,667300
CI,20051031,3.6,3.68,3.56,3.68,8000
CIMBT,20051031,2.6593,2.6593,2.6376,2.6376,670674
CK,20051031,12.1,12.2,12,12.2,1698300
CM,20051031,2.1806,2.1806,2.1261,2.1261,35220
CNS,20051031,48.5,49.25,48.25,49,69800
CNT,20051031,3.5,3.54,3.48,3.52,261400
CPALL,20051031,5.95,6,5.95,6,4651200
CPF,20051031,5.2,5.35,5.2,5.25,36505300
CPI,20051031,4.1067,4.1067,4.1067,4.1067,38303
CPN,20051031,12.1,12.1,11.9,12,1019600
CSC,20051031,11.7,11.7,11.7,11.7,400
CSL,20051031,3.54,3.56,3.54,3.54,463300
CTW,20051031,6.9,6.9,6.8,6.8,1600
CWT,20051031,7,7,6.9,6.95,13000
DCC,20051031,17,17.2,16.9,16.9,400300
DELTA,20051031,13.9,14,13.7,13.7,327500
DRACO,20051031,1.52,1.55,1.52,1.55,2700
DTC,20051031,41.75,41.75,41.75,41.75,200
DTCI,20051031,5.2,5.4,5.1,5.4,26000
EARTH,20051031,0.54,0.58,0.53,0.58,5546500
EASTW,20051031,3.76,3.78,3.76,3.78,89300
ECL,20051031,0.89,0.92,0.89,0.92,120000
EE,20051031,1.2,1.2,1.15,1.15,26000
EGCO,20051031,74,74,73.5,74,530541
EIC,20051031,1.94,1.96,1.94,1.96,15000
EMC,20051031,2.9,2.92,2.78,2.78,465840
ERW,20051031,1.87,1.87,1.84,1.84,140000
ESTAR,20051031,0.46,0.46,0.45,0.45,392549
FANCY,20051031,4.78,4.8,4.78,4.78,73100
FC,20051031,1.1698,1.1698,1.1698,1.1698,241900
FER,20051031,2.8,2.8,2.78,2.78,296700
FNS,20051031,18.2,18.2,18,18,47000
GEL,20051031,0.93,0.93,0.9,0.9,761130
GENCO,20051031,0.78,0.78,0.77,0.77,690000
GFPT,20051031,1.43,1.48,1.43,1.44,1188000
GJS,20051031,0.61,0.61,0.59,0.6,19424600
GLAND,20051031,4.8,5,4.78,5,217200
GLOW,20051031,21.7,21.7,21.4,21.7,118400
GOLD,20051031,7.4,7.4,7.4,7.4,10000
GRAMMY,20051031,11.9,12.3,11.9,12.2,319400
GRAND,20051031,1.54,1.56,1.54,1.54,1875600
HANA,20051031,23.2,24,23.2,24,1434100
HFT,20051031,1.1,1.11,1.1,1.1,4100
HMPRO,20051031,2.0987,2.0987,2.0404,2.0404,293750
IEC,20051031,0.191,0.192,0.187,0.19,288896992
ILINK,20051031,3.6337,3.6337,3.6337,3.6337,32858
INET,20051031,3.6,3.68,3.56,3.58,3123300
INOX,20051031,1.17,1.2,1.17,1.19,8738000
INTUCH,20051031,38.25,38.5,38,38,3739000
IRC,20051031,8.15,8.15,8.15,8.15,13000
IRCP,20051031,11.7,11.7,11.5,11.5,83000
IRPC,20051031,6.6453,6.6938,6.5482,6.6453,32841728
IT,20051031,4.82,5.1,4.82,5.1,1792200
ITD,20051031,8.9,8.9,8.75,8.8,4182601
JAS,20051031,0.43,0.44,0.43,0.44,2060700
JUTHA,20051031,7.7,7.75,7.6,7.65,67700
KAMART,20051031,1.05,1.06,1.04,1.04,1661600
KBANK,20051031,59,61,59,60.5,5031484
KC,20051031,1.48,1.5,1.45,1.45,3275800
KCE,20051031,4.0757,4.1145,4.0368,4.1145,2312203
KGI,20051031,2.3,2.32,2.3,2.32,1466000
KKP,20051031,27.5,28,27.5,28,560200
KSL,20051031,7.05,7.05,7,7,185100
KTB,20051031,10.1,10.1,9.85,10,19003594
KTC,20051031,20.2,20.2,19.5,19.6,279800
KWG,20051031,2.34,2.34,2.34,2.34,10000
KYE,20051031,55,55,55,55,2000
LALIN,20051031,5.6,5.65,5.5,5.5,122600
LANNA,20051031,10.6,10.6,10.6,10.6,54700
LEE,20051031,2.98,2.98,2.98,2.98,10000
LH,20051031,7.9,7.95,7.85,7.95,864000
LOXLEY,20051031,2.02,2.02,1.99,2,4467000
LPN,20051031,3.28,3.3,3.26,3.3,2236769
LST,20051031,1.53,1.53,1.53,1.53,6900
LTX,20051031,39.5,40,39.5,40,1900
LVT,20051031,2.6805,2.7511,2.6805,2.6946,57272
M-CHAI,20051031,23.5,23.5,23.5,23.5,1000
MACO,20051031,5.25,5.25,5.15,5.15,96100
MAJOR,20051031,12.9,13,12.8,13,1167877
MAKRO,20051031,55.5,56.5,55,55,31200
MANRIN,20051031,17.6,17.6,17.6,17.6,5100
MATCH,20051031,2.12,2.12,2.1,2.1,199600
MATI,20051031,11,11,11,11,62000
MBK,20051031,43.75,43.75,43.75,43.75,7100
MBKET,20051031,28.25,28.75,28,28.75,1299800
MCOT,20051031,26.25,26.25,26,26.25,82000
MCS,20051031,2.74,2.84,2.72,2.82,27672300
METCO,20051031,280,280,280,280,2500
MFEC,20051031,4.74,4.86,4.74,4.86,361200
MIDA,20051031,2.94,2.96,2.92,2.92,4077506
