<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAY,19841018,8.7924,8.7924,8.7924,8.7924,2849
BBL,19841018,17.9919,17.9919,17.9919,17.9919,12490
BJC,19841018,1.5,1.5,1.5,1.5,13500
CTW,19841018,1.5588,1.5588,1.5588,1.5588,24027
ICC,19841018,21.659,21.659,21.659,21.659,1793
KBANK,19841018,11.9935,12.0978,11.9935,12.0978,165676
SCB,19841018,17.7324,17.7324,17.7324,17.7324,2734
SCC,19841018,4.23,4.23,4.23,4.23,1160000
SCCC,19841018,29.6272,29.6272,29.6272,29.6272,1477
SINGER,19841018,3.3199,3.3456,3.3199,3.3199,9714
SSC,19841018,1.9931,2.0034,1.9931,1.9931,29350
TCAP,19841018,0.7726,0.7726,0.7726,0.7726,248500
TMB,19841018,9.1776,9.1776,9.1776,9.1776,603
SET,19841018,133.63,133.63,133.63,133.63,949680
