<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20120322,11.84,11.85,11.77,11.77,137000
CHINA,20120322,6.11,6.11,6.07,6.07,52500
ENGY,20120322,5.59,5.59,5.49,5.49,23000
GLD,20120322,2.33,2.34,2.32,2.32,2062500
TDEX,20120322,8.62,8.69,8.53,8.56,773300
A,20120322,3.48,3.48,3.46,3.48,196000
ABC,20120322,6.1,6.1,6.1,6.1,100
ACAP,20120322,7.3,7.55,7.3,7.55,31000
ACC,20120322,3.8,3.88,3.78,3.78,327300
ADAM,20120322,0.98,1.01,0.97,0.98,1310900
ADVANC,20120322,178,182,177.5,179,4500700
AEONTS,20120322,29.5,29.75,29.25,29.25,8700
AF,20120322,18.5,18.5,18.5,18.5,100
AFC,20120322,7.95,7.95,7.8,7.8,800
AGE,20120322,6.15,6.15,6,6,10147100
AH,20120322,13.9,14,13.7,13.7,868700
AHC,20120322,109,109,107,107,2000
AI,20120322,3.1,3.12,3.1,3.1,323900
AIT,20120322,59.5,59.75,59.5,59.5,318600
AJ,20120322,16.1,16.1,15.7,15.7,2495500
AKR,20120322,0.74,0.74,0.73,0.74,947400
ALUCON,20120322,108,109,108,109,1700
AMANAH,20120322,0.96,0.97,0.95,0.95,2726500
AMARIN,20120322,13.3,13.3,13.2,13.3,321600
AMATA,20120322,16.6,16.8,16.2,16.3,10597000
AMC,20120322,1.88,1.9,1.88,1.89,406400
AOT,20120322,59.25,59.75,57,57.25,3050800
AP,20120322,6,6.1,5.85,5.85,18502700
APCO,20120322,7.4,7.45,7.2,7.2,886300
APCS,20120322,6.8,6.8,6.5,6.55,5049300
APURE,20120322,0.89,0.89,0.88,0.88,170100
AQ,20120322,0.44,0.45,0.43,0.43,9275500
AQUA,20120322,0.39,0.4,0.39,0.39,206200
ARIP,20120322,1.06,1.08,1.05,1.05,1296800
AS,20120322,15.7,15.8,15.3,15.5,192400
ASIA,20120322,34.75,34.75,34.25,34.25,5200
ASIAN,20120322,4.24,4.24,4.12,4.12,1463700
ASIMAR,20120322,1.62,1.63,1.59,1.59,2647100
ASK,20120322,12.6,12.7,12.4,12.4,1898600
ASP,20120322,2.48,2.54,2.46,2.48,65500900
AYUD,20120322,19.8,20.8,19.8,20.5,391100
BAFS,20120322,14.4,14.5,14.4,14.4,2461500
BANPU,20120322,608,616,606,608,1379300
BAT-3K,20120322,80.25,80.5,80,80,16600
BAY,20120322,27,27.5,26.5,26.75,16020800
BBL,20120322,189,190.5,186.5,187,4379700
BCH,20120322,7.6,7.6,7.25,7.3,3898100
BCP,20120322,23.5,23.9,23.1,23.2,14130900
BDMS,20120322,89.5,92.75,89.5,90.5,3647700
BEC,20120322,53,55.25,53,53,1725600
BFIT,20120322,6.45,6.5,6.35,6.35,545800
BGT,20120322,2.02,2.02,2,2,13100
BH,20120322,54,54.5,53.25,53.75,2745900
BIGC,20120322,177.5,178,172.5,173,566100
BJC,20120322,39.25,39.25,37.5,37.5,4694400
BKI,20120322,243,243,243,243,4000
BLA,20120322,45.75,46,44.5,44.5,1826000
BLAND,20120322,0.71,0.71,0.68,0.68,134883300
BOL,20120322,1.29,1.32,1.29,1.32,373200
BROCK,20120322,0.85,0.85,0.84,0.85,60200
BROOK,20120322,1.47,1.6,1.44,1.59,5717900
BSBM,20120322,1.31,1.31,1.31,1.31,115000
BSM,20120322,0.85,0.85,0.85,0.85,9500
BTC,20120322,0.36,0.36,0.35,0.35,623500
BTNC,20120322,15,15,14.9,14.9,800
BTS,20120322,0.77,0.79,0.76,0.76,431241200
BWG,20120322,1.93,1.94,1.88,1.89,28252100
CCET,20120322,2.86,2.86,2.8,2.8,3804100
CCP,20120322,2.4,2.42,2.34,2.38,552600
CEN,20120322,2.72,2.72,2.64,2.64,1704500
CENTEL,20120322,12.7,13.1,12.7,12.8,11794200
CFRESH,20120322,5.35,5.35,5.1,5.15,2161200
CGD,20120322,0.49,0.5,0.49,0.5,4020500
CHOTI,20120322,343,345,341,341,14000
CHOW,20120322,2.74,2.9,2.74,2.74,14829800
CHUO,20120322,8.8,9.15,8.8,9.15,3400
CI,20120322,3.9,3.9,3.88,3.88,30500
CIG,20120322,0.63,0.64,0.61,0.61,4107500
CIMBT,20120322,2.94,3.02,2.88,2.88,17098800
CITY,20120322,2.6,2.66,2.5,2.58,1195500
CK,20120322,8.25,8.5,8.2,8.3,33899500
CM,20120322,3.24,3.28,3.2,3.2,267300
CMO,20120322,1.69,1.69,1.65,1.68,830900
CMR,20120322,54,54,52,53,3400
CNS,20120322,29.75,31,29.75,30.25,484200
CNT,20120322,4.3,4.4,4.28,4.3,1230700
COL,20120322,21,21,20.5,20.5,7400
COLOR,20120322,3.14,3.16,3.08,3.08,442100
CPALL,20120322,64.5,64.5,63.5,63.75,9109500
CPF,20120322,37,37.25,36.5,36.5,20672200
CPI,20120322,4.62,4.62,4.58,4.58,362000
CPL,20120322,23.8,23.8,23.5,23.7,11500
CPN,20120322,47.5,47.75,45.5,45.75,2958400
CPNRF,20120322,13.4,13.4,13.4,13.4,3257900
CPR,20120322,2.14,2.16,2.14,2.16,4100
CRANE,20120322,3.3,3.32,3.24,3.24,887400
CSC,20120322,31.5,31.5,31.5,31.5,3000
CSL,20120322,6.35,6.35,6.3,6.3,721800
CSP,20120322,2.1,2.1,2.04,2.08,144700
CSR,20120322,41.5,41.5,38,38.5,25900
CTARAF,20120322,8.2,8.25,8.2,8.25,108200
CTW,20120322,8.15,8.3,8.1,8.15,1767700
CWT,20120322,10.9,10.9,10.4,10.5,1261300
DCC,20120322,64.75,65.5,64,65.5,266200
DCON,20120322,3.6,3.6,3.54,3.6,73200
DELTA,20120322,24.5,24.7,24.2,24.2,927500
DEMCO,20120322,3.68,3.68,3.58,3.6,2593300
DIMET,20120322,1.76,1.79,1.76,1.76,772300
DRACO,20120322,3.68,3.68,3.52,3.52,6600
DRT,20120322,6,6,5.95,5.95,157100
DSGT,20120322,8,8,7.75,7.75,505900
DTAC,20120322,81.25,84,81,82.25,26019800
DTC,20120322,34.75,34.75,34.75,34.75,200
DTCPF,20120322,9.2,9.25,9.2,9.25,17000
EARTH,20120322,4.78,4.78,4.68,4.68,13272100
EASON,20120322,1.67,1.68,1.66,1.66,1703900
EASTW,20120322,7.85,7.9,7.7,7.75,1571800
ECL,20120322,0.74,0.74,0.73,0.73,3563900
EE,20120322,0.66,0.67,0.66,0.67,558500
EFORL,20120322,0.08,0.08,0.07,0.07,672100
EGCO,20120322,94.5,94.5,93,93,194200
EIC,20120322,1.66,1.73,1.63,1.73,23200
EMC,20120322,1.73,1.73,1.69,1.69,1434400
EPCO,20120322,1.94,1.95,1.91,1.91,348800
ERW,20120322,2.66,2.76,2.66,2.76,4180700
ESSO,20120322,13.1,13.1,12.6,12.6,28510000
ESTAR,20120322,0.6,0.61,0.59,0.59,11078100
EVER,20120322,0.7,0.7,0.68,0.69,2828700
FANCY,20120322,1.68,1.68,1.67,1.67,75000
FC,20120322,1.11,1.11,1.08,1.08,816500
FE,20120322,151,158,151,158,1800
FER,20120322,2,2.02,1.9,1.94,33750300
FMT,20120322,17,17,17,17,1200
FNS,20120322,2.86,2.86,2.86,2.86,28000
FOCUS,20120322,1.59,1.59,1.5,1.5,5100
FORTH,20120322,3.94,3.98,3.92,3.94,446300
FSS,20120322,2.14,2.24,2.14,2.16,916000
FUTUREPF,20120322,13.7,13.7,13.7,13.7,89400
