<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACC,20000912,12.8,12.9,12.8,12.8,104000
ADVANC,20000912,31.6,33.4,31.4,32.4,1530510
AMARIN,20000912,2.125,2.125,2.125,2.125,70000
AP,20000912,0.34,0.34,0.34,0.34,10000
APURE,20000912,1.8667,1.8667,1.8667,1.8667,33750
ASP,20000912,1.7,1.75,1.7,1.7,1928000
AYUD,20000912,92.5,92.5,91.5,92.5,13200
BANPU,20000912,18.75,19,18.75,19,243200
BAT-3K,20000912,19.25,19.25,19.25,19.25,5000
BAY,20000912,5.1,5.3,5.1,5.3,2816055
BBL,20000912,23.5,24,23.25,23.5,739740
BCP,20000912,5,5,4.8,4.8,204900
BDMS,20000912,1.5263,1.5263,1.5263,1.5263,69448
BEC,20000912,23,23.2,22.2,22.8,3735000
BFIT,20000912,4.85,5,4.8,4.8,346400
BIG,20000912,23.75,23.75,23.5,23.5,8100
BIGC,20000912,16.25,16.25,16,16.25,212000
BJC,20000912,4.1,4.1,4,4,4200
BKI,20000912,48.888,49.3325,48.888,49.3325,5400
BLAND,20000912,0.23,0.25,0.23,0.24,16674000
BTS,20000912,2.1662,2.2604,2.072,2.1662,1846013
CENTEL,20000912,0.9127,0.9127,0.9127,0.9127,13700
CFRESH,20000912,2.7835,2.8002,2.7668,2.7668,41997
CHOTI,20000912,138,139,138,139,1000
CK,20000912,1.15,1.15,1.15,1.15,453000
CM,20000912,2.6576,2.6576,2.6349,2.6349,152987
CNS,20000912,14.5,15.25,14.5,15.25,259300
CPF,20000912,4.825,4.825,4.75,4.75,1574170
CPH,20000912,2.7,2.8,2.7,2.7,36900
CPN,20000912,1.6051,1.6051,1.6051,1.6051,3613
CSC,20000912,6.6,6.6,6.6,6.6,1000
CSR,20000912,17,19.5,16,16,400
CTW,20000912,8,8.125,7.5,7.625,451582
DCC,20000912,1.025,1.025,1,1,70000
DELTA,20000912,28.8,29,27.6,28,1052300
DRACO,20000912,1.525,1.55,1.5,1.5,39200
EASTW,20000912,2.875,2.9,2.875,2.9,175000
EGCO,20000912,31,31,30.25,30.75,681900
ERW,20000912,0.85,0.85,0.85,0.85,12006
ESTAR,20000912,0.325,0.35,0.3,0.325,16084800
FMT,20000912,20.75,20.75,20.75,20.75,2500
GEL,20000912,0.5055,0.5974,0.5055,0.5974,121865
GOLD,20000912,4.4,4.5,4.3,4.3,563500
GRAMMY,20000912,9.85,9.85,9.75,9.75,134000
HANA,20000912,28.2,28.2,27.8,27.8,1329000
IEC,20000912,0.059,0.061,0.059,0.06,13120000
INTUCH,20000912,16.5,16.7,16.4,16.7,944000
IRC,20000912,1.525,1.525,1.525,1.525,108000
IRPC,20000912,1.8917,1.9402,1.8432,1.8917,1542711
ITD,20000912,1.525,1.55,1.5,1.525,1596000
JAS,20000912,0.89,0.91,0.88,0.88,30797000
KBANK,20000912,20.5,20.75,20,20.25,8126680
KCE,20000912,7.5303,7.5303,7.4526,7.5303,462440
KGI,20000912,0.7526,0.7868,0.7526,0.7526,5426882
KKP,20000912,15.5,16,15.25,15.75,2007400
KTB,20000912,11.75,12,11.5,11.5,3947666
KYE,20000912,61,62,61,61.5,10400
LANNA,20000912,2.1,2.1,2.075,2.075,80000
LEE,20000912,1.125,1.125,1.125,1.125,30000
LH,20000912,1.025,1.05,1.025,1.025,3935000
LOXLEY,20000912,4.15,4.25,4.15,4.175,925000
LRH,20000912,8.2639,8.3803,8.2639,8.3803,7519
LST,20000912,1.775,1.825,1.775,1.8,17400
MAKRO,20000912,52.5,53,52.5,53,232900
MALEE,20000912,5.8,5.8,5.7,5.7,67500
MBK,20000912,18,18,17.5,17.5,215800
METCO,20000912,70,71.5,70,70.5,14500
