<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20110902,10.43,10.45,10.34,10.34,86700
CHINA,20110902,6.31,6.31,6.28,6.28,57400
ENGY,20110902,5.25,5.26,5.19,5.21,61300
GLD,20110902,2.5,2.53,2.49,2.53,12019400
TDEX,20110902,7.55,7.55,7.43,7.5,505300
A,20110902,3.5,3.5,3.48,3.48,150800
ACAP,20110902,8,8,8,8,900
ACC,20110902,4.26,4.42,4.08,4.16,25402000
ADAM,20110902,1.11,1.16,1.1,1.14,686300
ADVANC,20110902,114,114.5,113.5,114,6241900
AEONTS,20110902,33,33.25,32.75,33.25,234100
AFC,20110902,9.2,9.4,9.2,9.25,72600
AGE,20110902,26.75,27,26.25,26.5,515600
AH,20110902,13.3,13.3,13.1,13.2,195500
AHC,20110902,72,72,72,72,300
AI,20110902,3.12,3.14,3.06,3.1,1355200
AIT,20110902,48.25,48.5,48,48.5,23600
AJ,20110902,22.3,22.5,22.1,22.2,1724000
AKR,20110902,0.94,0.95,0.93,0.94,4451000
ALUCON,20110902,110,110,110,110,500
AMANAH,20110902,1.02,1.05,1.01,1.01,7358000
AMARIN,20110902,12.2,12.2,12,12.1,79500
AMATA,20110902,14.8,14.9,14.2,14.2,5114300
AMC,20110902,2.14,2.18,2.12,2.16,173500
AOT,20110902,48.25,49.5,48,49,11383200
AP,20110902,6.05,6.1,5.95,6.05,13380400
APURE,20110902,0.79,0.8,0.79,0.79,1832100
AQ,20110902,0.58,0.58,0.57,0.58,7257100
AQUA,20110902,0.45,0.46,0.45,0.46,201200
ARIP,20110902,1.24,1.26,1.23,1.24,792700
AS,20110902,13.3,13.4,13.3,13.4,46600
ASIAN,20110902,4.06,4.08,4,4.04,104000
ASIMAR,20110902,1.47,1.52,1.46,1.47,26284800
ASK,20110902,10.7,10.8,10.7,10.8,26000
ASP,20110902,2.82,2.82,2.78,2.8,6050300
AYUD,20110902,19.4,19.4,19.2,19.2,3000
BAFS,20110902,12.3,12.3,12.2,12.3,94600
BANPU,20110902,636,642,632,640,1255550
BAT-3K,20110902,90,90,90,90,1800
BAY,20110902,25.5,25.75,25.25,25.5,4519100
BBL,20110902,161,161.5,158,159,5480600
BCH,20110902,6.9,7,6.85,6.9,968900
BCP,20110902,22,22,21.8,21.9,3789900
BDMS,20110902,64.75,64.75,64,64,1480300
BEC,20110902,40.75,40.75,39.75,40,1885700
BFIT,20110902,7.05,7.05,6.95,7,29300
BGT,20110902,1.8,1.82,1.8,1.82,26000
BH,20110902,39.25,41,39.25,40.25,2116700
BIGC,20110902,131,132.5,131,132,279000
BJC,20110902,23.7,24.1,23.7,23.8,1523000
BKI,20110902,259,260,258,260,7300
BKKCP,20110902,8.95,8.95,8.95,8.95,500
BLA,20110902,57,58,57,57.75,1674900
BLAND,20110902,0.65,0.65,0.63,0.64,9910000
BOL,20110902,1.33,1.33,1.32,1.32,305000
BROCK,20110902,0.9,0.95,0.9,0.92,10315100
BROOK,20110902,0.95,0.97,0.93,0.94,4830400
BSBM,20110902,1.44,1.45,1.43,1.44,735000
BSM,20110902,0.8,0.8,0.8,0.8,40100
BTC,20110902,0.4,0.42,0.4,0.41,6896300
BTS,20110902,0.66,0.67,0.66,0.66,65084400
BUI,20110902,17.5,17.5,17.5,17.5,1400
BWG,20110902,1.47,1.48,1.45,1.46,4753900
CCET,20110902,2.92,2.92,2.9,2.9,1181300
CCP,20110902,2.88,2.94,2.86,2.86,407100
CEN,20110902,2.74,2.76,2.66,2.72,524200
CENTEL,20110902,10.7,10.7,10.5,10.6,2240900
CFRESH,20110902,4.26,4.66,4.26,4.54,4171000
CGD,20110902,0.49,0.49,0.47,0.48,1357900
CHOTI,20110902,235,240,234,240,4500
CI,20110902,3.96,4.04,3.96,4.04,214300
CIG,20110902,0.87,0.94,0.86,0.9,10589100
CIMBT,20110902,2.78,2.8,2.76,2.76,225400
CITY,20110902,2.02,2.04,2,2,2402600
CK,20110902,7.1,7.15,7.05,7.1,1380700
CM,20110902,3.3,3.3,3.26,3.26,157100
CMO,20110902,2.12,2.2,2.1,2.12,5023200
CMR,20110902,62,62,62,62,1300
CNS,20110902,30.25,30.5,30.25,30.5,65600
CNT,20110902,3.58,3.62,3.54,3.56,586200
COL,20110902,13.4,14.4,13.4,13.8,530100
COLOR,20110902,3.54,3.54,3.42,3.42,460700
CPALL,20110902,51.75,51.75,49.75,50.75,18194800
CPF,20110902,31,31,30.25,30.75,11185700
CPH,20110902,5.2,5.2,5.2,5.2,100
CPI,20110902,4.26,4.28,4.18,4.24,11700
CPL,20110902,24.6,24.9,24.5,24.7,29400
CPN,20110902,39.5,40,38.75,39.25,4287900
CPNRF,20110902,13.4,13.5,13.4,13.5,515900
CPR,20110902,2.06,2.06,2.04,2.04,19000
CRANE,20110902,3.3,3.3,3.28,3.3,288200
CSC,20110902,34.5,34.5,34.5,34.5,5000
CSL,20110902,6,6,5.9,5.95,411600
CSP,20110902,2.16,2.16,2.16,2.16,3700
CTARAF,20110902,8.5,8.55,8.5,8.55,27500
CTW,20110902,7.9,7.95,7.85,7.9,59600
CWT,20110902,7.7,7.75,7.7,7.75,1300
DCC,20110902,51.5,51.5,50.25,50.75,283200
DELTA,20110902,21,21.2,20.5,20.5,1207700
DEMCO,20110902,4.12,4.12,4.04,4.04,461700
DIMET,20110902,1.14,1.17,1.13,1.17,477500
DRACO,20110902,3.46,3.46,3.44,3.46,51300
DRT,20110902,6.2,6.2,6.15,6.2,253800
DSGT,20110902,9.1,9.15,9,9.05,46000
DTAC,20110902,69.75,71,68.75,71,4317800
DTC,20110902,36.5,36.5,36.5,36.5,200
DTCI,20110902,13,13,13,13,300
DTCPF,20110902,9.65,9.65,9.6,9.6,20300
EARTH,20110902,4.4,4.78,4.36,4.78,101028600
EASON,20110902,1.64,1.64,1.64,1.64,56500
EASTW,20110902,6,6.1,6,6.05,424400
ECL,20110902,0.75,0.76,0.73,0.74,2776000
EE,20110902,0.8,0.83,0.78,0.81,2891300
EFORL,20110902,0.09,0.1,0.09,0.09,21720100
EGCO,20110902,90.75,90.75,89.5,89.5,300000
EIC,20110902,2.14,2.14,1.98,2.02,900
EMC,20110902,1.84,1.87,1.84,1.87,544600
EPCO,20110902,1.94,1.94,1.93,1.94,196000
ERW,20110902,2.74,2.74,2.7,2.7,503600
ESSO,20110902,10.4,10.5,10.2,10.3,12798300
ESTAR,20110902,0.55,0.57,0.55,0.55,7561300
EVER,20110902,1.25,1.31,1.23,1.25,38990600
FANCY,20110902,2.02,2.06,2.02,2.06,700
FC,20110902,1.27,1.29,1.25,1.25,3044300
FER,20110902,1.64,1.65,1.62,1.63,4743200
FMT,20110902,18.9,19,18.9,19,4000
FNS,20110902,4.02,4.02,3.98,3.98,11000
FOCUS,20110902,1.58,1.58,1.58,1.58,100
FORTH,20110902,3.72,3.72,3.68,3.72,167700
FSS,20110902,2.64,2.64,2.52,2.56,72300
FUTUREPF,20110902,14.9,15,14.8,15,79900
GBX,20110902,0.76,0.76,0.74,0.74,1122200
GC,20110902,5.7,5.7,5.65,5.65,6500
GEL,20110902,0.24,0.24,0.23,0.24,3896900
GENCO,20110902,0.64,0.65,0.63,0.64,719200
GFPT,20110902,10.6,10.6,10.5,10.6,2154800
GIFT,20110902,4.38,4.54,4.38,4.42,111800
GJS,20110902,0.22,0.23,0.21,0.21,49241300
GL,20110902,27.25,27.25,26.75,27,224600
GLAND,20110902,2.38,2.4,2.36,2.36,68700
GLOBAL,20110902,9.55,9.55,9.05,9.25,3455800
GLOW,20110902,55.25,55.5,53.75,54,436600
GOLD,20110902,3.62,3.62,3.52,3.52,29600
GOLDPF,20110902,7.5,7.5,7.4,7.5,32900
GRAMMY,20110902,19,19.1,19,19,12300
GRAND,20110902,1.68,1.78,1.67,1.73,2420700
GREEN,20110902,0.79,0.83,0.79,0.83,3417800
GSTEL,20110902,0.59,0.6,0.59,0.59,21572600
GUNKUL,20110902,17.1,17.2,17,17.1,440300
HANA,20110902,21.9,22,21.7,21.8,429900
HFT,20110902,2.04,2.08,2.04,2.04,174100
HMPRO,20110902,10.6,10.6,10.2,10.4,14594300
HTC,20110902,5.6,5.7,5.5,5.65,526000
HTECH,20110902,3.54,3.58,3.5,3.5,33800
IEC,20110902,0.02,0.03,0.02,0.02,29720300
IFEC,20110902,1.64,1.7,1.64,1.67,348600
IFS,20110902,1.39,1.39,1.37,1.38,7900
IHL,20110902,7.7,7.7,7.6,7.7,96200
ILINK,20110902,6.65,6.65,6.65,6.65,3100
INET,20110902,1.28,1.3,1.26,1.3,192200
INOX,20110902,2.14,2.14,2.14,2.14,343400
INTUCH,20110902,36.75,37,36.25,37,3140100
IRC,20110902,11.4,11.4,11.3,11.3,38300
IRPC,20110902,4.86,4.86,4.76,4.8,47247000
IT,20110902,10.6,10.8,10.6,10.8,257200
ITD,20110902,4.5,4.52,4.32,4.4,33858200
IVL,20110902,38.5,38.75,37.5,37.75,12252500
JAS,20110902,2.3,2.38,2.28,2.36,257205700
JMART,20110902,4.08,4.12,4.06,4.12,129100
JTS,20110902,1.69,1.69,1.68,1.68,333700
JUBILE,20110902,12.9,12.9,12.7,12.7,31900
JUTHA,20110902,4,4.02,3.9,3.94,103700
KAMART,20110902,2.16,2.48,2.12,2.4,28220800
KASET,20110902,6.05,6.1,5.9,5.9,2690200
KBANK,20110902,129,129,126.5,128,4386800
KBS,20110902,12,12.2,11.9,12,2210400
KC,20110902,0.97,1.13,0.96,1.02,70143800
KCAR,20110902,9.8,9.85,9.75,9.8,279000
KCE,20110902,6.3,6.3,6.2,6.3,222800
KGI,20110902,2.28,2.3,2.26,2.26,1756500
KIAT,20110902,12.9,13.2,12.8,12.8,106900
KKC,20110902,5.1,5.45,5.05,5.3,6660800
KKP,20110902,34,34.25,34,34,667200
KSL,20110902,15.5,15.5,15.3,15.4,475200
KTB,20110902,19,19.1,18.7,18.8,16520700
KTC,20110902,13.8,13.8,13.7,13.8,218200
KWG,20110902,1.9,1.96,1.89,1.9,1618600
KYE,20110902,185,185.5,184,184.5,5300
LALIN,20110902,2.9,2.92,2.78,2.84,1007200
LANNA,20110902,25.5,26,25.5,25.5,823000
LEE,20110902,3.08,3.1,3.06,3.06,694400
LH,20110902,6.85,6.9,6.8,6.9,3038400
LHBANK,20110902,1.53,1.54,1.52,1.53,3873800
LHK,20110902,2.94,2.94,2.9,2.9,414300
LOXLEY,20110902,3.78,3.84,3.74,3.8,81803600
LPN,20110902,11.3,11.3,11,11,10285900
