<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20111101,9.79,9.87,9.68,9.68,83600
CHINA,20111101,6.18,6.2,6.1,6.1,75300
ENGY,20111101,4.77,4.77,4.66,4.67,15000
GLD,20111101,2.39,2.4,2.38,2.4,2252100
TDEX,20111101,6.85,6.89,6.76,6.76,699800
2S,20111101,2.58,2.58,2.58,2.58,10100
A,20111101,3.54,3.56,3.54,3.56,40000
ABC,20111101,9,9,9,9,100
ACC,20111101,3.38,3.76,3.38,3.58,3926100
ADAM,20111101,0.91,0.92,0.91,0.91,54200
ADVANC,20111101,131,134,130.5,131,4842200
AEONTS,20111101,28.5,28.5,28.25,28.25,11400
AGE,20111101,5.1,5.2,4.98,4.98,3286300
AH,20111101,8.65,8.9,8.55,8.55,531800
AHC,20111101,72,72,72,72,5700
AI,20111101,2.84,2.9,2.84,2.9,61300
AIT,20111101,43,43.25,42.5,43,215800
AJ,20111101,15.8,16.1,15.2,15.3,6168600
AKR,20111101,0.71,0.75,0.71,0.73,3517700
AMANAH,20111101,0.82,0.82,0.81,0.82,23600
AMARIN,20111101,11.5,11.6,11.5,11.5,37000
AMATA,20111101,10.9,11.1,10.6,10.7,2684700
AMC,20111101,1.75,1.83,1.75,1.83,3000
AOT,20111101,38.25,38.75,38,38.25,2716700
AP,20111101,4.52,4.52,4.4,4.42,16318100
APCS,20111101,4,4,3.92,3.92,692800
APURE,20111101,0.74,0.74,0.73,0.73,90000
AQ,20111101,0.36,0.37,0.35,0.36,5005000
AQUA,20111101,0.37,0.37,0.36,0.37,106100
ARIP,20111101,0.92,0.93,0.9,0.9,1287600
AS,20111101,12.2,12.6,12.2,12.4,154000
ASIA,20111101,32.25,32.25,32,32,500
ASIAN,20111101,3.5,3.5,3.5,3.5,100
ASIMAR,20111101,1.16,1.19,1.14,1.15,2857100
ASK,20111101,9.7,9.7,9.7,9.7,900
ASP,20111101,1.78,1.8,1.75,1.76,5532100
AYUD,20111101,17.5,17.5,17.5,17.5,10000
BAFS,20111101,10.4,10.4,10.3,10.4,102600
BANPU,20111101,624,624,596,602,1667250
BAT-3K,20111101,91,91,82.25,84,3900
BAY,20111101,19.9,20.2,19.5,19.5,14163200
BBL,20111101,148.5,149,143,143.5,4180300
BCH,20111101,6.3,6.3,6.05,6.05,1779200
BCP,20111101,17.2,17.3,16.8,16.9,6176300
BDMS,20111101,67.5,69.5,67.25,67.25,2018300
BEC,20111101,37.75,39,36.5,36.5,3776900
BFIT,20111101,6.55,6.6,6.4,6.5,31100
BGT,20111101,1.79,1.79,1.79,1.79,4900
BH,20111101,39.25,40.25,39,39.75,569600
BIGC,20111101,110,110.5,106,106,369300
BJC,20111101,20.7,20.8,20,20,1959800
BKI,20111101,203,206,203,203,23700
BKKCP,20111101,9,9,8.9,9,23000
BLA,20111101,43,44.25,42.75,43,929000
BLAND,20111101,0.49,0.53,0.49,0.52,88239000
BOL,20111101,1.2,1.2,1.19,1.19,54000
BROCK,20111101,0.63,0.65,0.63,0.63,355100
BROOK,20111101,0.75,0.78,0.74,0.74,1473200
BSBM,20111101,1.2,1.24,1.2,1.21,274600
BSM,20111101,0.68,0.7,0.68,0.7,2500
BTC,20111101,0.3,0.31,0.3,0.31,335900
BTS,20111101,0.59,0.6,0.58,0.59,61690700
BWG,20111101,1.22,1.27,1.21,1.24,22875100
CCET,20111101,2.4,2.46,2.34,2.4,1194100
CCP,20111101,2.5,2.54,2.44,2.46,2759600
CEN,20111101,2.42,2.42,2.38,2.42,486800
CENTEL,20111101,8.2,8.2,8.05,8.2,1185300
CFRESH,20111101,4.2,4.24,4.18,4.18,268800
CGD,20111101,0.4,0.42,0.4,0.41,745800
CI,20111101,3.5,3.6,3.42,3.52,68400
CIG,20111101,0.59,0.6,0.59,0.59,824600
CIMBT,20111101,2.22,2.3,2.22,2.22,269100
CITY,20111101,1.81,1.82,1.8,1.81,81800
CK,20111101,6.45,7.1,6.45,6.9,16402600
CM,20111101,2.98,3.02,2.96,2.96,27700
CMO,20111101,1.69,1.74,1.68,1.68,1109300
CMR,20111101,48,48,45.75,45.75,17100
CNS,20111101,30,30.25,29.75,30,39200
CNT,20111101,3.8,3.84,3.8,3.82,851200
COL,20111101,12,12.2,11.9,12.2,23900
COLOR,20111101,2.52,2.54,2.46,2.46,125100
CPALL,20111101,47.5,47.5,46,46.25,9687100
CPF,20111101,30.25,30.5,29.5,30,9311000
CPI,20111101,4.28,4.28,4.2,4.28,40200
CPL,20111101,22,22,21.9,22,6100
CPN,20111101,32.5,33.75,32.5,32.5,1528200
CPNRF,20111101,12.1,12.1,12,12.1,757200
CPR,20111101,1.8,1.8,1.8,1.8,1000
CRANE,20111101,3.22,3.22,3.22,3.22,31000
CSC,20111101,30.5,30.5,30.5,30.5,100
CSL,20111101,5.25,5.3,5.15,5.2,1151700
CSP,20111101,1.88,1.94,1.86,1.94,26800
CTARAF,20111101,8.1,8.1,8,8,25200
CTW,20111101,7,7.05,6.95,7,19900
CWT,20111101,5.8,5.8,5.8,5.8,100
DCC,20111101,55,55.5,54.25,55,550400
DELTA,20111101,18.5,18.8,18.2,18.5,1242400
DEMCO,20111101,3.28,3.3,3.26,3.26,28000
DIMET,20111101,1.17,1.17,1.17,1.17,100000
DRACO,20111101,3.3,3.32,3.26,3.32,33400
DRT,20111101,5.85,5.85,5.8,5.8,75500
DSGT,20111101,7.75,7.8,7.65,7.65,464100
DTAC,20111101,75,75.5,74.5,74.5,3931600
DTC,20111101,33.5,33.5,33.5,33.5,200
DTCPF,20111101,8.8,8.8,8.8,8.8,11800
EARTH,20111101,3.7,3.78,3.66,3.68,11997800
EASON,20111101,1.5,1.5,1.5,1.5,182400
EASTW,20111101,5.6,5.8,5.6,5.75,110700
ECL,20111101,0.59,0.59,0.57,0.58,236100
EE,20111101,0.48,0.49,0.46,0.46,1120600
EFORL,20111101,0.08,0.08,0.07,0.08,566200
EGCO,20111101,84.5,84.75,83.5,84,298200
EMC,20111101,1.5,1.51,1.5,1.51,60000
EPCO,20111101,1.7,1.7,1.69,1.7,141100
ERW,20111101,2.14,2.18,2.14,2.14,192300
ESSO,20111101,8.95,9.1,8.8,8.8,9282200
ESTAR,20111101,0.47,0.48,0.47,0.47,4367600
EVER,20111101,0.69,0.72,0.68,0.68,4651900
FANCY,20111101,1.8,1.9,1.8,1.9,3500
FC,20111101,0.83,0.88,0.83,0.84,8156200
FE,20111101,101,101,101,101,2500
FER,20111101,1.19,1.23,1.18,1.18,5274100
FNS,20111101,3.3,3.3,3.3,3.3,100
FORTH,20111101,3.28,3.3,3.28,3.3,37200
FSS,20111101,1.71,1.71,1.7,1.7,122400
FUTUREPF,20111101,12.9,12.9,12.7,12.8,232800
GBX,20111101,0.6,0.6,0.59,0.59,534900
GC,20111101,4.94,4.94,4.92,4.94,11900
GEL,20111101,0.19,0.19,0.18,0.19,2960600
GENCO,20111101,0.59,0.61,0.59,0.59,4253800
GFPT,20111101,9.2,9.3,9.2,9.2,493300
GIFT,20111101,2.84,2.98,2.84,2.86,53700
GJS,20111101,0.14,0.15,0.14,0.15,4216600
GL,20111101,22.9,22.9,22.8,22.8,50000
GLOBAL,20111101,9,9.1,8.95,9.1,2826100
GLOW,20111101,53.5,54,52.75,52.75,1669600
GOLD,20111101,3.7,3.7,3.56,3.62,188400
GOLDPF,20111101,6.7,6.7,6.5,6.5,9500
GRAMMY,20111101,16.1,16.3,16,16.1,55700
GRAND,20111101,1.03,1.03,1.01,1.01,15000
GSTEL,20111101,0.36,0.38,0.36,0.36,59698600
GUNKUL,20111101,12.4,12.5,12,12,382900
HANA,20111101,16.5,17.4,16.5,17.2,1928800
HFT,20111101,1.88,1.91,1.88,1.89,27200
HMPRO,20111101,9.2,9.4,9.2,9.3,8391300
HTC,20111101,7.15,7.55,7.05,7.15,6449200
HTECH,20111101,2.78,2.8,2.74,2.8,106000
IEC,20111101,0.02,0.02,0.01,0.01,13433000
IFEC,20111101,1.43,1.5,1.43,1.5,1195900
IFS,20111101,1.15,1.16,1.15,1.15,4300
IHL,20111101,5,5.05,5,5,105100
ILINK,20111101,5.85,5.85,5.7,5.7,7200
INET,20111101,1,1,1,1,20000
INOX,20111101,1.75,1.76,1.74,1.74,9500
INTUCH,20111101,35,36.75,35,35.5,7138400
IRC,20111101,10,10.2,10,10.1,17900
IRPC,20111101,3.8,3.84,3.66,3.68,92549200
IT,20111101,9.4,9.45,9.3,9.35,190500
ITD,20111101,3.7,3.82,3.68,3.72,48681700
IVL,20111101,35.25,35.75,34,34,19267300
JAS,20111101,1.69,1.71,1.63,1.64,320551000
JMART,20111101,3.84,3.84,3.82,3.84,45100
JTS,20111101,1.22,1.25,1.21,1.21,174900
JUBILE,20111101,9.1,9.2,9.05,9.05,220400
JUTHA,20111101,3.06,3.2,3,3.08,346200
KAMART,20111101,1.79,1.84,1.77,1.77,4177800
KASET,20111101,5,5.15,5,5,697100
KBANK,20111101,122.5,124,121,122,5913500
KBS,20111101,10,10.1,9.85,9.9,1749800
KC,20111101,0.68,0.7,0.67,0.68,2275100
KCAR,20111101,8.5,8.5,8.35,8.35,43400
KCE,20111101,4.2,4.78,4.2,4.42,35741700
KGI,20111101,1.58,1.59,1.55,1.57,4790400
KIAT,20111101,9.2,9.6,9.2,9.6,18600
KKC,20111101,3.86,4.24,3.8,4.02,3765400
KKP,20111101,27.75,27.75,27.25,27.5,289800
KSL,20111101,11.6,11.8,11.5,11.6,447100
KTB,20111101,15,15.1,14.4,14.5,75338800
KTC,20111101,10,10,9.9,9.95,1014600
KWG,20111101,1.48,1.48,1.48,1.48,100
KYE,20111101,161,161,159.5,159.5,5000
L&E,20111101,8.95,8.95,8.95,8.95,1100
LALIN,20111101,2,2,1.99,2,982900
LANNA,20111101,23,23,22.8,22.8,88400
LEE,20111101,2.88,2.94,2.88,2.92,49800
LH,20111101,5.55,5.8,5.5,5.55,28487200
LHBANK,20111101,1.25,1.27,1.24,1.24,8686800
LHK,20111101,2.12,2.22,2.12,2.2,927300
LOXLEY,20111101,2.8,2.86,2.74,2.74,15199500
LPN,20111101,10,10.1,9.75,9.8,11249100
LRH,20111101,46.75,47,46.75,47,2200
LST,20111101,3.28,3.28,3.24,3.26,76700
LUXF,20111101,4.16,4.3,4.16,4.2,9700
LVT,20111101,1.34,1.38,1.34,1.34,315200
MACO,20111101,6,6.1,5.95,6.1,84600
MAJOR,20111101,12,12.2,11.7,12,6194300
MAKRO,20111101,208,212,204,205,181000
MALEE,20111101,11.4,11.8,11.3,11.4,1558300
MAX,20111101,0.14,0.15,0.14,0.15,1117200
MBK,20111101,88,88,87,87.25,30000
MBKET,20111101,14.1,14.2,13.5,13.5,99600
MCOT,20111101,25.25,26,25,26,494700
MCS,20111101,8.1,8.6,8.1,8.35,3041400
MDX,20111101,2.08,2.12,2.04,2.04,684100
METCO,20111101,193,193,193,193,100
MFEC,20111101,4.2,4.24,4.2,4.22,13400
MIDA,20111101,0.64,0.64,0.63,0.63,211800
MILL,20111101,2.04,2.04,2.04,2.04,6081400
MINT,20111101,10.4,10.5,10.2,10.3,3995500
MJD,20111101,1.5,1.51,1.49,1.49,286700
MJLF,20111101,10.5,10.6,10.5,10.6,110000
MK,20111101,2.52,2.54,2.48,2.52,810900
ML,20111101,0.64,0.65,0.64,0.64,120200
MNIT,20111101,8,8,8,8,10000
MNIT2,20111101,9.5,9.5,9.5,9.5,1000
