<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACC,20020712,34,34,34,34,54000
ADVANC,20020712,40.5,41,40,40.75,760160
AEC,20020712,26.75,26.75,25.5,25.75,7861013
AEONTS,20020712,45.2,45.2,43.6,43.6,108500
AFC,20020712,6.9,6.9,6.9,6.9,2000
AJ,20020712,6.9,7.25,6.8,7.15,9605000
AMANAH,20020712,1.3806,1.3989,1.3806,1.3806,3474843
AMARIN,20020712,5.9,5.9,5.9,5.9,10000
AMATA,20020712,4.3,4.3,4.2,4.22,12913500
AP,20020712,4.775,4.775,4.7,4.725,2175000
APURE,20020712,2.2578,2.3111,2.24,2.24,2773125
AQ,20020712,6.5816,6.8887,6.4938,6.8448,21892274
ASIAN,20020712,3.325,3.4,3.3,3.35,267000
ASP,20020712,4.625,4.625,4.575,4.6,3963000
AYUD,20020712,134,136,134,136,2200
BAFS,20020712,8.8303,8.9136,8.5803,8.5803,6551398
BANPU,20020712,41.25,41.5,41,41.5,297900
BAT-3K,20020712,39.75,40,39.75,39.75,17500
BAY,20020712,7.25,7.3,7.15,7.2,13415124
BBL,20020712,60,60.5,59,59,460113
BCP,20020712,4.08,4.14,4,4.02,12812000
BEC,20020712,24.6,24.6,24.4,24.4,990000
BFIT,20020712,7.9,8,7.9,8,187000
BIG,20020712,29.5,29.5,29.5,29.5,6000
BIGC,20020712,21.6,21.7,21.6,21.7,10800
BKI,20020712,130,130,130,130,1950
BLAND,20020712,0.406,0.41,0.402,0.402,57228000
BROOK,20020712,0.69,0.69,0.67,0.67,1186200
CCET,20020712,3.05,3.05,3,3.025,1789000
CENTEL,20020712,2.0079,2.0262,2.0079,2.0079,802600
CFRESH,20020712,6.7,6.85,6.7,6.75,414700
CHOTI,20020712,110,110,110,110,4600
CHUO,20020712,8.1,8.1,8.1,8.1,1000
CIMBT,20020712,6.5292,6.5292,6.3563,6.3995,8096443
CK,20020712,2.27,2.28,2.25,2.27,946000
CM,20020712,3.5434,3.5434,3.498,3.5434,22012
CNS,20020712,46.75,46.75,46,46.25,380500
CPF,20020712,5.35,5.35,5.3,5.3,6718800
CPH,20020712,6.35,6.55,6.25,6.25,254800
CPI,20020712,5.8114,5.9083,5.4724,5.4724,12005722
CPL,20020712,23.4,23.4,23.3,23.4,31000
CSC,20020712,15.4,15.6,14.8,14.8,2283000
CTW,20020712,8.1,8.25,8.1,8.1,170000
CWT,20020712,9.25,9.65,9.25,9.45,109800
DCC,20020712,9.8,9.8,9.65,9.65,562400
DELTA,20020712,28,28,27.25,27.25,2394300
DRACO,20020712,2.4,2.6,2.4,2.6,38000
EASTW,20020712,3.05,3.05,3.05,3.05,680000
EE,20020712,1.33,1.33,1.33,1.33,13000
EGCO,20020712,39.75,40,39.75,40,65200
ERW,20020712,2.45,2.5167,2.4333,2.4333,28476600
ESTAR,20020712,0.745,0.775,0.74,0.76,214781536
F&D,20020712,26,30,26,30,1000
FANCY,20020712,11.5,11.5,11.5,11.5,4000
FER,20020712,5.15,5.15,5.05,5.05,424025
GENCO,20020712,1.14,1.14,1.13,1.13,1749500
GFPT,20020712,2.7313,2.8271,2.7153,2.7153,10139470
GOLD,20020712,14.5,14.5,14.4,14.4,613400
GRAMMY,20020712,18.8,18.8,18.8,18.8,91000
GYT,20020712,210,210,208,208,300
HANA,20020712,14.8,15.1,14.8,15,1596500
HMPRO,20020712,0.8628,0.8803,0.857,0.8628,5873599
HTC,20020712,6.4,6.55,6.35,6.45,5278700
ICC,20020712,187,187,186,187,6900
IEC,20020712,0.08,0.081,0.08,0.08,17270000
INET,20020712,4.64,4.66,4.62,4.62,359500
INTUCH,20020712,14.4,14.4,14.3,14.4,1644840
IRC,20020712,2.26,2.26,2.26,2.26,18000
IRPC,20020712,2.4495,2.4738,2.4059,2.4253,30788560
ITD,20020712,3.4,3.525,3.4,3.475,91390624
JAS,20020712,0.52,0.525,0.515,0.515,27558000
JUTHA,20020712,2.6,2.66,2.6,2.64,387200
KBANK,20020712,29,29,28.5,28.75,2622978
KCE,20020712,4.4638,4.5026,4.425,4.425,3120908
KDH,20020712,12.5,12.5,12.5,12.5,100
KGI,20020712,1.5326,1.5463,1.5258,1.5395,25053274
KKP,20020712,40.5,41.25,40.25,41,2058740
KTB,20020712,11.6,11.6,11.5,11.6,1235500
KWG,20020712,10.4,10.5,10.1,10.2,753240
KYE,20020712,59.5,60,59.5,59.5,4400
LANNA,20020712,3.975,3.975,3.9,3.9,110000
LEE,20020712,2.4667,2.4667,2.4533,2.4667,79500
LH,20020712,7.5,7.55,7.3,7.35,4943000
LOXLEY,20020712,1.21,1.23,1.19,1.2,25068000
LPN,20020712,2.3319,2.3319,2.2508,2.2508,17578504
LRH,20020712,18.6229,18.6229,18.6229,18.6229,1073
LST,20020712,1.69,1.7,1.69,1.69,217200
LTX,20020712,43.75,44,41,43.5,3600
MAJOR,20020712,12.9,13.7,12.8,13.4,12057010
MAKRO,20020712,45.5,45.5,45.25,45.25,316900
MALEE,20020712,3.9,3.98,3.88,3.9,63300
MATI,20020712,7,7,7,7,3000
MBK,20020712,30.75,30.75,30.5,30.75,43200
METCO,20020712,109,109,108,109,2500
MFC,20020712,6.6,6.6,6.6,6.6,7000
MINT,20020712,2.1158,2.1158,2.0977,2.1158,369500
