<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ABICO,19970418,1.5,1.6,1.5,1.6,17000
ADVANC,19970418,23.2,23.2,23,23,2235000
AFC,19970418,8,8.6,8,8.6,30000
AHC,19970418,15.75,15.75,15.75,15.75,100
AJ,19970418,0.77,0.77,0.77,0.77,13000
ASIA,19970418,14.75,14.75,14.75,14.75,1000
ASIAN,19970418,2.25,2.3,2.1,2.3,85999
ASIMAR,19970418,2.2177,2.5038,2.2177,2.5038,27956
ASP,19970418,2.65,2.7,2.625,2.7,272000
BANPU,19970418,134.42,134.42,134.42,134.42,16200
BAT-3K,19970418,46,46,45,45,800
BAY,19970418,62.64,62.64,61.776,62.64,233877
BBL,19970418,190,190,186,187,475640
BCP,19970418,18.5,18.75,18.25,18.75,139300
BDMS,19970418,2.8046,2.8237,2.7855,2.8237,65517
BEC,19970418,24,24,23.8,24,1012000
BFIT,19970418,35.25,37,35.25,37,7800
BH,19970418,4.5,4.5,4.5,4.5,10000
BIGC,19970418,14.5,15,14,14,900101
BJC,19970418,9.6,9.6,9.6,9.6,2400
BKI,19970418,151.108,151.108,151.108,151.108,2925
BLAND,19970418,1.2,1.2,1.15,1.15,530000
BTNC,19970418,11.25,11.25,11.25,11.25,6000
BTS,19970418,9.4181,9.6536,9.4181,9.6536,110001
CEN,19970418,1.9,2.05,1.9,2.05,1071000
CENTEL,19970418,0.606,0.606,0.606,0.606,82200
CFRESH,19970418,0.7334,0.7334,0.7334,0.7334,29998
CK,19970418,6.8,7.45,6.65,7.45,9033000
CNS,19970418,12.75,12.75,12.5,12.75,19300
CNT,19970418,3,3,3,3,35000
CPF,19970418,3.9168,3.9168,3.8635,3.8635,150123
CPH,19970418,126,126,124,125,15000
CPI,19970418,1.8597,1.8597,1.8209,1.8209,103244
CPL,19970418,8.6,8.6,8.6,8.6,1400
CPN,19970418,4.9813,4.9813,4.9813,4.9813,1806
CSC,19970418,58,58,56,56,1500
CTW,19970418,10.5139,10.5139,10.3581,10.3581,6420
CWT,19970418,9.125,9.125,8.375,9.125,53800
DCC,19970418,0.31,0.32,0.31,0.32,273000
DELTA,19970418,8.35,8.55,8.35,8.55,850000
DRACO,19970418,1.25,1.25,1.225,1.225,8000
DTCI,19970418,12.5,13.5,12.5,13.5,2400
EE,19970418,0.58,0.61,0.58,0.61,12000
EGCO,19970418,62.5,63.5,62.5,63,128740
EMC,19970418,74,74.5,73,74,230
EPCO,19970418,2.85,2.85,2.85,2.85,12400
ERW,19970418,1.9921,1.9921,1.9921,1.9921,130517
ESTAR,19970418,0.95,0.95,0.9,0.95,26000
F&D,19970418,16,16.5,16,16.5,600
FANCY,19970418,0.5,0.5,0.5,0.5,1800
FMT,19970418,23,23.25,23,23,17000
GEL,19970418,2.0679,2.1598,2.0679,2.1138,87917
GFPT,19970418,0.2492,0.2492,0.2492,0.2492,165910
GJS,19970418,5.4,5.9,5.4,5.6,130000
GOLD,19970418,4.2,4.7,4.2,4.6,187600
GRAMMY,19970418,35.4,35.4,34.8,34.8,54000
HANA,19970418,8.243,8.3508,8.243,8.3508,872374
IEC,19970418,0.53,0.53,0.515,0.53,3060000
INTUCH,19970418,11.4115,11.7439,11.4115,11.7439,918844
IRPC,19970418,11.5411,11.8677,11.5411,11.7589,2486622
ITD,19970418,9.3,9.3,9.2,9.25,175080
JAS,19970418,3.65,3.675,3.625,3.675,132000
JUTHA,19970418,5,5,4.6,4.6,35100
KBANK,19970418,82.6613,83.3226,81.3387,82,849203
KC,19970418,41.25,42.7969,41.25,42.7969,6400
KCE,19970418,5.9938,6.14,5.9938,6.14,3886739
KDH,19970418,10,10.25,10,10.25,2400
KGI,19970418,4.364,4.4413,4.2482,4.2482,513987
KKP,19970418,16,16.25,15.5,15.5,82900
KTB,19970418,36.25,37,36.25,36.75,1100420
KWG,19970418,23.5156,26.3375,23.0453,26.3375,744
KYE,19970418,90,90.5,90,90.5,200
LANNA,19970418,22.6,22.8,22.6,22.8,304000
LEE,19970418,0.7,0.725,0.7,0.725,87000
LH,19970418,6.5258,6.5258,6.3429,6.4038,1226450
LOXLEY,19970418,11,11,10.6,10.6,195000
LPN,19970418,1.6975,1.746,1.6975,1.746,9278
LRH,19970418,6.4016,6.6344,6.4016,6.6344,70235
LST,19970418,0.8119,0.8616,0.8119,0.8616,14000
MAKRO,19970418,73.5,77,67,67,2488000
MALEE,19970418,10.5,10.5,10.25,10.5,13700
MATI,19970418,7.4,7.4,7.4,7.4,20000
MAX,19970418,18.5,18.6,18.5,18.6,77000
MBK,19970418,20.5,20.5,20.25,20.5,12900
MDX,19970418,6.2,6.2,6,6,191600
METCO,19970418,17.25,17.5,17.25,17.5,12000
MFC,19970418,9,9.9,9,9.9,157000
MINT,19970418,0.868,0.8861,0.868,0.8861,63300
MK,19970418,2.925,3,2.875,3,977880
MODERN,19970418,13.5,13.5,13.5,13.5,89500
MSC,19970418,1.7,1.75,1.7,1.725,70000
NEP,19970418,0.29,0.29,0.27,0.27,5534000
NPK,19970418,7.5,7.7,7.3,7.3,28871
