<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACC,20020604,35.8,35.8,35,35,31000
ADVANC,20020604,43.5,44,43,43.25,454200
AEC,20020604,22.9,23.6,22.7,23.2,3352372
AEONTS,20020604,48.8,49.6,48,48,67500
AFC,20020604,7,7,6.8,6.8,27300
AJ,20020604,6,6.25,5.8,6.15,9644500
AMANAH,20020604,1.6457,1.6549,1.6274,1.6274,2043125
AMARIN,20020604,5.4,5.4,5.4,5.4,295000
AMATA,20020604,3.675,3.675,3.5,3.525,7068000
AP,20020604,4.25,4.35,4.2,4.225,3936000
APURE,20020604,1.8133,1.8311,1.8133,1.8133,88875
AQ,20020604,4.3877,4.5193,4.3877,4.4316,23672782
ASIAN,20020604,3.875,3.9,3.8,3.8,329000
ASIMAR,20020604,0.8585,0.9872,0.8585,0.9586,71989
ASP,20020604,4.55,4.575,4.425,4.45,13407000
AYUD,20020604,129,130,129,129,10500
BAFS,20020604,9.8299,9.9132,9.6633,9.6633,2942343
BANPU,20020604,42.75,42.75,41.75,41.75,300400
BAT-3K,20020604,41.75,42,40.75,40.75,106100
BAY,20020604,6.2,6.25,6.1,6.15,2969300
BBL,20020604,58.5,58.5,57.5,58,1450000
BCP,20020604,3.3,3.34,3.28,3.28,2392900
BEC,20020604,25.4,26.4,25.4,25.6,2280000
BFIT,20020604,8.15,8.55,8.15,8.5,3491700
BIG,20020604,31.25,32.5,30.5,31,107900
BIGC,20020604,21.5,21.5,20.8,20.9,303001
BJC,20020604,4.65,4.65,4.65,4.65,1000
BKI,20020604,126.667,126.667,126.667,126.667,21000
BLAND,20020604,0.38,0.386,0.38,0.38,24345000
BROOK,20020604,0.71,0.71,0.68,0.69,521000
CCET,20020604,3.85,3.85,3.8,3.8,1027000
CENTEL,20020604,2.1905,2.2452,2.1905,2.227,903900
CFRESH,20020604,7.95,7.95,7.85,7.85,352600
CHARAN,20020604,35,35,35,35,1500
CHOTI,20020604,126,126,125,125,9000
