<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20120418,11.61,11.62,11.6,11.6,11900
CHINA,20120418,6.05,6.06,6.04,6.05,286100
ENGY,20120418,5.4,5.42,5.38,5.39,10500
GLD,20120418,2.32,2.33,2.32,2.33,661700
TDEX,20120418,8.34,8.34,8.3,8.3,76300
TGOLDETF,20120418,5.08,5.09,5.08,5.08,469500
A,20120418,3.48,3.48,3.48,3.48,150400
ACC,20120418,3.76,3.76,3.72,3.74,113100
ADAM,20120418,0.96,0.97,0.95,0.96,4700
ADVANC,20120418,169.5,171,166,167,3127600
AEONTS,20120418,30,30.25,29.75,29.75,38700
AF,20120418,18.3,18.3,18.3,18.3,700
AFC,20120418,7.45,7.45,7.1,7.1,2000
AGE,20120418,5.75,5.75,5.7,5.7,993100
AH,20120418,13.6,13.8,13.6,13.8,332300
AHC,20120418,113,113,110,110,400
AI,20120418,2.94,3,2.94,2.98,65800
AIT,20120418,64.75,65,64.25,65,876900
AJ,20120418,14.7,14.7,14.5,14.6,685700
AKR,20120418,0.74,0.75,0.74,0.74,2205000
ALUCON,20120418,109.5,109.5,109,109.5,1200
AMANAH,20120418,0.93,0.93,0.92,0.92,622400
AMARIN,20120418,13.6,13.7,13.6,13.7,164600
AMATA,20120418,16.5,16.5,16.3,16.4,1650600
AOT,20120418,58,58,57.5,57.5,1179400
AP,20120418,6.3,6.4,6.25,6.4,25420100
APCO,20120418,7.3,7.3,7.15,7.15,425000
APCS,20120418,6.55,6.7,6.55,6.6,1855400
APURE,20120418,0.83,0.84,0.83,0.84,316200
AQ,20120418,0.41,0.42,0.41,0.41,4086800
AQUA,20120418,0.39,0.43,0.39,0.42,10170700
ARIP,20120418,1,1.01,1,1,645100
AS,20120418,16.1,16.1,16,16.1,105000
ASIA,20120418,35.5,36.5,35.5,35.75,18000
ASIAN,20120418,4.6,4.7,4.54,4.56,5317500
ASIMAR,20120418,1.58,1.6,1.56,1.56,1455500
ASK,20120418,10.5,10.5,10.4,10.5,309900
