<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRUE,19940509,92.5,93,88,88.5,1940100
TSTE,19940509,5.05,5.05,5,5,12000
TTI,19940509,29.75,30,29.75,29.75,5600
TTL,19940509,72.5,72.5,72,72,1000
TVI,19940509,138,140,135,140,3700
TVO,19940509,2.6,2.6,2.6,2.6,25000
TWP,19940509,61,64.5,61,63,22000
U,19940509,854.545,860.521,836.618,860.521,884
UMI,19940509,6.9506,7.1222,6.9506,7.0364,43118
UP,19940509,28.9398,28.9398,28.5046,28.7222,15855
UPOIC,19940509,3.3,3.4,3.275,3.4,21000
UT,19940509,24.25,24.25,23.75,24.25,6000
VARO,19940509,44.8568,45.3341,44.8568,45.3341,8381
VIBHA,19940509,3.1,3.2,2.975,3.1,404000
WACOAL,19940509,12.7039,12.7039,12.7039,12.7039,30415
WG,19940509,60.5,60.5,58,58,700
YCI,19940509,65,65,65,65,400
$AGRI,19940509,87.5,87.5,87.5,87.5,4084001
$BANK,19940509,789.79,789.79,789.79,789.79,4610546
$COMM,19940509,4748.88,4748.88,4748.88,4748.88,122615
$FIN,19940509,12631.4,12631.4,12631.4,12631.4,2697214
$FOOD,19940509,1691.3,1691.3,1691.3,1691.3,90190
$INSUR,19940509,5701.93,5701.93,5701.93,5701.93,55860
$PROP,19940509,1364.58,1364.58,1364.58,1364.58,1573008
SET,19940509,1237.64,1237.64,1217.16,1222.72,34612444
ADVANC-F,19940509,30.8291,30.9655,30.8291,30.9485,586458
BBL-F,19940509,189,191,188,189.27,260900
BLAND-F,19940509,8.15,8.15,8.15,8.15,150000
KBANK-F,19940509,72.3711,72.3711,69.9588,70.4231,179905
LH-F,19940509,54,54,54,54,7500
MATI-F,19940509,25.6,25.6,25.6,25.6,70000
MDX-F,19940509,153,153,150,152.21,14500
POST-F,19940509,21,21,21,21,1000000
SCB-F,19940509,151,151,150,150.09,99000
SCC-F,19940509,102.4,102.4,100,100.64,726000
SPI-F,19940509,90,90,90,90,92500
SSC-F,19940509,420,420,420,420,100
SUC-F,19940509,30.75,30.75,30.75,30.75,20000
TCAP-F,19940509,79.7229,79.7229,79.7229,79.7229,56445
TRUE-F,19940509,90,90,90,90,34000
APX,19940509,57.3571,57.3571,55.7929,55.7929,17357
BRC,19940509,20,20.5,20,20.25,93000
CGS,19940509,10.2016,10.2888,9.9401,10.0272,5331843
DTM,19940509,37.9424,38.9772,34.8381,35.5279,1091231
HEMRAJ,19940509,4.2242,4.3153,4.0722,4.1026,2576538
ICBCT,19940509,247.2,247.2,244.8,244.8,44833
MGR,19940509,118,118,118,118,1500
PA,19940509,24.6538,24.6538,23.9178,23.9178,36551
PICNI,19940509,0.525,0.525,0.5218,0.5218,317714
PYT,19940509,79,79.5,78.5,78.5,10400
SCIB,19940509,39.5494,40.0767,39.0221,40.0767,218853
SGF,19940509,21.4298,21.4298,21.1403,21.4298,23135
SICCO,19940509,86.2277,86.9066,85.5487,86.9066,10457
TRS,19940509,27.1303,27.9848,26.4894,26.4894,164774
UFM,19940509,51,51.5,50,51.5,5800
UST,19940509,40.3313,40.3313,39.7108,40.3313,13860
VGM,19940509,7.995,8.125,7.8,7.8,127692
