<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20180423,12.84,12.84,12.8,12.8,1800
BMSCG,20180423,9.67,9.69,9.58,9.6,117400
BMSCITH,20180423,14.1,14.11,13.98,13.99,304600
BSET100,20180423,11.49,11.51,11.41,11.42,670000
CHINA,20180423,5.95,6,5.95,5.98,4900
EBANK,20180423,5.66,5.66,5.62,5.62,10400
EFOOD,20180423,6.05,6.05,6.05,6.05,500
ENGY,20180423,6.94,6.94,6.89,6.89,5800
ENY,20180423,8.18,8.18,8.09,8.09,1400
GLD,20180423,1.79,1.79,1.79,1.79,26800
TDEX,20180423,11.7,11.7,11.58,11.62,109800
TGOLDETF,20180423,3.91,3.91,3.91,3.91,5300
2S,20180423,4.12,4.14,4.1,4.1,17600
A,20180423,6.7,6.7,6.65,6.7,62500
AAV,20180423,5.55,5.7,5.5,5.55,14329000
ABICO,20180423,8.05,8.05,7.95,8,32100
ABM,20180423,1.44,1.5,1.37,1.38,19765000
ABPIF,20180423,8.6,8.6,8.55,8.6,44800
ACAP,20180423,11.2,11.4,11,11.1,902700
ACC,20180423,0.53,0.53,0.51,0.52,196200
ADB,20180423,1.4,1.42,1.39,1.4,2605400
ADVANC,20180423,206,206,204,204,4586300
AEC,20180423,0.55,0.56,0.54,0.54,946700
AEONTS,20180423,182.5,182.5,176,176,362300
AF,20180423,0.96,0.97,0.92,0.94,801300
AGE,20180423,1.43,1.45,1.41,1.43,849300
AH,20180423,34.75,35.75,34.5,34.75,144700
AHC,20180423,21.2,21.2,20.7,21,11100
AIMIRT,20180423,9.95,10,9.95,10,54500
AIRA,20180423,2.12,2.14,2.08,2.1,435100
AIT,20180423,28,28,27.5,27.5,336100
AJ,20180423,13.6,13.7,13.6,13.7,393900
AJA,20180423,0.53,0.54,0.53,0.54,6462200
AKP,20180423,1.96,1.96,1.94,1.94,46700
AKR,20180423,1.08,1.08,1.05,1.08,15764000
ALLA,20180423,1.86,1.95,1.86,1.9,1920400
ALT,20180423,4.02,4.1,4,4.02,1096800
ALUCON,20180423,246,246,241,242,13300
AMA,20180423,10.5,10.5,10.3,10.4,201100
AMANAH,20180423,1.73,1.76,1.71,1.75,21306200
AMARIN,20180423,5.7,5.9,5.6,5.8,312400
AMATA,20180423,21.3,21.4,21,21,10263300
AMATAR,20180423,10.4,10.4,10.3,10.4,47000
AMATAV,20180423,7.4,7.55,7.4,7.4,331300
AMC,20180423,2.72,2.74,2.68,2.74,56800
ANAN,20180423,3.72,3.76,3.7,3.7,3325900
AOT,20180423,70,72,70,71,49030600
AP,20180423,8.15,8.25,8.15,8.2,3271700
APCO,20180423,1.17,1.17,1.15,1.16,343000
APCS,20180423,6.8,6.8,6.35,6.35,851500
APEX,20180423,0.31,0.32,0.3,0.31,4243100
APURE,20180423,1.58,1.65,1.57,1.65,2097000
AQ,20180423,0.04,0.04,0.03,0.03,30342800
AQUA,20180423,0.49,0.5,0.48,0.5,9726300
ARIP,20180423,0.6,0.6,0.59,0.6,158800
ARROW,20180423,12,12.1,12,12.1,33100
AS,20180423,1.8,1.84,1.75,1.82,4417600
ASAP,20180423,9.4,9.55,9.3,9.3,1185200
ASEFA,20180423,5.85,5.85,5.8,5.8,82800
ASIA,20180423,70,72,70,70.25,4200
ASIAN,20180423,7.1,7.35,7.05,7.25,4681400
ASIMAR,20180423,3.04,3.1,3.02,3.02,368600
ASK,20180423,22.3,22.5,22.3,22.5,219100
ASN,20180423,3.86,3.88,3.86,3.86,10400
ASP,20180423,3.86,3.86,3.84,3.86,1631400
ATP30,20180423,1.73,1.74,1.72,1.73,321500
AU,20180423,11.9,12,11.7,11.9,1177900
AUCT,20180423,5.15,5.2,5.15,5.15,80100
