<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAY,19860723,8.3039,8.3737,8.2342,8.2342,153329
BBL,19860723,15.6378,15.806,15.6378,15.6378,261990
BFIT,19860723,5.0814,5.1264,5.0814,5.1264,93398
CTW,19860723,2.4294,2.4294,2.4294,2.4294,12008
ICC,19860723,25.8143,25.8143,25.8143,25.8143,896
KBANK,19860723,10.2727,10.2727,10.1684,10.1684,88191
SCB,19860723,18.6733,18.7457,18.6733,18.7457,147108
SCC,19860723,5.63,5.67,5.63,5.67,2140000
SCCC,19860723,51.2607,51.7965,51.0821,51.0821,406475
SFP,19860723,28.5,29.3,28.5,28.5,174000
SINGER,19860723,2.7279,2.7279,2.6765,2.7022,262285
SSC,19860723,2.0034,2.0034,2.0034,2.0034,39130
TCAP,19860723,0.9497,0.9738,0.9336,0.9336,664749
TISCO,19860723,4.1751,4.1751,4.1751,4.1751,105381
TMB,19860723,9.8406,9.8406,9.7911,9.7911,14014
SET,19860723,139.7,139.7,139.7,139.7,445000
