<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20180717,12.7,12.84,12.65,12.84,8300
BMSCG,20180717,8.79,8.79,8.73,8.75,14200
BMSCITH,20180717,12.6,12.65,12.55,12.64,744100
BSET100,20180717,10.32,10.36,10.28,10.34,250300
CHINA,20180717,5.54,5.54,5.48,5.48,8900
EBANK,20180717,5.4,5.4,5.4,5.4,100
ENGY,20180717,6.06,6.06,6.06,6.06,2000
ESET50,20180717,5.58,5.58,5.58,5.58,100
GLD,20180717,1.76,1.77,1.76,1.76,83000
TDEX,20180717,10.52,10.52,10.47,10.52,203500
TGOLDETF,20180717,3.86,3.86,3.86,3.86,12000
TH100,20180717,4.74,4.75,4.66,4.75,600
2S,20180717,3.08,3.1,3.06,3.08,30000
7UP,20180717,0.52,0.52,0.51,0.51,4965800
A,20180717,6.7,6.7,6.7,6.7,78600
AAV,20180717,4.68,4.7,4.64,4.66,5089700
ABICO,20180717,5.5,5.5,5.4,5.45,12100
ABM,20180717,1.19,1.19,1.14,1.17,2191400
ABPIF,20180717,8.5,8.55,8.45,8.45,41100
ACAP,20180717,8,8.25,7.7,7.7,3093900
ACC,20180717,0.48,0.48,0.45,0.47,388700
ADB,20180717,1.17,1.19,1.16,1.16,684500
ADVANC,20180717,197,198.5,196,196.5,2375100
AEC,20180717,0.45,0.47,0.45,0.46,335300
AEONTS,20180717,169,173,166.5,172.5,1061600
AF,20180717,0.86,0.87,0.86,0.86,8000
AGE,20180717,1.45,1.45,1.43,1.43,384400
AH,20180717,31.5,32.5,31.5,32.5,1269600
AHC,20180717,20.5,20.5,20.5,20.5,3800
AIMIRT,20180717,10.1,10.1,9.95,10,390800
AIRA,20180717,2.02,2.04,2,2,8200
AIT,20180717,23.4,23.4,23.2,23.2,229800
AJ,20180717,10.8,10.8,10.5,10.5,316400
AJA,20180717,0.37,0.38,0.36,0.37,7307400
