<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
A,20040726,2.33,2.33,2.21,2.22,2694600
ACC,20040726,10.8,10.8,10.7,10.7,80400
ADAM,20040726,3.5359,3.5528,3.2991,3.2991,2918034
ADVANC,20040726,96,96,92.5,92.5,1731199
AEC,20040726,10,10.1,9.8,9.85,873300
AEONTS,20040726,32.75,32.75,31.75,31.75,45200
AFC,20040726,9.05,9.05,8.5,8.5,3500
AH,20040726,32.25,32.25,30,30.25,1545600
AIT,20040726,23.6667,23.8333,22.6667,23,2084850
AJ,20040726,4.7,4.76,4.64,4.68,127900
AMANAH,20040726,1.24,1.24,1.22,1.22,62000
AMARIN,20040726,10.3,10.3,10.3,10.3,12600
AMATA,20040726,11.3,11.3,11.1,11.2,742000
AOT,20040726,51,51.5,50,50,2836600
AP,20040726,4.28,4.28,3.96,4.06,15218100
APURE,20040726,1.1556,1.1556,1.1378,1.1556,129487
AQ,20040726,6.1779,6.2715,5.9439,5.9439,1203572
ASIAN,20040726,4.82,4.82,4.78,4.82,78200
ASIMAR,20040726,1.68,1.68,1.63,1.63,19000
ASP,20040726,8.45,8.45,8.1,8.1,21830000
AYUD,20040726,17.4,17.4,17.2,17.3,68500
BAFS,20040726,8.9969,8.9969,8.8303,8.8303,527223
BANPU,20040726,143,143,138,139,2544700
BAT-3K,20040726,57,57.5,56,57.5,7000
BAY,20040726,12,12,11.5,11.7,7816400
BBL,20040726,94.5,96,91,92,6410472
BCP,20040726,15.2,15.2,14.5,14.5,1510950
BDMS,20040726,12.6,12.6,11.7,11.9,686290
BEC,20040726,17.1,17.1,16.6,16.8,2379400
BFIT,20040726,16.25,17.375,16.25,17,5677400
BH,20040726,13.6,13.6,12.7,12.7,4881099
BIGC,20040726,18.9,19,18.9,18.9,10500
BJC,20040726,7.2,7.2,7.2,7.2,100
BKI,20040726,153.333,153.333,152,152,9150
BLAND,20040726,0.76,0.76,0.73,0.73,40933000
BROOK,20040726,1.45,1.45,1.38,1.39,84900
BTC,20040726,4.26,4.26,4.08,4.08,52616
CCET,20040726,3.275,3.3,3.25,3.275,927000
CCP,20040726,7.3,7.4,7.15,7.15,13245300
CENTEL,20040726,2.2343,2.2343,2.2197,2.2197,669700
CFRESH,20040726,2.9,2.92,2.82,2.9,26700
CHOTI,20040726,101,101,97,97,3000
CI,20040726,6.6,6.6,6.5,6.5,68300
CIMBT,20040726,2.0323,2.0323,1.9285,1.9285,6959530
CK,20040726,12.2,12.3,12.1,12.1,1757500
CM,20040726,3.2936,3.2936,3.2936,3.2936,1100
CNS,20040726,71,71.5,68.5,69,1091399
CPALL,20040726,6.25,6.25,6.2,6.2,1213000
CPF,20040726,3.72,3.74,3.7,3.7,1930200
CPH,20040726,6.9,6.9,6.55,6.55,22100
CPI,20040726,5.424,5.424,5.3756,5.3756,101179
CPL,20040726,25.75,25.75,25.75,25.75,2500
CPN,20040726,9.35,9.5,9.35,9.5,112000
CSC,20040726,18.9,18.9,18.5,18.5,11300
CSL,20040726,9.1,9.1,8.9,8.9,2808900
CSR,20040726,46,46,45.75,45.75,11100
CTW,20040726,8.4,8.4,8.3,8.3,32700
CWT,20040726,20.5,20.5,19.8,20.2,369800
DCC,20040726,20.3,20.3,19.9,19.9,368000
DELTA,20040726,20,20.2,19.5,19.5,616200
DRACO,20040726,2.22,2.22,2.22,2.22,2000
DTC,20040726,41,41,40.5,40.5,10800
EARTH,20040726,1.46,1.5,1.44,1.44,2169700
EASTW,20040726,4.625,4.625,4.6,4.6,890000
ECL,20040726,0.596,0.596,0.58,0.584,565000
EGCO,20040726,69,69.5,68.5,69,872800
EIC,20040726,2.48,2.48,2.44,2.48,152500
EMC,20040726,4.38,4.46,4.36,4.4,355680
ERW,20040726,2.62,2.64,2.46,2.5,1577300
ESTAR,20040726,0.7,0.7,0.65,0.66,25126164
FANCY,20040726,5.7,5.7,5.6,5.7,333000
FER,20040726,5.55,5.55,5.3,5.3,1300300
FNS,20040726,37.5,38,36.5,36.75,69000
GEL,20040726,1.38,1.38,1.32,1.33,3241800
GENCO,20040726,1.29,1.29,1.2,1.22,12865400
GFPT,20040726,1.3,1.32,1.3,1.3,261000
GJS,20040726,1.68,1.68,1.64,1.64,7525100
GLAND,20040726,12.6,12.6,12.4,12.4,10300
GOLD,20040726,8.3,8.3,8,8.1,313700
GRAMMY,20040726,15.7,15.9,15.3,15.7,445100
GRAND,20040726,2.244,2.244,2.106,2.106,206002
HANA,20040726,21.2,21.3,20.8,20.8,1443100
HFT,20040726,1.95,1.95,1.8,1.82,117000
HMPRO,20040726,1.2301,1.2301,1.1835,1.1835,4068573
HTC,20040726,3.76,3.76,3.74,3.76,18033
IEC,20040726,0.102,0.102,0.095,0.095,18138000
INET,20040726,6.55,6.6,6.2,6.25,420500
INTUCH,20040726,37.25,37.5,36.5,36.5,4193100
IRC,20040726,11.7,11.8,11.5,11.5,45200
IRCP,20040726,10.3,10.3,10,10.2,283300
IRPC,20040726,4.1472,4.1957,4.0745,4.0745,16691710
