<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAY,19860424,7.4666,7.4666,7.4666,7.4666,18616
BBL,19860424,15.1334,15.1334,15.0493,15.1334,208000
BFIT,19860424,3.8223,3.8223,3.8223,3.8223,4446
KBANK,19860424,9.2819,9.3341,9.2819,9.3341,107380
SCC,19860424,4.67,4.77,4.65,4.67,5040000
SCCC,19860424,42.8661,43.5805,42.8661,42.8661,108617
TCAP,19860424,0.8451,0.9094,0.8451,0.9094,86975
TMB,19860424,9.2471,9.3955,9.2471,9.3461,36554
TPC,19860424,1.1731,1.1731,1.1731,1.1731,18436
SET,19860424,129.3,129.3,129.3,129.3,239000
