<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20110927,9.1,9.4,9.1,9.4,533100
CHINA,20110927,5.8,5.99,5.8,5.94,62400
ENGY,20110927,4.4,4.57,4.37,4.57,185300
GLD,20110927,2.32,2.36,2.31,2.36,16130800
TDEX,20110927,6.5,6.61,6.35,6.57,2027500
2S,20110927,2.4,2.42,2.3,2.4,70900
A,20110927,3.46,3.48,3.46,3.48,17000
ACAP,20110927,6.9,6.9,6.85,6.85,10700
ACC,20110927,3.5,3.54,3.38,3.5,741800
ADAM,20110927,0.93,0.96,0.92,0.95,91700
ADVANC,20110927,119.5,121.5,116.5,120.5,9023300
AEONTS,20110927,30,30.25,29.25,30,80100
AFC,20110927,8.6,8.6,8.55,8.55,26800
AGE,20110927,6.1,6.15,5.6,5.95,10463000
AH,20110927,11.4,11.4,10.8,11.4,171700
AI,20110927,2.7,2.78,2.7,2.74,117200
AIT,20110927,42.5,43.75,42.25,43.25,97100
AJ,20110927,15.8,16.1,15.2,16.1,4621400
AKR,20110927,0.74,0.74,0.7,0.73,8260800
ALUCON,20110927,101,101,101,101,1000
AMANAH,20110927,0.91,0.92,0.9,0.91,1019300
AMARIN,20110927,11.8,11.9,11.7,11.8,106200
AMATA,20110927,10.6,11.2,10.5,11.2,9867700
AMC,20110927,1.71,1.74,1.7,1.74,60800
AOT,20110927,38.25,39.75,37,39,8545600
AP,20110927,5.4,5.55,5.25,5.55,13140900
APURE,20110927,0.73,0.74,0.71,0.72,1936700
AQ,20110927,0.42,0.44,0.42,0.44,1881000
AQUA,20110927,0.32,0.33,0.31,0.33,257200
ARIP,20110927,0.93,0.95,0.9,0.94,1702200
AS,20110927,12.5,12.5,12,12.3,64600
ASIA,20110927,33,33,33,33,100
ASIAN,20110927,3.52,3.52,3.3,3.38,219300
ASIMAR,20110927,1.13,1.16,1.07,1.16,7830200
ASK,20110927,9.7,10.1,9.7,10,39700
ASP,20110927,1.95,2.02,1.94,2.02,10522700
AYUD,20110927,18.8,19.1,18.8,19.1,186000
BAFS,20110927,9.95,10.4,9.95,10.4,262200
BANPU,20110927,548,562,536,562,3016650
BAT-3K,20110927,78,82,78,82,11200
BAY,20110927,20.7,21.5,20.1,21.5,17752900
BBL,20110927,143.5,146,142,145.5,10493100
BCH,20110927,6.3,6.6,6.3,6.45,3725400
BCP,20110927,16.8,17.5,16.7,17.5,12744300
BDMS,20110927,62,63,59.75,63,2380200
BEC,20110927,36.75,38.25,36.5,38.25,2214400
BFIT,20110927,6.6,6.6,6.25,6.5,151800
BH,20110927,36,38,35.75,38,1545400
BIGC,20110927,108,112,105,112,1136000
BJC,20110927,21.4,21.4,20.1,20.1,887900
BKI,20110927,247,254,246,254,6400
BLA,20110927,43,43.5,41,43,3586500
BLAND,20110927,0.52,0.52,0.49,0.51,61618800
BOL,20110927,1.13,1.21,1.12,1.21,225200
BROCK,20110927,0.69,0.72,0.68,0.72,1363700
BROOK,20110927,0.82,0.84,0.8,0.83,9859700
BSBM,20110927,1.28,1.28,1.26,1.28,695200
BSM,20110927,0.68,0.7,0.65,0.66,48700
BTC,20110927,0.3,0.33,0.29,0.33,4289400
BTNC,20110927,15.4,15.8,15.4,15.8,1100
BTS,20110927,0.61,0.61,0.59,0.6,166257100
BUI,20110927,17.5,17.5,17.5,17.5,1000
BWG,20110927,1.27,1.28,1.23,1.27,11872800
CCET,20110927,2.4,2.42,2.32,2.42,393000
CCP,20110927,2.2,2.2,2.14,2.18,115700
CEN,20110927,2.42,2.5,2.3,2.46,332500
CENTEL,20110927,7.6,7.95,7.4,7.9,3192000
CFRESH,20110927,4.04,4.14,4,4.14,371100
CGD,20110927,0.43,0.45,0.43,0.45,827900
CHOTI,20110927,224,224,222,224,4600
CHUO,20110927,8.7,9.1,8.7,9.1,1100
CI,20110927,3.36,3.38,3.36,3.36,26000
CIG,20110927,0.72,0.72,0.69,0.72,863600
CIMBT,20110927,2.4,2.4,2.26,2.36,465500
CITY,20110927,1.78,1.8,1.78,1.78,294100
CK,20110927,5.95,5.95,5.7,5.9,3423500
CM,20110927,2.92,3.04,2.92,2.98,136100
CMO,20110927,1.85,1.88,1.79,1.84,10123600
CNS,20110927,28,28.75,27.75,28.75,57500
CNT,20110927,3.1,3.18,3.1,3.14,1037800
COL,20110927,12,12.2,11.8,12.2,21300
COLOR,20110927,2.68,2.78,2.62,2.72,475000
CPALL,20110927,48.5,48.75,45.75,47.75,21180900
CPF,20110927,27.5,27.75,26.75,27.5,41708200
CPH,20110927,3.96,3.98,3.9,3.98,4000
CPI,20110927,3.94,4.1,3.94,4.1,900
CPL,20110927,23.5,23.5,23,23,40900
CPN,20110927,34,34.25,32.25,34.25,4403100
CPNRF,20110927,12.2,12.5,12.1,12.5,2637600
CPR,20110927,1.79,1.82,1.75,1.82,13500
CRANE,20110927,3.04,3.28,3.04,3.28,145000
CSC,20110927,30.5,30.5,29.75,30,6500
CSL,20110927,5.1,5.15,4.92,5.15,2168700
CSP,20110927,1.95,2.08,1.95,2.08,15000
CTARAF,20110927,8.2,8.2,8.1,8.2,109500
CTW,20110927,6.95,7,6.9,6.9,94500
CWT,20110927,6.6,6.6,5.7,6.5,400
DCC,20110927,50,50.75,48.5,50.75,389600
DCON,20110927,3.24,3.56,3.24,3.56,5500
DELTA,20110927,19.9,20.3,19.8,20.2,619700
DEMCO,20110927,3.7,3.8,3.56,3.8,568700
DIMET,20110927,1.1,1.13,1.1,1.13,158900
DRACO,20110927,3.32,3.32,3.22,3.28,84300
DRT,20110927,6,6.05,5.85,5.95,830900
DSGT,20110927,7.05,7.3,6.85,6.95,849500
