<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ENGY,20101118,5.09,5.18,5.09,5.18,158200
TDEX,20101118,6.91,6.98,6.87,6.97,1291500
2S,20101118,3.12,3.2,3.1,3.2,192100
A,20101118,3.6,3.68,3.54,3.66,222900
ACAP,20101118,11.4,11.4,10.5,10.8,286300
ACC,20101118,2.32,2.34,2.3,2.34,84100
ADAM,20101118,0.97,0.97,0.96,0.96,19700
ADVANC,20101118,90,90.75,89.75,90.5,2937300
AEC,20101118,2.54,2.56,2.54,2.56,29500
AEONTS,20101118,31,31.75,31,31.5,79300
AFC,20101118,5.6,6,5.6,6,1100
AGE,20101118,13.1,13.5,13,13.5,2222600
AH,20101118,15.5,16,15.5,16,808800
AHC,20101118,68,68,68,68,700
AI,20101118,3.96,3.98,3.9,3.96,550700
AIT,20101118,42.25,43,42,42.25,90400
AJ,20101118,34.5,34.75,32.25,32.5,14130100
AKR,20101118,1.23,1.27,1.21,1.25,9892400
AMANAH,20101118,1.01,1.01,0.99,0.99,1077800
AMARIN,20101118,12,12.2,11.9,12.2,42900
AMATA,20101118,15,15.3,14.9,15.3,6577600
AMC,20101118,1.92,2.04,1.92,1.93,1101100
AOT,20101118,36.5,37.75,36.5,37,1206700
AP,20101118,5.9,6,5.9,5.95,10141600
APURE,20101118,0.83,0.83,0.83,0.83,192500
AQ,20101118,0.5,0.52,0.49,0.5,722600
AQUA,20101118,0.49,0.49,0.48,0.49,249000
AS,20101118,10.1,10.3,10.1,10.3,37400
ASIA,20101118,31.5,32.25,30,32.25,3100
ASIAN,20101118,3.56,3.64,3.56,3.58,447800
ASIMAR,20101118,0.73,0.74,0.72,0.74,534900
ASK,20101118,8.8,8.95,8.8,8.95,20200
ASP,20101118,2.68,2.72,2.68,2.72,8989800
AYUD,20101118,17.3,17.5,17.3,17.4,81700
BAFS,20101118,10.5,10.5,10.3,10.4,95700
BANPU,20101118,750,760,738,758,2534050
BAT-3K,20101118,57.75,57.75,57.75,57.75,1000
BAY,20101118,22.7,23.2,22.6,23.2,11609600
BBL,20101118,147,150,145,149.5,7850800
BCH,20101118,6.2,6.3,6.2,6.25,1918700
BCP,20101118,15.3,15.5,15.2,15.4,2407100
BDMS,20101118,37.5,38,37.5,37.75,835000
BEC,20101118,34,34.25,33.5,33.75,2002700
BFIT,20101118,4.42,4.52,4.42,4.42,68200
BGT,20101118,1.7,1.7,1.67,1.68,116500
BH,20101118,32,33.25,31.75,31.75,268800
BIGC,20101118,68.5,69.5,66.75,67.5,936500
BJC,20101118,17.8,17.8,17.4,17.4,1676100
BKI,20101118,252,252,251,251,23500
BLA,20101118,27,27.5,26.75,26.75,1050000
BLAND,20101118,0.7,0.72,0.7,0.72,31164100
BLISS,20101118,0.06,0.06,0.05,0.06,659300
BOL,20101118,1.33,1.35,1.32,1.34,10800
BROCK,20101118,0.72,0.72,0.72,0.72,4000
BROOK,20101118,0.81,0.82,0.8,0.82,888100
BSBM,20101118,1.44,1.46,1.44,1.45,540200
BSM,20101118,0.83,0.83,0.82,0.82,7800
BTC,20101118,0.41,0.42,0.41,0.42,1062100
BTNC,20101118,16.9,16.9,16.9,16.9,100
BTS,20101118,0.78,0.8,0.78,0.79,231524200
BWG,20101118,1.73,1.73,1.7,1.71,322800
CCET,20101118,3.4,3.48,3.38,3.44,2027800
CCP,20101118,3.48,3.62,3.48,3.5,2322700
CEN,20101118,5.6,5.7,5.55,5.7,1135200
CENTEL,20101118,4.76,4.76,4.68,4.72,362300
CFRESH,20101118,4.66,4.68,4.64,4.66,223800
CGD,20101118,0.67,0.7,0.67,0.68,40582000
CHOTI,20101118,172,175,168,174,1900
CI,20101118,3.98,3.98,3.96,3.96,25100
CIG,20101118,1.09,1.12,1.09,1.1,2665600
CIMBT,20101118,3.08,3.1,3.06,3.06,1478200
CITY,20101118,2,2.04,2,2.04,1672500
CK,20101118,9.15,9.45,9,9.25,25139600
CM,20101118,4.06,4.06,3.98,4.04,66000
CMO,20101118,1.31,1.33,1.31,1.33,903200
CMR,20101118,32.5,32.5,32.5,32.5,4000
CNS,20101118,32.5,33,32.5,33,84900
CNT,20101118,4.96,5.2,4.9,4.92,27408500
COL,20101118,7.1,7.1,7.05,7.1,5800
CPALL,20101118,39.25,41,39.25,41,9419400
CPF,20101118,22.4,22.6,22.2,22.5,24501000
CPH,20101118,5.8,5.8,5.7,5.7,3300
CPI,20101118,4.36,4.36,4.36,4.36,17200
CPL,20101118,29.25,30,28.5,29.5,41000
CPN,20101118,25.75,26.5,25.75,26,988300
CPNRF,20101118,11.6,11.8,11.6,11.8,726100
CPR,20101118,2.64,2.64,2.5,2.64,42200
CRANE,20101118,1.82,1.84,1.81,1.84,137600
CSC,20101118,30.25,30.25,30,30,3500
CSL,20101118,4.66,4.74,4.66,4.72,634800
CSP,20101118,2.16,2.18,2.12,2.18,111000
CSR,20101118,48,48,48,48,100
CTARAF,20101118,8.7,8.7,8.55,8.65,113700
CTW,20101118,11.7,11.9,11.3,11.7,8905800
CWT,20101118,11.5,12.3,11.4,11.6,5439500
DCC,20101118,56,56.75,55.75,56.75,248200
DCON,20101118,3.04,3.04,3,3.02,41400
DELTA,20101118,32.75,33.25,32.25,33.25,1109900
DEMCO,20101118,4.38,4.56,4.38,4.5,5723800
DIMET,20101118,0.72,0.72,0.7,0.71,257900
DRACO,20101118,3.3,3.3,3.26,3.28,25000
DRT,20101118,6.05,6.1,6,6.05,1510400
DSGT,20101118,8.45,8.7,8.45,8.65,116100
DTAC,20101118,42.5,43,42.25,42.75,3867300
DTC,20101118,30.5,31.25,30.5,31.25,400
DTCI,20101118,10.6,10.6,10.6,10.6,118700
EASON,20101118,1.84,1.86,1.82,1.83,450300
EASTW,20101118,6.4,6.5,6.35,6.5,181800
ECL,20101118,0.96,0.98,0.96,0.97,279500
EE,20101118,1.32,1.33,1.24,1.24,4001400
EFORL,20101118,0.09,0.1,0.08,0.09,5327800
EGCO,20101118,93.5,95.75,93.5,95.75,185500
EMC,20101118,1.49,1.52,1.49,1.51,1668100
EPCO,20101118,1.9,1.91,1.9,1.91,296200
ERW,20101118,2.26,2.28,2.24,2.26,1162900
ESSO,20101118,6.4,6.5,6.4,6.45,1648300
ESTAR,20101118,0.45,0.45,0.44,0.44,1440500
EVER,20101118,0.52,0.52,0.51,0.51,9500
FANCY,20101118,2.22,2.26,2.2,2.22,190900
FC,20101118,2.44,2.92,2.4,2.78,144522100
FER,20101118,1.5,1.77,1.5,1.77,196114600
FNS,20101118,3.88,3.88,3.88,3.88,1000
FOCUS,20101118,1.58,1.66,1.58,1.6,19600
FORTH,20101118,4.26,4.34,4.22,4.22,1685200
FSS,20101118,3.04,3.18,3.04,3.14,28300
FUTUREPF,20101118,12.4,12.5,12.4,12.5,296700
GBX,20101118,1,1,0.99,0.99,4126000
GC,20101118,5.3,5.7,5.3,5.4,469200
GEL,20101118,0.12,0.13,0.12,0.13,4864000
GENCO,20101118,0.57,0.57,0.56,0.56,1220000
GFPT,20101118,7.4,7.55,7.4,7.55,1504100
GJS,20101118,0.26,0.27,0.25,0.26,334330700
GL,20101118,24.9,25,24.9,24.9,8400
GLAND,20101118,7.45,7.45,7.45,7.45,5000
GLOBAL,20101118,9.8,10,9.7,9.9,1479000
GLOW,20101118,45.5,45.5,43.75,45,4232000
GOLD,20101118,3.56,3.56,3.52,3.54,114100
GRAMMY,20101118,14.3,14.3,14.3,14.3,200
GRAND,20101118,1.58,1.6,1.58,1.6,10100
GREEN,20101118,0.81,0.81,0.77,0.78,214300
GSTEL,20101118,0.73,0.78,0.73,0.77,1147599100
GUNKUL,20101118,6.85,7,6.85,6.85,1888400
GYT,20101118,412,412,404,408,1300
HANA,20101118,25.25,25.5,25.25,25.25,1007900
HFT,20101118,2.4,2.46,2.4,2.44,362500
HMPRO,20101118,8.85,9.25,8.85,9.05,6442400
HTC,20101118,5,5.1,5,5.1,197800
HTECH,20101118,3.66,3.7,3.66,3.7,276700
ICC,20101118,40,40.25,39.75,40.25,1800
IEC,20101118,0.02,0.03,0.02,0.02,181941800
IFEC,20101118,1.56,1.56,1.54,1.55,89800
IFS,20101118,1.43,1.44,1.41,1.44,798200
IHL,20101118,10.5,11.3,10.5,11,6340500
ILINK,20101118,6.85,6.9,6.85,6.9,12700
INET,20101118,1.39,1.39,1.33,1.34,472000
INOX,20101118,1.44,1.46,1.43,1.46,949700
INTUCH,20101118,34.5,34.5,34,34.5,193300
IRC,20101118,13,13.1,13,13.1,57300
IRCP,20101118,4.76,4.94,4.76,4.94,5000
IRPC,20101118,4.32,4.42,4.32,4.4,48153900
IT,20101118,8.5,8.55,8.4,8.5,596000
ITD,20101118,4.98,5.05,4.92,5,185776100
IVL,20101118,48,48.5,47,47.75,30911200
JAS,20101118,1.96,2,1.91,1.99,217377900
JCT,20101118,56,56,56,56,400
JMART,20101118,2.8,3.1,2.74,2.88,13838300
JTS,20101118,2.82,2.9,2.78,2.8,15607600
JUBILE,20101118,6.05,6.1,6.05,6.1,619500
JUTHA,20101118,5.7,5.75,5.5,5.6,1411300
KAMART,20101118,0.41,0.41,0.4,0.4,1580900
KASET,20101118,6.1,6.2,6.1,6.1,434600
KBANK,20101118,114,119,114,118.5,6165700
KC,20101118,0.91,0.91,0.9,0.9,37100
KCAR,20101118,9.7,9.85,9.7,9.8,193400
KCE,20101118,7.1,7.3,7.05,7.3,1263000
KGI,20101118,2.58,2.62,2.52,2.6,12016500
KIAT,20101118,17.9,18.1,17.8,17.8,31500
KKC,20101118,6.2,6.35,6,6.15,6583000
KKP,20101118,37.5,38.25,37.5,38,1433900
KSL,20101118,14,14.5,14,14.1,4598500
KTB,20101118,16.3,16.8,16.1,16.8,36493800
KTC,20101118,12.4,12.7,12.4,12.7,148200
KWG,20101118,2.18,2.22,2.18,2.18,369100
KYE,20101118,217,219,215,219,14300
L&E,20101118,8.1,8.2,8,8.2,26800
LALIN,20101118,2.38,2.42,2.38,2.38,363100
LANNA,20101118,18.4,18.9,18.2,18.6,1234200
LEE,20101118,3.08,3.1,3.06,3.1,122000
LH,20101118,6.3,6.45,6.25,6.35,9069900
LHK,20101118,2.98,3.04,2.98,3,741800
LOXLEY,20101118,2.66,2.7,2.62,2.62,34509300
LPN,20101118,9.5,9.55,9.4,9.4,5648200
LRH,20101118,48.5,48.5,48.5,48.5,800
LST,20101118,4.26,4.44,4.26,4.32,4511800
LUXF,20101118,7.65,7.65,7.6,7.65,18200
LVT,20101118,1.45,1.49,1.45,1.46,1029700
MACO,20101118,3.74,3.8,3.7,3.7,10200
MAJOR,20101118,12.4,12.5,12.3,12.5,954400
MAKRO,20101118,143.5,147,142,147,154000
MATCH,20101118,2.58,2.58,2.58,2.58,1000
MATI,20101118,6.8,6.8,6.8,6.8,44000
MAX,20101118,0.2,0.21,0.2,0.2,7639500
MBAX,20101118,1.75,1.85,1.73,1.73,27100
MBK,20101118,100,103,100,103,31300
MBKET,20101118,15.3,15.4,15.1,15.4,1181900
MCOT,20101118,26.75,27.25,26.75,26.75,146400
MCS,20101118,8.7,8.75,8.65,8.7,1622700
MDX,20101118,4.74,4.86,4.68,4.74,43697200
MFEC,20101118,4.38,4.38,4.34,4.38,105000
MIDA,20101118,0.66,0.67,0.64,0.66,1840600
MILL,20101118,2.34,2.36,2.32,2.36,9693100
MINT,20101118,11.5,11.6,11.3,11.5,3959100
MJD,20101118,2.86,2.94,2.86,2.94,363800
MJLF,20101118,10.4,10.5,10.4,10.5,71300
MK,20101118,2.94,3,2.94,2.98,895600
ML,20101118,0.89,0.9,0.88,0.89,380000
MNIT,20101118,8,8,8,8,252600
MNRF,20101118,9.85,9.85,9.85,9.85,2000
MODERN,20101118,47.5,48.25,47.5,48.25,52300
MONTRI,20101118,10,10,10,10,4000
MOONG,20101118,4.06,4.08,4,4.08,41600
MPIC,20101118,1.19,1.23,1.19,1.2,5288100
MTI,20101118,66,66,66,66,12100
NBC,20101118,6.95,7,6.95,6.95,204100
NC,20101118,14.6,14.6,14.5,14.5,2000
NCH,20101118,1.25,1.26,1.24,1.26,291000
NEP,20101118,0.38,0.39,0.38,0.38,2360500
NEW,20101118,16.2,16.2,16.2,16.2,1000
NEWS,20101118,0.1,0.12,0.08,0.09,1239729700
NINE,20101118,3.72,3.94,3.6,3.94,17225600
NMG,20101118,8.9,8.95,8.8,8.8,42100
NNCL,20101118,1.57,1.58,1.57,1.58,2156100
NOBLE,20101118,5.75,5.9,5.75,5.85,115400
NTV,20101118,130,130,130,130,1000
NWR,20101118,0.73,0.75,0.73,0.74,12160300
OCC,20101118,14,14,14,14,100
OGC,20101118,46.25,46.25,45,45,2700
OISHI,20101118,84.5,84.5,84.5,84.5,100
PAE,20101118,0.54,0.65,0.53,0.65,162449400
PAF,20101118,0.98,1.01,0.98,0.98,594100
PAP,20101118,2.48,2.54,2.48,2.54,1851400
PATO,20101118,11,11.4,10.9,11.2,774500
PB,20101118,206,206,204,206,3000
PDI,20101118,22,22.5,22,22.2,6962400
PE,20101118,0.45,0.47,0.45,0.46,5522600
PERM,20101118,1.11,1.11,1.08,1.1,2593600
PF,20101118,4.2,4.28,4.2,4.26,381700
PICO,20101118,2.88,3,2.86,3,10300
PL,20101118,4.58,4.62,4.58,4.58,200800
PLE,20101118,1.52,1.53,1.5,1.51,1902300
PM,20101118,2.4,2.44,2.4,2.42,1348500
POLAR,20101118,0.34,0.34,0.34,0.34,100
PPM,20101118,2.76,2.88,2.76,2.82,423600
PR,20101118,246,246,246,246,300
PRANDA,20101118,6.7,6.75,6.65,6.7,250600
PREB,20101118,3.06,3.06,2.98,3.06,184100
PRECHA,20101118,1.26,1.26,1.23,1.24,825900
PRIN,20101118,1.99,2.02,1.97,2,1371000
PRINC,20101118,1.35,1.35,1.35,1.35,15000
PRO,20101118,0.22,0.23,0.22,0.22,132900
PSL,20101118,18.1,18.4,18.1,18.3,538200
PT,20101118,1.33,1.4,1.33,1.37,1119100
PTL,20101118,34.5,35,33.25,33.5,40727500
PTT,20101118,316,322,314,321,6074100
PTTEP,20101118,177,180.5,175.5,180.5,8622600
PYLON,20101118,2.66,2.7,2.66,2.68,232200
Q-CON,20101118,4.02,4.02,4.02,4.02,25000
QH,20101118,2.04,2.08,2.02,2.08,29971500
QHOP,20101118,8.25,8.25,8.2,8.25,71700
QHPF,20101118,9.6,9.65,9.6,9.65,279400
QLT,20101118,5.7,5.8,5.65,5.7,110500
RATCH,20101118,36.5,37,36.5,36.75,356900
RCI,20101118,1.28,1.34,1.28,1.32,1856600
RCL,20101118,15.1,15.2,14.8,14.9,1554700
RICH,20101118,0.1,0.1,0.09,0.1,41616400
RML,20101118,0.47,0.49,0.47,0.48,7311300
ROBINS,20101118,21.1,21.4,21,21,343800
ROJNA,20101118,10.9,11,10.7,10.9,1504600
RPC,20101118,3.46,3.5,3.4,3.4,4079700
RS,20101118,2.24,2.26,2.22,2.22,2843000
S,20101118,5.95,5.95,5.75,5.85,9500
S&J,20101118,22.5,22.9,22.4,22.4,7100
SABINA,20101118,110,111,110,111,6700
SALEE,20101118,3.52,3.54,3.44,3.48,284500
SAM,20101118,0.81,0.82,0.8,0.8,1994100
SAMART,20101118,8.2,8.2,7.95,8.05,5573800
SAMCO,20101118,2.26,2.3,2.2,2.26,281900
SAMTEL,20101118,12.3,12.5,12.2,12.3,3692100
SAT,20101118,27.5,28.5,27.25,28.25,2246800
SAUCE,20101118,178,178,178,178,1200
SC,20101118,16.6,16.8,16.5,16.7,578600
SCB,20101118,102.5,108,101.5,108,8087300
SCC,20101118,325,328,322,326,1867100
SCCC,20101118,225,228,225,228,88000
SCG,20101118,4.02,4.02,3.84,3.92,77100
SCP,20101118,13,13.2,13,13.2,11800
SE-ED,20101118,10.2,10.2,10.1,10.2,117300
SEAFCO,20101118,4.9,5.45,4.9,5.45,1502900
SENA,20101118,2.06,2.14,2.06,2.14,407200
SF,20101118,5.1,5.2,5.1,5.15,976500
SGP,20101118,16.4,16.9,16.2,16.7,2234500
SIAM,20101118,2.84,2.84,2.76,2.8,6164300
SIM,20101118,1.91,1.91,1.89,1.9,372100
SIMAT,20101118,3.5,3.7,3.48,3.56,981100
SINGER,20101118,3.36,3.42,3.36,3.4,180400
SIRI,20101118,5.5,5.7,5.5,5.6,1445900
SIS,20101118,10.8,10.8,10.8,10.8,36700
SITHAI,20101118,10.5,10.8,10.5,10.6,1139000
SKR,20101118,12.5,12.8,12.4,12.6,67800
SMIT,20101118,2.46,2.54,2.46,2.52,1235100
SMK,20101118,126,128,126,128,9000
SMM,20101118,0.77,0.79,0.77,0.78,1331700
SMT,20101118,16.5,16.7,16.3,16.4,7020400
SNC,20101118,16.8,17.5,16.8,17.4,761200
SNP,20101118,53.5,53.5,53.5,53.5,100
SOLAR,20101118,2.84,2.92,2.78,2.86,910400
SORKON,20101118,46,46,46,46,7300
SPACK,20101118,3.98,4.02,3.98,4.02,400800
SPALI,20101118,10.5,10.5,10.3,10.3,7194200
SPCG,20101118,14.5,17.2,14.3,16.5,10149700
SPF,20101118,9.8,9.85,9.8,9.8,290700
SPG,20101118,78,87,78,87,600
SPI,20101118,18.3,18.8,18.3,18.8,14600
SPORT,20101118,3.02,3.08,3.02,3.04,183400
SPPT,20101118,3.5,3.5,3.4,3.5,78300
SSC,20101118,41.75,45.5,41.75,45.25,2228500
SSF,20101118,5.7,5.8,5.7,5.75,49100
SSI,20101118,1.45,1.47,1.45,1.46,16630500
SSPF,20101118,4.46,4.46,4.46,4.46,200
SSSC,20101118,29.5,30,29.5,29.75,30300
STA,20101118,30.5,32.75,29.75,32.25,15682000
STANLY,20101118,178,182,178,180.5,19000
STAR,20101118,1.3,1.31,1.28,1.28,513500
STEC,20101118,12.9,13,12.4,12.8,10459900
STHAI,20101118,1.42,1.47,1.41,1.47,9100
STPI,20101118,28.25,28.5,28,28.5,618200
SUC,20101118,37.5,37.75,37,37.25,145000
SUPER,20101118,0.61,0.61,0.6,0.61,394500
SUSCO,20101118,0.73,0.74,0.73,0.74,1908200
SVH,20101118,80,80,80,80,100
SVI,20101118,2.9,2.92,2.84,2.86,13223500
SVOA,20101118,1.2,1.21,1.2,1.21,884600
SWC,20101118,4.9,4.9,4.82,4.82,1900
SYNEX,20101118,3.52,3.58,3.48,3.58,261500
SYNTEC,20101118,1.08,1.11,1.08,1.1,6422100
T,20101118,0.49,0.5,0.49,0.5,224000
TAPAC,20101118,2.9,2.94,2.9,2.94,20800
TASCO,20101118,71.25,72.25,70.75,71.5,2495900
TBSP,20101118,77,77,75,75,300
TC,20101118,3.5,3.56,3.48,3.52,91600
TCAP,20101118,37,38,37,37.75,4847700
TCB,20101118,39,39,38,38.75,57100
TCC,20101118,2.82,2.84,2.74,2.76,11989600
TCCC,20101118,20.1,20.3,19.9,20.3,84300
TCIF,20101118,10.5,10.5,10.5,10.5,6000
TCJ,20101118,10.2,11.7,10.2,10.9,19438100
TCMC,20101118,5.2,5.25,5.2,5.25,12000
TCOAT,20101118,19.3,19.5,19.3,19.5,1500
TEAM,20101118,2.2,2.26,2.12,2.14,2538700
TF,20101118,1068,1068,1044,1044,100
TFD,20101118,0.84,0.85,0.83,0.83,55900
TFI,20101118,2.08,2.34,2.04,2.26,4773000
TFUND,20101118,11.2,11.2,11.1,11.2,85100
