<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ENGY,20101014,4.98,5.03,4.98,5.03,106500
TDEX,20101014,6.95,6.95,6.87,6.92,1904400
2S,20101014,3.22,3.22,3.22,3.22,9000
A,20101014,3.76,3.78,3.74,3.74,209500
ACC,20101014,2.28,2.28,2.26,2.28,89500
ADAM,20101014,0.95,0.96,0.95,0.95,151500
ADVANC,20101014,94.5,95.25,94,94.25,12084500
AEC,20101014,2.6,2.6,2.6,2.6,20000
AEONTS,20101014,31,31.25,31,31,34400
AF,20101014,16.1,17.5,16.1,17.5,400
AGE,20101014,8.2,8.2,8.15,8.15,175400
AH,20101014,14.5,15.2,14.5,14.8,5417500
AHC,20101014,65,65,65,65,600
AI,20101014,4.04,4.04,3.94,3.94,1609900
AIT,20101014,42,42,41.5,41.75,173600
AJ,20101014,13.9,14.2,13.8,13.8,6527500
AKR,20101014,1.1,1.11,1.09,1.09,6063700
AMANAH,20101014,1.02,1.02,1,1.01,180300
AMARIN,20101014,12.7,13,12.7,12.9,195200
AMATA,20101014,15.4,15.4,15,15.1,7740600
AMC,20101014,2.14,2.14,2.14,2.14,17600
AOT,20101014,39.5,40.75,39.25,40.25,4579800
AP,20101014,7.25,7.25,7.15,7.15,18082200
APURE,20101014,0.85,0.87,0.85,0.86,2591000
AQ,20101014,0.59,0.59,0.58,0.58,1685600
AQUA,20101014,0.51,0.51,0.5,0.5,447400
AS,20101014,10.5,10.8,10.5,10.7,343000
ASIAN,20101014,3.78,3.8,3.78,3.8,129200
ASIMAR,20101014,0.76,0.77,0.76,0.76,78400
ASK,20101014,7.95,8,7.95,8,36500
ASP,20101014,3.26,3.26,3.16,3.16,51578300
AYUD,20101014,17.2,17.2,17.2,17.2,2000
BAFS,20101014,10.7,10.7,10.4,10.4,145400
BANPU,20101014,734,736,714,720,3700350
BAT-3K,20101014,57.75,57.75,57.5,57.5,1600
BAY,20101014,25.75,26,25.25,25.5,34647300
BBL,20101014,161,162,159,160,8198700
BCH,20101014,6.25,6.35,6.2,6.3,5080100
BCP,20101014,15.6,15.7,15.4,15.5,8739000
BDMS,20101014,37.75,38,37,37,846500
BEC,20101014,35.5,35.5,34.75,34.75,8539500
BFIT,20101014,4.68,4.68,4.64,4.68,101600
BGT,20101014,1.75,1.77,1.73,1.75,9600
BH,20101014,34.75,34.75,34.25,34.75,265800
BIGC,20101014,62.25,64,61.75,63.75,264600
BJC,20101014,18.1,18.3,18.1,18.1,2121000
BKI,20101014,275,275,272,273,24200
BKKCP,20101014,9.7,9.7,9.55,9.55,33100
BLA,20101014,30.5,30.5,29.75,29.75,1925600
BLAND,20101014,0.8,0.8,0.78,0.78,82678400
BLISS,20101014,0.06,0.06,0.05,0.06,314000
BOL,20101014,1.43,1.43,1.43,1.43,200
BROCK,20101014,0.75,0.77,0.75,0.75,403300
BROOK,20101014,0.82,0.83,0.8,0.8,750200
BSBM,20101014,1.5,1.51,1.49,1.49,994500
BSM,20101014,0.85,0.88,0.85,0.86,23300
BTC,20101014,0.48,0.48,0.47,0.47,315200
BTNC,20101014,14.4,14.4,14.3,14.4,11600
BTS,20101014,0.88,0.88,0.86,0.86,457372800
BWG,20101014,1.63,1.63,1.6,1.6,137200
CCET,20101014,3.82,3.84,3.7,3.8,19635600
CCP,20101014,3.9,4,3.86,3.88,4627900
CEN,20101014,6,6.05,5.9,5.9,2235000
CENTEL,20101014,5.2,5.2,5.15,5.15,1251500
CFRESH,20101014,5.25,5.3,5.2,5.2,2234900
CGD,20101014,0.66,0.67,0.63,0.63,22692100
CHARAN,20101014,58,58,58,58,2100
CHOTI,20101014,170,173,170,173,1100
CHUO,20101014,10.2,10.2,10,10.1,19400
CI,20101014,4.82,4.84,4.8,4.8,108800
CIG,20101014,1.1,1.1,1.09,1.09,1174400
CIMBT,20101014,3.6,3.62,3.56,3.56,4572900
CITY,20101014,1.99,2,1.99,1.99,798100
CK,20101014,11.2,11.2,10.6,10.8,31371200
CM,20101014,4.16,4.16,4.1,4.1,273900
CMO,20101014,1.33,1.35,1.32,1.33,1262600
CMR,20101014,30,31,30,30.5,16800
CNS,20101014,32.5,32.5,32,32.25,196700
CNT,20101014,6.75,6.85,6.65,6.65,2745700
COL,20101014,7,7.1,7,7.1,196100
CPALL,20101014,41,41.5,40,40.5,15232300
CPF,20101014,23.8,24.2,23.7,23.8,46055000
CPH,20101014,6.3,6.35,6.3,6.35,5100
CPI,20101014,4.04,4.04,4,4.04,163300
CPL,20101014,36.5,37.75,36.5,37.5,81300
CPN,20101014,29.75,30.25,29.5,29.75,5229800
CPNRF,20101014,11.1,11.1,11,11.1,576500
CPR,20101014,2.68,2.88,2.68,2.88,70100
CRANE,20101014,1.9,1.94,1.83,1.84,1804800
CSC,20101014,30.25,30.75,30,30,8300
CSL,20101014,4.72,4.76,4.72,4.74,1169500
CSP,20101014,2.16,2.18,2.14,2.14,47100
CTARAF,20101014,8.55,8.55,8.55,8.55,13000
CTW,20101014,8,8.05,7.9,7.9,126100
CWT,20101014,8,8.15,7.9,7.95,289900
DCC,20101014,54.5,56.25,54.5,56.25,666300
DCON,20101014,3.12,3.26,3.12,3.12,847300
DELTA,20101014,26.5,26.5,25.75,26,817200
DEMCO,20101014,4.5,4.5,4.46,4.48,1368400
DIMET,20101014,0.73,0.73,0.72,0.72,1671200
DRACO,20101014,3.32,3.34,3.3,3.3,188400
DRT,20101014,4.8,5.15,4.8,5,22603400
DSGT,20101014,10.1,10.4,10.1,10.2,265700
DTAC,20101014,41.25,41.75,41,41.25,7976100
DTC,20101014,32.75,33,32.75,33,5400
EASON,20101014,1.75,1.77,1.75,1.76,102900
EASTW,20101014,7.2,7.2,7.05,7.05,2708000
ECL,20101014,0.96,0.96,0.94,0.94,435300
EE,20101014,1.25,1.25,1.22,1.23,8400
EFORL,20101014,0.11,0.11,0.1,0.1,680100
EGCO,20101014,94,95,93.75,94.75,634400
EMC,20101014,1.71,1.78,1.71,1.73,5919800
EPCO,20101014,1.9,1.9,1.89,1.9,909200
ERW,20101014,2.32,2.34,2.32,2.32,1859800
ESSO,20101014,6.8,6.85,6.75,6.8,8559900
ESTAR,20101014,0.58,0.59,0.58,0.58,9059600
EVER,20101014,0.57,0.58,0.57,0.58,579100
FANCY,20101014,3.02,3.12,3.02,3.12,36000
FC,20101014,0.99,0.99,0.98,0.98,1100100
FER,20101014,1.3,1.3,1.29,1.29,196100
FMT,20101014,19.3,19.3,19,19,3000
FNS,20101014,3.88,3.96,3.88,3.96,92400
FOCUS,20101014,1.56,1.56,1.56,1.56,9900
FORTH,20101014,3.34,3.36,3.3,3.36,129000
FSS,20101014,2.84,2.92,2.84,2.84,25800
FUTUREPF,20101014,12.2,12.2,12.2,12.2,38600
GBX,20101014,1.2,1.2,1.17,1.17,10504800
GC,20101014,4.98,5,4.96,5,220600
GEL,20101014,0.13,0.14,0.13,0.13,17416500
GENCO,20101014,0.55,0.55,0.54,0.55,694800
GFPT,20101014,8.2,8.25,8.1,8.1,2530100
GJS,20101014,0.25,0.25,0.24,0.24,31143400
GL,20101014,24.9,25,24.9,24.9,46500
GLAND,20101014,8.05,8.05,8,8.05,40000
GLOBAL,20101014,9,9,8.8,8.8,1950200
GLOW,20101014,47.5,49.5,47.5,49,2366100
GOLD,20101014,4.16,4.16,3.96,3.96,395500
GOLDPF,20101014,8.15,8.15,8.15,8.15,50000
GRAMMY,20101014,14.5,14.6,14.5,14.6,2100
GRAND,20101014,1.43,1.43,1.43,1.43,700
GREEN,20101014,0.87,0.87,0.85,0.85,271500
GSTEL,20101014,0.62,0.63,0.61,0.61,102575200
GYT,20101014,408,430,406,430,2200
HANA,20101014,25.75,26.25,25.5,26.25,2191900
HFT,20101014,2.4,2.44,2.34,2.38,624600
HMPRO,20101014,9.75,9.85,9.7,9.8,9085200
HTC,20101014,4.96,4.96,4.6,4.7,2100
HTECH,20101014,3.56,3.56,3.54,3.54,920100
ICC,20101014,40.5,40.5,40.5,40.5,400
IEC,20101014,0.02,0.03,0.02,0.03,50839200
IFEC,20101014,1.55,1.55,1.52,1.53,990800
IFS,20101014,1.47,1.48,1.45,1.46,3430600
IHL,20101014,9.25,9.65,9.2,9.5,4155200
ILINK,20101014,7.1,7.1,7.1,7.1,10000
INET,20101014,1.46,1.49,1.45,1.48,263600
