<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAY,19850218,9.3507,9.4204,9.3507,9.3507,19093
BBL,19850218,17.4875,17.4875,17.3193,17.4875,274760
BFIT,19850218,3.3726,3.3726,3.3726,3.3726,44474
CTW,19850218,1.5256,1.5422,1.5256,1.5422,307497
ICC,19850218,25.3987,25.3987,25.3987,25.3987,896
KBANK,19850218,12.4107,12.4107,12.3064,12.3064,2502153
SCB,19850218,18.1667,18.1667,18.0943,18.1667,124309
SCC,19850218,5.21,5.21,5.21,5.21,21800
SCCC,19850218,39.0971,39.0971,39.0971,39.0971,147836
SINGER,19850218,3.6029,3.6029,3.6029,3.6029,1408571
SSC,19850218,1.9318,1.9829,1.9318,1.9318,205450
TCAP,19850218,0.8048,0.837,0.7968,0.837,422454
TMB,19850218,10.0052,10.0052,10.0052,10.0052,21880
SET,19850218,139.35,139.35,139.35,139.35,3901560
