<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHINA,20110729,7,7,6.95,6.96,256100
ENGY,20110729,5.67,5.67,5.64,5.65,33100
TDEX,20110729,7.94,7.97,7.9,7.96,1227400
2S,20110729,2.68,2.68,2.68,2.68,117800
A,20110729,3.54,3.58,3.52,3.58,240500
ACAP,20110729,8.6,8.7,8.6,8.6,40400
ACC,20110729,4.32,4.36,4.28,4.3,2551300
ADAM,20110729,1.04,1.09,1.03,1.04,2104900
ADVANC,20110729,115,116,114,115.5,5468200
AEC,20110729,5.6,5.6,5.6,5.6,131000
AEONTS,20110729,35.5,35.5,35.5,35.5,4100
AFC,20110729,9.5,9.5,9.3,9.3,4100
AGE,20110729,29.25,29.5,28.75,29.5,4124100
AH,20110729,14.6,14.6,14.3,14.3,1183700
AHC,20110729,72,72.25,72,72.25,4000
AI,20110729,3.96,4.04,3.96,3.98,1319700
AIT,20110729,52,52,51.25,51.5,156400
AJ,20110729,28.75,29.25,28.25,28.75,8969100
AKR,20110729,1.04,1.06,1.03,1.04,20357300
ALUCON,20110729,113.5,113.5,113,113.5,4900
AMANAH,20110729,1.08,1.09,1.07,1.07,1182500
AMARIN,20110729,12.3,12.3,12.2,12.3,80400
AMATA,20110729,15.1,15.6,15.1,15.6,22134800
AMC,20110729,2.4,2.4,2.36,2.38,400900
AOT,20110729,48.75,48.75,46.75,47,6053000
AP,20110729,6.1,6.1,5.95,6.05,32438000
APURE,20110729,0.86,0.86,0.83,0.84,10611600
AQ,20110729,0.63,0.68,0.63,0.64,62413400
AQUA,20110729,0.55,0.55,0.52,0.52,1306900
ARIP,20110729,1.43,1.43,1.4,1.41,3494400
AS,20110729,11.3,11.3,11.3,11.3,316400
ASIA,20110729,37,37,37,37,2500
ASIAN,20110729,3.9,3.9,3.82,3.82,101200
ASIMAR,20110729,1.48,1.64,1.45,1.54,162071900
ASK,20110729,9.6,9.6,9.5,9.6,42800
ASP,20110729,2.98,3.1,2.9,2.98,37572400
AYUD,20110729,20.2,20.2,20.1,20.1,22600
BAFS,20110729,12.8,12.8,12.7,12.8,110400
BANPU,20110729,742,742,728,732,1000550
BAT-3K,20110729,87,87.25,86,87,2400
BAY,20110729,27.5,27.75,27,27.5,10643800
BBL,20110729,174,174,171.5,174,4301400
BCH,20110729,6.3,6.35,6.25,6.25,1389200
BCP,20110729,22.6,22.9,22.4,22.6,6489700
BDMS,20110729,57.75,58.25,57.75,57.75,1648100
BEC,20110729,39.75,44,39.5,41,3893200
BFIT,20110729,7.8,7.95,7.5,7.7,1359100
BGT,20110729,1.84,1.85,1.83,1.85,73700
BH,20110729,38,38,37.25,37.75,333700
BIGC,20110729,121,121.5,119,120,671800
BJC,20110729,21.2,21.3,21,21.3,1357300
BKI,20110729,257,260,257,260,5900
BKKCP,20110729,9.2,9.2,9.2,9.2,30000
BLA,20110729,53,54.5,52,52,3231100
BLAND,20110729,0.74,0.74,0.71,0.72,132656400
BOL,20110729,1.38,1.4,1.38,1.38,122300
BROCK,20110729,0.89,0.91,0.87,0.89,4430400
BROOK,20110729,1.2,1.22,1.19,1.2,2206800
BSBM,20110729,1.54,1.54,1.51,1.51,2314300
BSM,20110729,0.8,0.82,0.79,0.79,338100
BTC,20110729,0.42,0.45,0.42,0.43,23960800
BTNC,20110729,15.1,15.1,15.1,15.1,100
BTS,20110729,0.74,0.74,0.72,0.73,133308800
BUI,20110729,18,18,18,18,500
BWG,20110729,1.61,1.62,1.6,1.6,15821200
CCET,20110729,3.4,3.4,3.36,3.4,649800
CCP,20110729,3.12,3.2,3.08,3.08,12371500
CEN,20110729,3.06,3.08,2.98,3,3061500
CENTEL,20110729,10.3,10.7,10.2,10.3,9791000
CFRESH,20110729,4.38,4.4,4.38,4.38,138200
CGD,20110729,0.51,0.53,0.51,0.52,7167800
CHOTI,20110729,219,220,219,220,1600
CHUO,20110729,9.65,9.8,9.6,9.8,3100
CI,20110729,4.02,4.06,3.98,3.98,37500
CIG,20110729,1.22,1.24,1.2,1.21,9536900
CIMBT,20110729,3.04,3.06,3.02,3.04,653200
CITY,20110729,2.06,2.06,2.02,2.04,175900
CK,20110729,8.05,8.05,7.85,7.9,2672600
CM,20110729,3.7,3.7,3.66,3.66,531100
CMO,20110729,1.85,1.87,1.85,1.85,1156100
CMR,20110729,69,69,69,69,5500
CNS,20110729,31.25,31.5,31,31.25,72000
CNT,20110729,4.18,4.26,4.14,4.24,13544400
COL,20110729,10.3,10.4,10.2,10.3,40900
COLOR,20110729,4.78,4.82,4.72,4.74,2512400
CPALL,20110729,48.75,49.75,48.5,49.5,7980000
CPF,20110729,31.25,31.75,31,31.75,25144100
CPH,20110729,5.5,5.5,5.25,5.25,400
CPI,20110729,4.2,4.22,4.16,4.22,66000
CPL,20110729,24.5,24.5,24.4,24.5,6300
CPN,20110729,37.5,37.5,36.25,36.75,1470600
CPNRF,20110729,13.4,13.5,13.3,13.5,2149200
CPR,20110729,2.34,2.38,2.32,2.32,86700
CRANE,20110729,3.12,3.12,3.08,3.08,244600
CSC,20110729,34.5,34.5,34.25,34.5,24300
CSL,20110729,6.55,6.6,6.5,6.6,504300
CSP,20110729,2.2,2.2,2.18,2.2,119900
CTARAF,20110729,8.7,8.75,8.7,8.7,19100
CTW,20110729,9.25,9.25,9.1,9.15,144400
CWT,20110729,8.7,8.8,8.6,8.75,96700
DCC,20110729,51.25,52.25,51.25,51.75,503400
DCON,20110729,3.68,3.72,3.68,3.7,69900
DELTA,20110729,26.5,27.25,26.5,27.25,1061800
DEMCO,20110729,4.5,4.5,4.38,4.38,1160500
DIMET,20110729,0.69,0.69,0.68,0.69,414300
DRACO,20110729,3.44,3.44,3.44,3.44,37500
DRT,20110729,5.85,5.95,5.8,5.95,728800
DSGT,20110729,9.5,10.8,9.5,9.8,2216000
DTAC,20110729,65.25,68.25,65.25,67.5,8797200
DTC,20110729,37,37.25,36.5,36.75,51200
DTCPF,20110729,9.95,9.95,9.95,9.95,10000
EARTH,20110729,5.1,5.2,5.05,5.2,30061900
EASON,20110729,1.72,1.72,1.67,1.68,296700
EASTW,20110729,6.35,6.35,6.3,6.3,374300
ECL,20110729,0.73,0.73,0.72,0.72,916800
EE,20110729,1.01,1.02,1,1.01,8620100
EFORL,20110729,0.09,0.09,0.08,0.08,31500
EGCO,20110729,94.5,95,94,94.25,225300
EMC,20110729,2.06,2.08,2.02,2.04,2983000
EPCO,20110729,2,2.02,2,2,464600
ERW,20110729,3.06,3.1,2.98,2.98,15248300
ESSO,20110729,12.2,12.4,12,12.2,38471000
ESTAR,20110729,0.6,0.61,0.59,0.6,40429500
EVER,20110729,0.71,0.72,0.69,0.69,4646000
FANCY,20110729,2.06,2.06,2.04,2.04,200100
FC,20110729,1.53,1.56,1.51,1.51,7236000
FE,20110729,90,118.5,90,115,4100
FER,20110729,2.22,2.24,2.1,2.16,37478300
FOCUS,20110729,1.51,1.53,1.49,1.53,58200
FORTH,20110729,3.78,3.82,3.78,3.8,584400
FSS,20110729,2.98,2.98,2.98,2.98,30100
FUTUREPF,20110729,14.5,14.6,14.5,14.6,61600
GBX,20110729,0.82,0.83,0.82,0.82,2189800
GC,20110729,6.4,6.5,6.4,6.4,555900
GEL,20110729,0.29,0.3,0.29,0.3,3609800
GENCO,20110729,0.67,0.71,0.67,0.68,53706800
GFPT,20110729,11.1,11.2,11,11.2,2852500
GIFT,20110729,5,5.1,5,5.1,2307700
GJS,20110729,0.25,0.25,0.24,0.25,10012300
GL,20110729,29.25,29.25,28.75,29.25,188000
GLAND,20110729,2.56,2.62,2.56,2.62,197200
GLOBAL,20110729,9.55,9.6,9.45,9.5,7545200
GLOW,20110729,56.25,57.75,56.25,56.5,1429000
GOLD,20110729,3.64,3.68,3.62,3.64,297500
GOLDPF,20110729,7.75,7.8,7.75,7.8,21000
GRAMMY,20110729,18.1,18.1,18,18,64100
GRAND,20110729,1.94,1.98,1.93,1.93,597000
GREEN,20110729,0.87,0.88,0.85,0.86,3360800
GSTEL,20110729,0.68,0.71,0.68,0.69,77629300
GUNKUL,20110729,17.5,17.5,17.2,17.2,1361600
HANA,20110729,24.9,24.9,24.7,24.9,157400
HFT,20110729,2.1,2.1,2.06,2.08,168800
HMPRO,20110729,9.3,9.4,9.15,9.2,19749700
HTC,20110729,7.3,7.3,7.05,7.05,576600
HTECH,20110729,3.92,3.92,3.88,3.92,270100
ICC,20110729,42.5,43,42.5,43,1300
IEC,20110729,0.02,0.03,0.02,0.02,56332200
IFEC,20110729,1.82,1.82,1.79,1.8,505300
IFS,20110729,1.45,1.48,1.44,1.44,1040400
IHL,20110729,8.5,8.55,8.3,8.35,1058000
ILINK,20110729,6.8,6.8,6.75,6.75,24000
INET,20110729,1.44,1.47,1.42,1.42,616600
INOX,20110729,2.1,2.1,2.08,2.1,4715800
INTUCH,20110729,38.75,39.75,38.75,39.5,1327500
IRC,20110729,11.9,11.9,11.8,11.9,33600
IRCP,20110729,5.8,5.8,5.7,5.75,20000
IRPC,20110729,5.85,5.85,5.7,5.75,61111400
IT,20110729,9.4,9.55,9.4,9.5,515000
ITD,20110729,4.64,4.64,4.38,4.58,32658300
IVL,20110729,43.75,44.75,43.75,43.75,13433300
JAS,20110729,3.24,3.26,3.16,3.2,94955000
JCT,20110729,53,55,53,53,2200
JMART,20110729,3.84,3.9,3.8,3.84,545600
JTS,20110729,2,2.02,2,2,1883100
JUBILE,20110729,11,11.1,11,11.1,79500
JUTHA,20110729,4.26,4.26,4.26,4.26,1000
KAMART,20110729,1.33,1.35,1.27,1.27,22468100
KASET,20110729,5.8,5.8,5.6,5.65,664400
KBANK,20110729,140.5,141,138.5,141,4760000
KBS,20110729,13.1,13.4,13,13.3,39280000
KC,20110729,0.79,0.82,0.79,0.79,2823800
KCAR,20110729,9.8,10.2,9.8,9.9,1365900
KCE,20110729,7.25,7.25,7,7.1,3266500
KDH,20110729,34,34,34,34,3500
KGI,20110729,2.48,2.48,2.44,2.44,6319500
KIAT,20110729,14.2,14.3,14.2,14.2,60800
KKC,20110729,6.9,6.9,6.7,6.75,1347900
KKP,20110729,34.25,34.5,33.75,34.5,3330800
KSL,20110729,15.7,15.7,15.4,15.6,5293800
KTB,20110729,20.8,20.8,20.4,20.8,21072900
KTC,20110729,15.9,15.9,15.5,15.6,1438600
KWC,20110729,69,69,68,68,1400
KWG,20110729,1.98,2.02,1.96,1.97,571100
KYE,20110729,229,231,229,230,120600
LALIN,20110729,2.58,2.58,2.58,2.58,200
LANNA,20110729,30.25,30.25,29.25,29.5,872100
LEE,20110729,3.12,3.14,3.12,3.12,54100
LH,20110729,6.9,6.95,6.8,6.8,10407300
LHBANK,20110729,1.66,1.71,1.66,1.68,170712600
