<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACC,20030613,17.2,17.2,16.5,16.6,2891500
ADVANC,20030613,54,56.5,52,52,4639100
AEC,20030613,13.5,13.7,12.9,13.1,12195580
AEONTS,20030613,32.2,32.6,28.6,28.8,7300500
AFC,20030613,10.2,10.2,10,10.1,28700
AH,20030613,11.966,14.861,11.966,13.0275,17326424
AHC,20030613,40.5,41,40.5,41,3300
AJ,20030613,7.1,7.25,6.95,7,4377800
ALUCON,20030613,130,133,130,133,1500
AMANAH,20030613,1.1246,1.1337,1.0789,1.088,17007266
AMARIN,20030613,9.3,9.3,9.3,9.3,5000
AMATA,20030613,4.14,4.18,4.02,4.02,13317100
AP,20030613,4.32,4.4,4.24,4.28,31405300
APURE,20030613,1.7956,1.8311,1.7511,1.76,460012
AQ,20030613,5.7479,5.8357,5.5724,5.5724,13303188
ASIAN,20030613,3.6,3.6,3.575,3.575,396600
ASIMAR,20030613,2,2,1.9,1.9,4263700
ASP,20030613,3.325,3.475,3.3,3.35,22416000
AYUD,20030613,169,169,168,168,8800
BAFS,20030613,6.831,6.9143,6.6643,6.706,4001711
BANPU,20030613,43,43.5,42.25,42.5,1625300
BAT-3K,20030613,47.25,48,47,47,198100
BAY,20030613,9.4,9.55,9.05,9.1,26750198
BBL,20030613,59,61,56.5,57,14284194
BCP,20030613,5.9,6,5.6,5.65,1652800
BDMS,20030613,4.35,4.3882,4.1974,4.1974,786206
BEC,20030613,23.4,23.6,23.2,23.4,3142000
BFIT,20030613,6.3,6.35,6.2,6.2,207200
BIG,20030613,17,17.5,16.7,16.8,13900
BIGC,20030613,15.6,15.7,15.3,15.3,884800
BJC,20030613,4.4,4.5,4.4,4.5,16100
BKI,20030613,169.333,169.333,168,168,69000
BLAND,20030613,0.36,0.362,0.35,0.35,40262000
BROOK,20030613,0.4,0.45,0.34,0.35,89039904
BTNC,20030613,18.2,18.2,18.2,18.2,2200
BUI,20030613,13.75,13.75,13.75,13.75,392
CCET,20030613,3.225,3.225,3.075,3.075,5473000
CENTEL,20030613,1.6794,1.7159,1.6794,1.6867,743700
CFRESH,20030613,4.24,4.28,4.18,4.18,1281700
CGD,20030613,1.6537,1.6537,1.6537,1.6537,1118
CHARAN,20030613,43,43,43,43,500
CHOTI,20030613,85,88,85,88,5000
CHUO,20030613,7.1,7.1,7,7,4900
CI,20030613,4.78,4.8,4.72,4.72,436700
CIMBT,20030613,3.416,3.5024,3.3727,3.3727,26420920
CK,20030613,1.78,1.81,1.73,1.73,2367000
CM,20030613,3.2709,3.3617,3.2481,3.2481,56132
CNS,20030613,35.5,36,34.25,34.5,1048700
CPF,20030613,4.24,4.24,4.16,4.16,14852700
CPH,20030613,5.35,5.35,5.15,5.15,66000
CPI,20030613,4.1067,4.1067,4.068,4.068,261932
CPL,20030613,32,32,31.5,31.5,21700
CPN,20030613,7.35,7.35,6.85,6.95,3983000
CSC,20030613,15,15,14.2,14.3,492600
CTW,20030613,8.75,8.75,8.6,8.6,521800
CWT,20030613,4,4.45,4,4.45,92000
DCC,20030613,11.4,11.5,11.3,11.3,992000
DELTA,20030613,29.5,29.5,28.75,28.75,2794000
DRACO,20030613,2,2,2,2,2000
DTC,20030613,37.75,37.75,37,37,8500
EARTH,20030613,2.6,2.62,2.48,2.5,9551900
EASTW,20030613,3.775,3.85,3.775,3.85,225000
EGCO,20030613,52,52.5,50,50,1166107
ERW,20030613,1.6833,1.7333,1.6583,1.6583,15801600
ESTAR,20030613,0.825,0.825,0.795,0.8,150468000
F&D,20030613,32,32,32,32,4600
FANCY,20030613,8.8,8.9,8.8,8.8,1787000
FE,20030613,71,71,71,71,4400
FER,20030613,6.15,6.3,5.9,5.9,8801800
FMT,20030613,35,35,35,35,5000
FNS,20030613,25.5,25.5,24.5,24.6,1332900
GENCO,20030613,0.81,0.81,0.79,0.79,2325700
GFPT,20030613,3.1,3.125,2.95,2.95,37667380
GOLD,20030613,10.1,10.2,10,10,5369400
GRAMMY,20030613,21.5,21.6,21,21.2,3590900
GYT,20030613,316,324,316,322,3600
HANA,20030613,18.9,18.9,18.2,18.2,5226500
HMPRO,20030613,0.7287,0.7287,0.6821,0.6937,8830215
HTC,20030613,4.36,4.36,4.32,4.32,87700
ICC,20030613,24.6,24.7,24.5,24.7,9000
