<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACC,20020614,33.4,33.6,33.2,33.2,35000
ADVANC,20020614,44,44,41.5,42,1732700
AEC,20020614,26.5,27,22.7,23.6,10814166
AEONTS,20020614,47.6,47.6,46.4,46.4,29000
AFC,20020614,6.9,6.9,6.9,6.9,2050
AHC,20020614,24,24,24,24,10000
AJ,20020614,7.1,7.1,6.75,6.75,2530490
AMANAH,20020614,1.6549,1.664,1.6183,1.6183,4937734
AMARIN,20020614,5.45,5.45,5.35,5.35,149000
AMATA,20020614,3.85,3.875,3.675,3.675,9017000
AP,20020614,5.2,5.2,5.05,5.05,2604000
APURE,20020614,2.1689,2.1867,1.9911,2.0089,2252897
AQ,20020614,6.1867,6.2306,5.8795,5.8795,10289638
ASIAN,20020614,3.65,3.65,3.6,3.6,544200
ASIMAR,20020614,0.93,0.93,0.93,0.93,34946
ASP,20020614,5.3,5.3,4.975,5.05,13417000
AYUD,20020614,152,152,142,142,26100
BAFS,20020614,9.2468,9.3301,8.8303,8.8303,3771952
BANPU,20020614,44.25,45.5,44.25,44.75,845600
BAT-3K,20020614,41.75,41.75,41,41.25,128400
BAY,20020614,6.55,6.85,6.55,6.8,31739800
BBL,20020614,66,66.5,63.5,64.5,4298041
BCP,20020614,3.7,3.76,3.64,3.66,5207700
BDMS,20020614,2.1559,2.2132,2.1559,2.1559,653862
BEC,20020614,26.4,26.4,25.4,26,1051000
BFIT,20020614,8.5,8.5,8.3,8.35,338800
BIG,20020614,31.75,31.75,31.25,31.25,35300
BIGC,20020614,22.3,22.3,22,22,456900
BJC,20020614,4.8,4.8,4.8,4.8,500
BKI,20020614,128,128,127.333,127.333,146250
BLAND,20020614,0.416,0.42,0.404,0.404,58405000
BROOK,20020614,0.7,0.71,0.7,0.7,252000
CCET,20020614,3.675,3.675,3.65,3.65,1622000
CENTEL,20020614,2.2817,2.4095,2.2817,2.4095,56200
CFRESH,20020614,7.2,7.2,7,7,929800
CHARAN,20020614,34.5,34.5,34,34.5,2700
CHOTI,20020614,117,118,116,118,2800
CHUO,20020614,8.2,8.4,8.15,8.15,20000
CIMBT,20020614,7.3075,7.4373,7.2211,7.2211,12342050
CK,20020614,2.7,2.725,2.55,2.55,4173000
CM,20020614,3.4071,3.4753,3.4071,3.4753,223427
CNS,20020614,55.5,55.5,51,52,1768800
CPF,20020614,5.5,5.5,5.45,5.45,14968000
CPH,20020614,6,6,5.8,5.8,13000
CPI,20020614,4.8429,6.1504,4.8429,5.7146,13815191
CPL,20020614,25,25,24.7,24.7,10800
CPN,20020614,5.9222,6.0882,5.8115,5.8668,231265
CSC,20020614,15.9,16,15.2,15.2,580385
CSR,20020614,27.25,30,27.25,30,1400
CTW,20020614,8.45,8.45,8.3,8.3,212600
CWT,20020614,11.25,11.75,11.05,11.05,556400
DCC,20020614,10.4,10.5,9.8,9.95,5648000
DELTA,20020614,33,33.25,32.25,32.25,3900300
DTCI,20020614,10,10,10,10,2000
EASTW,20020614,3.1,3.125,3.075,3.075,906000
EGCO,20020614,42.5,42.5,42.25,42.5,286270
ERW,20020614,1.85,1.8833,1.7667,1.7667,9411300
ESTAR,20020614,0.765,0.78,0.75,0.75,115736528
F&D,20020614,32,32,32,32,100
FANCY,20020614,11.8,11.9,11.8,11.9,20000
FE,20020614,160,160,160,160,200
FER,20020614,5.2,5.25,5.1,5.1,1513500
GENCO,20020614,1.2,1.22,1.19,1.19,3633400
GFPT,20020614,3.8014,3.8653,3.7056,3.7056,6209210
GOLD,20020614,16.9,17.1,15.7,15.7,17150700
GRAMMY,20020614,18.2,18.4,18.1,18.2,657000
HANA,20020614,17.2,17.3,17.1,17.2,740000
HMPRO,20020614,1.0669,1.0901,1.0552,1.061,6594823
HTC,20020614,5,5.15,4.96,4.98,452100
IEC,20020614,0.09,0.0905,0.086,0.0875,100700000
INET,20020614,4.78,4.8,4.72,4.72,1039000
INTUCH,20020614,16.3,16.4,16,16,1612900
IRC,20020614,2.36,2.39,2.36,2.39,20000
IRPC,20020614,2.6193,2.6193,2.3768,2.3865,51769672
ITD,20020614,3.825,3.875,3.6,3.6,77393824
JAS,20020614,0.61,0.63,0.58,0.58,357920992
JUTHA,20020614,2.84,2.86,2.7,2.7,1472700
KBANK,20020614,31.75,32.5,31.5,31.75,10996235
KCE,20020614,5.7059,5.7447,5.5507,5.5507,5142753
KGI,20020614,1.8132,1.8303,1.7447,1.7447,128843584
KKC,20020614,6.5177,6.5585,6.477,6.5177,95739
KKP,20020614,45,45.25,43.75,44,1806324
KTB,20020614,12.6,13.3,12.6,12.9,58578120
KWC,20020614,30,31,30,31,7000
KWG,20020614,9.3,10.7,9.1,9.25,7509400
KYE,20020614,58,58,58,58,6800
LANNA,20020614,4.65,4.65,4.6,4.6,54000
LEE,20020614,2.44,2.4667,2.44,2.4667,725250
LH,20020614,7.95,7.95,7.75,7.8,7607330
LOXLEY,20020614,1.39,1.41,1.36,1.37,41757500
LPN,20020614,2.3117,2.3319,2.0481,2.0886,8405753
LRH,20020614,19.0885,19.0885,18.8557,18.8557,4295
LST,20020614,1.77,1.77,1.75,1.75,6000
LTX,20020614,44,48,43.5,48,6100
M-CHAI,20020614,9.1,9.1,9.1,9.1,2000
MAJOR,20020614,12,12.3,11.8,12,10288000
MAKRO,20020614,50.5,51.5,50.5,51.5,349200
MALEE,20020614,3.92,3.94,3.92,3.92,78000
MANRIN,20020614,19.9,20,19.9,20,21300
MATI,20020614,6.4,6.4,6.4,6.4,1040
MBK,20020614,30.5,30.75,30.5,30.5,302600
METCO,20020614,118,118,117,117,18500
