<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACC,20030522,18.3,18.3,18.1,18.1,98300
ADVANC,20030522,48.5,48.5,47.5,47.5,1152030
AEC,20030522,10.3,10.4,10.3,10.4,1291300
AEONTS,20030522,20.2,20.4,20,20.2,1381000
AFC,20030522,9.2,9.3,9.15,9.15,30100
AH,20030522,8.685,8.8298,8.106,8.106,6999482
AHC,20030522,41,41,41,41,2000
AJ,20030522,6.95,6.95,6.85,6.85,1846200
AMANAH,20030522,1.0331,1.0423,1.024,1.0331,1982968
AMARIN,20030522,9.1,9.1,9.1,9.1,10000
AMATA,20030522,3.62,3.62,3.58,3.6,1716000
AP,20030522,3.84,3.86,3.72,3.74,24886700
APURE,20030522,1.7422,1.7422,1.6889,1.6978,87750
AQ,20030522,5.4846,5.5724,5.353,5.3969,42698716
ASIAN,20030522,3.6,3.6,3.575,3.575,163200
ASIMAR,20030522,1.84,1.9,1.83,1.88,7711300
ASP,20030522,2.8,2.8,2.775,2.775,1445000
AYUD,20030522,156,156,156,156,100
BAFS,20030522,6.581,6.6227,6.4561,6.4561,808001
BANPU,20030522,38.5,38.75,38.25,38.5,1444300
BAT-3K,20030522,41,41.75,41,41.75,33900
BAY,20030522,8.35,8.4,8.2,8.25,6207600
BBL,20030522,55,55.5,54.5,54.5,4269198
BCP,20030522,5.35,5.5,5.2,5.35,8413500
BDMS,20030522,4.1974,4.1974,4.1592,4.1592,24896
BEC,20030522,21.6,21.6,21.6,21.6,525000
BFIT,20030522,6.05,6.15,6,6,151200
BIG,20030522,18,18,16.2,16.6,2200
BIGC,20030522,14.4,14.4,14.3,14.4,196100
BJC,20030522,4.3,4.3,4.3,4.3,100
BKI,20030522,148,148,148,148,450
BLAND,20030522,0.342,0.348,0.342,0.342,17158000
BROOK,20030522,0.32,0.33,0.31,0.32,1026600
CCET,20030522,2.925,2.925,2.9,2.925,547000
CENTEL,20030522,1.4968,1.5114,1.4968,1.5114,82200
CFRESH,20030522,4.4,4.56,4.4,4.52,245500
CHOTI,20030522,88,88,88,88,1500
CHUO,20030522,7.5,7.5,7.5,7.5,1700
CI,20030522,4.72,4.76,4.66,4.68,213000
CIMBT,20030522,3.4592,3.4592,3.416,3.4592,4305274
CK,20030522,1.54,1.6,1.52,1.57,5441000
CM,20030522,3.2027,3.2254,3.2027,3.2254,110062
CNS,20030522,30.5,30.75,30.25,30.5,120700
CPF,20030522,3.82,3.98,3.82,3.92,48299864
CPI,20030522,4.068,4.0874,4.0486,4.068,84144
CPL,20030522,30.25,31,30.25,30.5,14000
CPN,20030522,5.5,5.55,5.4,5.55,1171030
CSC,20030522,13.8,14.3,13.5,14.1,848000
CSR,20030522,35,35,35,35,600
CTW,20030522,9.3,9.3,8.9,8.9,3329200
CWT,20030522,4.2,4.3,4.2,4.3,4800
DCC,20030522,11.2,11.4,11.2,11.3,927300
DELTA,20030522,27.5,27.5,26.5,26.75,2704320
DRACO,20030522,1.98,2,1.98,1.98,19700
DTC,20030522,36.75,36.75,36.5,36.5,2500
EARTH,20030522,2.72,2.72,2.62,2.62,4328600
