<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALUCON,19891208,141.709,142.305,139.923,139.923,37452
ASIA,19891208,124.225,125.797,121.08,125.011,258956
AYUD,19891208,274.745,299.195,274.745,290.187,132881
BANPU,19891208,21.29,22,21.29,21.64,1153200
BAY,19891208,25.6558,25.8032,25.5083,25.6558,203454
BBL,19891208,26.2893,26.2893,26.1061,26.2893,175990
BFIT,19891208,61.6064,62.9555,61.1567,62.5058,52924
BJC,19891208,11.9333,12.2889,11.9333,12.1111,8550
BKI,19891208,174.648,177.806,173.463,177.806,7596
BUI,19891208,123.7,134.28,122.072,133.466,168587
CNS,19891208,24.7805,25.789,24.4923,25.789,590671
CPF,19891208,2.6112,2.6245,2.6112,2.6112,983308
CSC,19891208,223.852,223.852,218.393,223.852,1647
CSR,19891208,129,129,125,127,2200
CTW,19891208,43.8589,44.9728,43.8589,44.4159,136455
DTC,19891208,159.986,159.986,158.617,159.986,9537
ERW,19891208,11.233,11.4799,11.1713,11.233,1798441
HTC,19891208,8.068,8.068,8.068,8.068,20666
ICC,19891208,244.269,244.269,240.923,240.923,8068
IFEC,19891208,5.8008,5.8008,5.7385,5.7385,141060
KBANK,19891208,18.3031,18.3031,18.3031,18.3031,164526
KCE,19891208,8.7237,8.8009,8.6465,8.7237,580301
KDH,19891208,64.9803,65.3717,61.8487,62.6316,209478
KTB,19891208,9.8607,9.9574,9.8607,9.8607,113783
LH,19891208,3.0715,3.1414,3.0155,3.0855,2386889
NC,19891208,141.789,141.789,141.035,141.789,31502
NEP,19891208,1.5535,1.6252,1.4698,1.4698,857740
NMG,19891208,49.2452,49.8211,47.8052,49.8211,262513
OCC,19891208,132,132,131,132,11500
OHTL,19891208,404,408,388,404,19200
PDI,19891208,157.884,162.597,157.884,160.577,1738355
POST,19891208,12.9864,12.9864,12.9864,12.9864,135772
PR,19891208,37.6821,37.6821,37.1691,37.1691,28062
RCI,19891208,11.313,11.675,11.132,11.494,1276000
ROH,19891208,62.7423,65.1959,62.3918,64.1443,1171132
S&J,19891208,109.681,109.681,109.681,109.681,4020
SCB,19891208,34.669,34.7865,34.5515,34.669,152303
SCC,19891208,63.66,67.26,63.46,66.66,5239000
SFP,19891208,116,116,114,115,16800
SINGER,19891208,13.0735,13.3824,13.0735,13.0735,275885
SKR,19891208,22.743,22.743,22.5746,22.743,118717
SNP,19891208,8.5709,8.7126,8.5001,8.7126,276694
SPC,19891208,11.25,11.25,11.16,11.25,175550
SPI,19891208,112.865,115.373,112.865,114.537,35285
SSF,19891208,13.6879,14.2831,13.5887,14.0847,3831105
SVI,19891208,10.7405,10.8364,10.5008,10.5487,1651750
TCAP,19891208,25.3033,25.9472,25.1746,25.9472,5679882
TF,19891208,210.088,212.799,210.088,210.088,7230
TGCI,19891208,23.2743,23.4667,22.6973,23.2743,1278910
THL,19891208,1.536,1.536,1.527,1.527,400432
TIC,19891208,45.1677,45.9538,45.1677,45.9538,6093
TIPCO,19891208,6.3723,6.459,6.2856,6.3723,9402740
TISCO,19891208,54.8937,55.9493,54.5418,55.5975,556151
TMB,19891208,21.3504,23.3152,21.3504,21.4814,193515
TMD,19891208,99.2423,99.2423,97.1156,97.8245,310069
TPC,19891208,13.9408,13.9408,13.6675,13.8041,652640
TWP,19891208,116.951,118.568,113.179,117.49,108359
UMI,19891208,12.2489,12.4373,11.5893,12.2489,1712968
UP,19891208,26.9815,26.9815,26.6333,26.6333,8042
WG,19891208,72.5152,72.5152,70.8857,70.8857,37556
SET,19891208,793.88,793.88,793.88,793.88,13941385
BAY-F,19891208,42,42,42,42,192040
BBL-F,19891208,41.6,41.6,41.5,41.5,620000
KBANK-F,19891208,27.1392,27.1392,27.1392,27.1392,649253
RCL-F,19891208,490,490,490,490,20000
SCB-F,19891208,83,83,83,83,200000
SCC-F,19891208,104,104,103,103,560000
SPI-F,19891208,195,195,195,195,50000
SSC-F,19891208,3932,3932,3932,3932,300
SUC-F,19891208,51,51.5,51,51.5,607000
DTM,19891208,26.1205,26.1205,25.7835,25.7835,9470
ICBCT,19891208,60.6577,65.5022,60.6577,65.5022,1115646
PA,19891208,21.4212,21.877,21.4212,21.877,146782
SCIB,19891208,13.3803,13.3803,13.3803,13.3803,23892
SGF,19891208,5.9415,5.9415,5.7559,5.8951,974824
SICCO,19891208,16.4856,17.2448,16.3772,16.9195,96811
TWFP,19891208,121,125,121,122,117400
UFM,19891208,26.7,29.3,26.1,29.3,268000
