<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AYUD,19890216,162.788,164.075,162.788,164.075,5439
BAY,19890216,25.6167,25.7598,25.6167,25.7598,8380
BBL,19890216,26.1061,26.4725,26.1061,26.1061,69850
BFIT,19890216,28.4649,28.6447,28.4649,28.6447,4446
BKI,19890216,66.9611,66.9611,66.9611,66.9611,1516
BUI,19890216,39.5499,39.5499,39.5499,39.5499,7482
CNS,19890216,9.2206,9.2206,9.2206,9.2206,6938
CPF,19890216,3.0212,3.1075,2.9521,3.073,17991302
CSC,19890216,53.5062,54.3251,52.4142,52.9602,86814
CTW,19890216,12.6916,12.898,12.5884,12.6916,1360665
DTC,19890216,80.0783,80.0783,80.0783,80.0783,1752
ERW,19890216,3.2403,3.4183,3.2403,3.3827,2731153
FE,19890216,70.9533,73.2733,70.5667,73.2733,13448
HTC,19890216,4.3001,4.3238,4.229,4.229,101223
ICC,19890216,107.635,107.635,106.519,107.635,1793
IFEC,19890216,2.0896,2.0896,2.0896,2.0896,19210
KBANK,19890216,18.616,18.7203,18.616,18.7203,50794
KCE,19890216,3.0718,3.0992,2.9621,3.0169,1669888
KKP,19890216,7.3745,7.6476,7.3745,7.4655,1005021
NC,19890216,22.5317,23.0973,22.5317,22.7202,15910
NEP,19890216,0.4645,0.4645,0.4645,0.4645,1065580
NMG,19890216,46.9413,46.9413,46.9413,46.9413,343
OCC,19890216,42.5,42.5,42.5,42.5,1000
OHTL,19890216,224,228,224,228,13600
PDI,19890216,78.7738,79.7837,78.4371,78.7738,389732
POST,19890216,1.9731,1.9731,1.9731,1.9731,23175
SCB,19890216,30.5557,30.5557,30.3207,30.4382,40837
SCC,19890216,31.26,31.26,30.96,31.11,305000
SCCC,19890216,153.961,153.961,153.961,153.961,24298
SFP,19890216,98,99,96.5,96.5,72520
SINGER,19890216,5.7647,5.8162,5.6618,5.7132,474057
SPC,19890216,5.76,5.805,5.625,5.715,282220
SPI,19890216,50.9982,50.9982,50.1622,50.1622,4784
SSC,19890216,10.7425,10.7425,10.7425,10.7425,9780
TCAP,19890216,15.5812,15.6456,15.4524,15.5812,861998
TCMC,19890216,26.5889,27.1207,26.5889,26.5889,24064
TF,19890216,87.4236,90.1345,87.4236,90.1345,20658
TGCI,19890216,4.2152,4.2152,4.2152,4.2152,25990
THL,19890216,1.5339,1.571,1.5339,1.5562,809244
TISCO,19890216,38.8154,38.9951,38.8154,38.9951,46742
TMB,19890216,16.1295,16.5135,16.1295,16.5135,124970
TPC,19890216,9.2255,9.2939,9.0205,9.0205,630687
UP,19890216,24.7185,24.7185,24.7185,24.7185,5744
UV,19890216,3.6235,3.6753,3.5718,3.5718,850000
WG,19890216,30.5542,30.7579,28.7209,29.1283,517687
SET,19890216,438.73,438.73,438.73,438.73,9755136
AFC-F,19890216,77,77,77,77,44000
KBANK-F,19890216,24.4253,24.4253,24.4253,24.4253,74615
SCCC-F,19890216,85.8,85.8,85.8,85.8,18000
TCAP-F,19890216,128.885,128.885,128.885,128.885,79400
DTM,19890216,9.6899,9.7741,9.6899,9.7741,11854
ICBCT,19890216,36.4874,36.4874,36.2989,36.2989,10600
SCIB,19890216,10.8775,10.8775,10.685,10.685,46747
SGF,19890216,2.6458,2.6923,2.6458,2.6923,59241
SICCO,19890216,11.4669,11.6368,11.4669,11.4669,21186
SMG,19890216,8.4565,8.4565,8.4565,8.4565,18361
UFM,19890216,10.8,10.9,10.4,10.5,198000
