<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20180412,12.55,12.6,12.54,12.57,11100
BMSCG,20180412,9.56,9.56,9.52,9.53,37600
BMSCITH,20180412,13.74,13.78,13.7,13.75,229300
BSET100,20180412,11.2,11.22,11.16,11.21,83000
CHINA,20180412,6.2,6.2,6.2,6.2,2000
EBANK,20180412,5.65,5.65,5.58,5.65,117800
ECOMM,20180412,9.26,9.28,9.26,9.28,161700
ENGY,20180412,6.58,6.68,6.58,6.68,79300
GLD,20180412,1.8,1.81,1.79,1.81,207900
TDEX,20180412,11.36,11.39,11.35,11.39,7100
TGOLDETF,20180412,3.94,3.94,3.93,3.94,67600
2S,20180412,4.48,4.48,4.42,4.46,69400
A,20180412,6.7,6.7,6.7,6.7,72000
AAV,20180412,5.8,5.9,5.7,5.85,10330200
ABICO,20180412,7.7,7.75,7.65,7.75,42900
ABM,20180412,1.4,1.45,1.38,1.39,11903200
ABPIF,20180412,8.6,8.6,8.5,8.6,32600
ACAP,20180412,10.4,10.4,10.3,10.4,273000
ACC,20180412,0.53,0.53,0.52,0.52,15800
ADB,20180412,1.42,1.45,1.41,1.44,7858600
ADVANC,20180412,201,201,200,201,1559800
AEC,20180412,0.56,0.56,0.53,0.54,674200
AEONTS,20180412,171,174.5,170,174,280600
AF,20180412,0.91,0.91,0.9,0.9,300200
AGE,20180412,1.45,1.45,1.43,1.45,85200
AH,20180412,35.5,36.25,35.25,36,946700
AHC,20180412,20.8,20.9,20.7,20.9,9500
AIMIRT,20180412,9.95,9.95,9.95,9.95,20500
AIRA,20180412,2.18,2.26,2.08,2.12,713100
AIT,20180412,29.5,29.5,29.25,29.5,92900
AJ,20180412,13.7,13.7,13.4,13.5,237100
AJA,20180412,0.53,0.53,0.52,0.53,1500400
AKP,20180412,1.91,1.92,1.9,1.92,72100
AKR,20180412,1.01,1.02,0.99,1.02,814800
ALLA,20180412,1.8,1.81,1.79,1.8,230200
ALT,20180412,3.96,4,3.96,4,248600
ALUCON,20180412,245,245,245,245,400
AMA,20180412,10.4,10.6,10.3,10.4,753800
