<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ENGY,20081009,2.91,3.08,2.81,3.01,617000
TDEX,20081009,3.6,3.68,3.36,3.6,11040500
A,20081009,3.42,3.44,3.36,3.44,813000
ACC,20081009,1.88,2.14,1.88,2.02,161800
ADAM,20081009,1.62,1.64,1.56,1.6,257000
ADVANC,20081009,77,79,75,78,7294000
AEC,20081009,3.6,4.36,3.4,4.36,94400
AEONTS,20081009,27.75,27.75,27.5,27.5,55000
AH,20081009,5.1,5.15,4.96,5,3654200
AHC,20081009,50,50,50,50,3100
AI,20081009,5,5,4.78,4.9,55000
AIT,20081009,11.4,12.2,11.2,12,85600
AJ,20081009,2.9,2.94,2.88,2.92,1197800
AKR,20081009,1.06,1.1,0.97,1.08,4782100
AMANAH,20081009,0.37,0.37,0.35,0.37,1080100
AMARIN,20081009,11.5,11.5,11,11.5,15900
AMATA,20081009,5.3,5.8,5.15,5.7,2536100
AMC,20081009,1.78,1.94,1.61,1.94,264400
AOT,20081009,21.7,21.8,20,20,1635400
AP,20081009,3.88,3.92,3.1,3.58,31276700
APURE,20081009,0.7556,0.88,0.6844,0.88,20262938
AQ,20081009,0.22,0.24,0.2,0.23,2818800
AS,20081009,8.2,8.2,6.6,7,131500
ASIA,20081009,33,33,31,31,11000
ASIAN,20081009,1.58,1.58,1.52,1.58,257100
ASIMAR,20081009,0.85,0.87,0.84,0.87,189800
ASP,20081009,1.49,1.62,1.34,1.58,11507600
AYUD,20081009,16.1,16.4,16,16.4,106900
BAFS,20081009,6.15,6.4,6.15,6.3,11600
BANPU,20081009,206,214,195,212,7168900
BAT-3K,20081009,33.5,39,33,38,20900
BAY,20081009,12,12.7,11.2,12.3,52670200
BBL,20081009,88.5,91,82.5,88,10891000
BCH,20081009,3.8857,3.9714,3.8286,3.8857,239700
BCP,20081009,8.25,8.5,7,8.05,481700
BDMS,20081009,24.5,24.8,24,24.7,1067100
BEC,20081009,18.4,19.4,17.4,18.8,4544100
BFIT,20081009,3.8,3.8,3.62,3.62,12000
BGT,20081009,2.15,2.18,2.07,2.18,176000
BH,20081009,26.75,28.25,26.5,27.25,233300
BIGC,20081009,37,37.5,34.75,36,142700
BJC,20081009,4.6,4.8,4.56,4.6,13900
BKI,20081009,140,140,134.667,134.667,23250
BKKCP,20081009,8,8.1,8,8.1,5100
BLAND,20081009,0.27,0.28,0.25,0.28,20462100
BLISS,20081009,0.44,0.48,0.4,0.44,228986896
BOL,20081009,1.43,1.51,1.43,1.5,506900
BROCK,20081009,0.66,0.72,0.66,0.72,60400
BROOK,20081009,0.21,0.23,0.2,0.23,199600
BSBM,20081009,1.33,1.46,1.24,1.32,252900
BSM,20081009,0.43,0.55,0.35,0.54,1256700
BTC,20081009,0.32,0.36,0.3,0.36,1015500
BTS,20081009,0.2543,0.2731,0.2355,0.2543,11579365
BWG,20081009,3,3.12,2.76,3.08,6299900
CCET,20081009,2.42,2.52,2.36,2.5,4883900
CCP,20081009,1.02,1.02,0.96,1.01,446500
CEN,20081009,2.04,2.2,1.74,2.2,8379500
CENTEL,20081009,4,5,4,4.5,88600
CFRESH,20081009,1.28,1.33,1.2,1.33,382500
CGD,20081009,0.23,0.23,0.2,0.22,5130400
CHUO,20081009,6,6,6,6,500
CI,20081009,2.6,2.68,2.5,2.62,9600
CIG,20081009,1.34,1.34,0.91,0.91,11231000
CIMBT,20081009,0.9943,1.0182,0.9044,0.9464,66088736
CITY,20081009,1.9,1.9,1.51,1.89,45200
CK,20081009,2.8,2.82,2.52,2.8,5364000
CM,20081009,2.76,2.76,2.72,2.76,152800
CMO,20081009,0.99,1.02,0.99,1.02,15000
CNS,20081009,18.9,19.2,18.5,19,87500
CNT,20081009,1.35,1.35,1.35,1.35,9000
CPALL,20081009,10.2,10.5,9.85,10.1,7599900
CPF,20081009,3.6,3.78,3.6,3.72,10358200
CPI,20081009,3.04,3.8,3.04,3.8,357800
CPN,20081009,13.2,13.3,11.1,11.7,6166900
CPNRF,20081009,8.05,8.05,7.9,7.95,1528300
CPR,20081009,1.2,1.2,1.2,1.2,10000
CRANE,20081009,0.99,1.04,0.97,1.01,825000
CSC,20081009,13,13,13,13,160000
CSL,20081009,2.32,2.46,2.32,2.4,530400
CSP,20081009,2.92,2.98,2.78,2.78,65500
CSR,20081009,45,45.5,45,45.5,9000
DCC,20081009,14,14,13.3,13.4,273800
DELTA,20081009,12.4,12.6,12.2,12.5,482400
DEMCO,20081009,2.96,2.96,2.96,2.96,67500
DIMET,20081009,0.47,0.51,0.44,0.49,163600
DRACO,20081009,2.28,2.28,2.18,2.2,304700
DRT,20081009,1.56,1.58,1.38,1.57,1201700
DSGT,20081009,3.02,3.02,2.96,3,1102700
DTAC,20081009,35,35.5,29.25,32,5793000
DTC,20081009,25.5,25.5,24.1,25,4000
EASON,20081009,1.93,1.93,1.83,1.9,240300
EASTW,20081009,3.04,3.04,2.96,3.04,556200
ECL,20081009,0.39,0.43,0.35,0.43,639600
EE,20081009,0.64,0.65,0.5,0.61,518900
EGCO,20081009,58.5,60.5,57,60.5,614100
EIC,20081009,4.46,4.46,4.34,4.34,31800
EMC,20081009,1.6,1.9,1.5,1.9,12585970
EPCO,20081009,1.66,1.68,1.65,1.66,918000
ERW,20081009,2.26,2.26,2.22,2.22,3600100
ESSO,20081009,5.9,5.95,5.6,5.85,3465400
ESTAR,20081009,0.22,0.26,0.22,0.24,6620000
EVER,20081009,1,1,0.91,0.95,1894500
FANCY,20081009,1.21,1.21,1.18,1.19,66000
FC,20081009,1.58,1.88,1.56,1.88,116000
FER,20081009,0.71,0.72,0.59,0.69,6984000
FMT,20081009,10.1,10.1,10.1,10.1,100
FNS,20081009,5.9,5.9,5.5,5.85,7300
FOCUS,20081009,2.14,2.88,2.1,2.88,12200
FORTH,20081009,3.2,3.4,3.2,3.4,15600
FUTUREPF,20081009,9.15,9.15,9.15,9.15,500
GBX,20081009,0.43,0.47,0.42,0.45,677800
GC,20081009,3.62,3.62,3.4,3.4,373500
GEL,20081009,0.89,0.89,0.75,0.8,144567008
GENCO,20081009,0.55,0.56,0.52,0.55,1774100
GFPT,20081009,1.67,1.67,1.57,1.65,601000
GJS,20081009,0.17,0.18,0.16,0.17,153551808
GLOW,20081009,24.9,25,24.1,24.5,1089300
GOLD,20081009,2.8,3.46,2.8,3.46,24500
GOLDPF,20081009,8,8,7.8,7.8,50000
GRAMMY,20081009,11.5,11.7,10.5,11.7,13400
GREEN,20081009,1.06,1.14,1.06,1.14,87700
GSTEL,20081009,1.03,1.04,0.98,1.02,115427200
HANA,20081009,12.1,12.5,11.7,12.1,958100
HFT,20081009,1.2,1.2,1.18,1.2,20700
HMPRO,20081009,1.9707,1.9707,1.8864,1.8969,582700
HTC,20081009,2.06,2.06,2.04,2.04,1100
IEC,20081009,0.122,0.126,0.122,0.122,340019008
IFEC,20081009,0.42,0.42,0.39,0.4,712300
IHL,20081009,8.8,8.8,8.65,8.65,200
ILINK,20081009,4,4.2,3.8,4,372800
INET,20081009,0.79,0.82,0.78,0.78,193200
INOX,20081009,0.91,0.91,0.83,0.91,1013000
INTUCH,20081009,18,18,17.1,17.5,180400
IRC,20081009,9.65,10.3,9.65,10.3,11300
IRCP,20081009,2.54,2.54,2,2.2,19100
IRPC,20081009,3.12,3.16,2.98,3.04,28157700
IT,20081009,4.5,4.6,4.4,4.58,323100
ITD,20081009,2.56,2.56,2.2,2.5,118108896
JAS,20081009,0.36,0.37,0.33,0.35,23759900
JCT,20081009,46,46,46,46,600
JTS,20081009,0.68,0.77,0.65,0.73,17581700
JUTHA,20081009,5.3,5.3,3.9,5.05,44900
KAMART,20081009,0.3,0.36,0.3,0.35,1489100
KASET,20081009,3.12,3.16,2.6,3.08,1022100
KBANK,20081009,56.5,58,52.5,56.5,19667700
KC,20081009,0.7,0.72,0.69,0.7,491000
KCAR,20081009,5.05,5.1,5,5,61500
KCE,20081009,2.22,2.24,2,2.22,88500
KDH,20081009,22.3,26,22.3,23.5,1700
KGI,20081009,0.98,1.02,0.9,1,7604900
KKP,20081009,15.5,15.9,15.1,15.6,211600
KSL,20081009,6.8,6.8,6.2,6.5,1770800
KTB,20081009,4.72,4.8,4.46,4.74,44213300
KTC,20081009,11.5,11.8,11.2,11.8,13300
KYE,20081009,32.25,35,32,35,2600
L&E,20081009,6.8,6.8,6.8,6.8,13800
LALIN,20081009,0.88,0.88,0.82,0.83,1381300
LANNA,20081009,7.9,8.7,7.75,8.7,1267300
LEE,20081009,2.62,2.62,2.48,2.58,11200
LH,20081009,4.7,4.72,4.12,4.56,81307104
LHK,20081009,1.34,1.36,1.15,1.15,145800
LOXLEY,20081009,1.4,1.41,1.02,1.25,106161000
LPN,20081009,2.86,3.04,2.56,2.92,14517700
LRH,20081009,25.5,26,25,25,70100
LST,20081009,2.06,2.1,1.85,2.1,2659800
LTX,20081009,22,22,22,22,2000
