<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TDEX,20080602,6,6,5.86,5.88,26844100
A,20080602,3.68,3.68,3.66,3.68,160000
ACAP,20080602,10.8,10.8,10,10,600
ACC,20080602,2.74,2.74,2.64,2.68,58300
ADAM,20080602,3.52,3.66,3.38,3.4,1063100
ADVANC,20080602,97,97,95.5,96,2078723
AEONTS,20080602,34.25,34.75,34.25,34.25,11900
AF,20080602,14,14,14,14,100
AFC,20080602,3.5,3.5,3.5,3.5,700
AH,20080602,11.4,11.4,11.2,11.2,453200
AHC,20080602,52.5,52.5,50.5,50.5,1100
AI,20080602,6.95,6.95,6.7,6.7,124900
AIT,20080602,17.8,17.8,17,17.3,215400
AJ,20080602,3.16,3.18,3.14,3.14,415700
AKR,20080602,1.96,1.99,1.94,1.94,2542000
AMANAH,20080602,0.54,0.54,0.53,0.53,788800
AMARIN,20080602,13.6,13.6,13.6,13.6,6000
AMATA,20080602,16.9,16.9,15.4,15.6,4894600
AMC,20080602,2.54,2.6,2.52,2.56,922700
AOT,20080602,53.5,54.5,52.5,54,1242021
AP,20080602,6.35,6.4,5.95,6,14499900
APURE,20080602,1.8844,1.9022,1.8133,1.8311,6311587
AQ,20080602,0.71,0.71,0.65,0.65,2506600
AS,20080602,12,12,11.8,11.8,2093900
ASIAN,20080602,1.55,1.55,1.42,1.42,75600
ASIMAR,20080602,1.02,1.04,1.02,1.02,265600
ASK,20080602,5.4,5.4,5.3,5.3,24800
ASP,20080602,3.08,3.12,3.02,3.02,8942500
AYUD,20080602,20,20,20,20,65100
BAFS,20080602,10.1,10.1,9.9,9.9,205000
BANPU,20080602,476,488,472,480,1926790
BAT-3K,20080602,66,66,65,65.5,8400
BAY,20080602,26.5,26.5,25,25,10291294
BBL,20080602,132,133,128,128,5343257
BCH,20080602,4.5143,4.6286,4.4,4.4857,1645000
BCP,20080602,12.6,12.6,12.4,12.4,167600
BDMS,20080602,39.25,39.25,37.75,37.75,988000
BEC,20080602,29,29.5,28.25,28.5,1823400
BFIT,20080602,5.7,5.75,5.65,5.65,50000
BGT,20080602,2.38,2.42,2.35,2.39,1311300
BH,20080602,37,37,34.75,35,1401800
BIGC,20080602,54,54,52.5,53,256400
BJC,20080602,6.3,6.3,6.25,6.25,119500
BKI,20080602,189.333,189.333,189.333,189.333,1350
BKKCP,20080602,8.3,8.3,8.3,8.3,21400
