<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20120917,11.61,11.68,11.61,11.68,32600
CHINA,20120917,5.24,5.24,5.17,5.18,181800
ENGY,20120917,5.28,5.33,5.25,5.33,210700
GLD,20120917,2.46,2.46,2.44,2.45,3451700
TDEX,20120917,8.88,8.89,8.85,8.89,401900
TGOLDETF,20120917,5.41,5.42,5.4,5.4,2147200
A,20120917,3.82,3.86,3.8,3.86,193000
AAV,20120917,3.8,3.82,3.7,3.74,140938600
ACC,20120917,3.6,3.62,3.56,3.56,359600
ADAM,20120917,0.95,0.95,0.93,0.94,314100
ADVANC,20120917,212,214,209,210,5408600
AEONTS,20120917,52.25,53.5,50.5,51.25,295000
AFC,20120917,7.95,8,7.95,8,1900
AGE,20120917,3.2,3.3,3.2,3.26,15499700
AH,20120917,21,21,20.7,20.7,953800
AHC,20120917,20.5,20.7,20.4,20.5,25700
AI,20120917,5.7,6.05,5.7,5.85,12409800
AIT,20120917,56.25,56.75,55.5,55.5,168400
AJ,20120917,14.4,14.6,14.3,14.4,4415100
AKR,20120917,0.85,0.85,0.83,0.85,5815000
ALUCON,20120917,128,128,128,128,300
AMANAH,20120917,0.9,0.91,0.89,0.9,1832300
AMARIN,20120917,15.2,15.3,15.1,15.2,139200
AMATA,20120917,16.6,16.7,16.3,16.3,7821400
AMC,20120917,1.99,2,1.97,1.99,271300
AOT,20120917,74,74.25,72,72.25,6995200
AP,20120917,8.55,8.55,8.25,8.3,7146400
APCO,20120917,7.35,7.5,7.35,7.4,258000
APCS,20120917,5.65,5.65,5.6,5.65,911600
APURE,20120917,2.04,2.06,2.02,2.02,4634500
AQ,20120917,0.35,0.35,0.34,0.34,50888900
AQUA,20120917,0.36,0.37,0.36,0.37,1141600
ARIP,20120917,1.31,1.33,1.3,1.3,2421700
AS,20120917,16.1,16.1,15.8,16.1,420500
ASIA,20120917,63.5,64,62,64,86100
ASIAN,20120917,3.9,3.92,3.9,3.9,343200
ASIMAR,20120917,1.77,1.77,1.76,1.76,721000
ASK,20120917,15.8,15.9,15.6,15.8,484000
ASP,20120917,2.28,2.38,2.28,2.34,45112200
AYUD,20120917,22.1,22.4,22,22.1,119600
BAFS,20120917,14.2,14.2,13.9,14,462100
BANPU,20120917,450,460,448,460,2873700
BAT-3K,20120917,72.5,72.75,71.75,71.75,5400
BAY,20120917,34.25,35.5,34,35.25,16973400
BBL,20120917,195.5,197.5,195.5,195.5,6245200
BCH,20120917,9.6,9.7,9.55,9.6,5024300
BCP,20120917,24.1,24.6,24,24.2,11695500
BDMS,20120917,106,106,103.5,104.5,5007100
BEC,20120917,56.75,59,56.75,57.5,4098400
BFIT,20120917,5.95,6.05,5.9,5.95,531900
BGT,20120917,1.66,1.67,1.62,1.64,506600
BH,20120917,80.25,80.5,79.25,79.75,1055900
BIGC,20120917,187,187,184,184,1239000
BJC,20120917,51.5,51.5,50,50.5,4823200
BKI,20120917,258,260,258,260,12300
BKKCP,20120917,9.4,9.45,9.4,9.45,12000
BLA,20120917,44.5,45.25,44.5,44.75,1401000
BLAND,20120917,1.28,1.36,1.26,1.35,1064498300
BOL,20120917,1.9,1.94,1.89,1.89,66800
BROCK,20120917,1.03,1.05,1.03,1.05,100300
BROOK,20120917,1.82,1.83,1.82,1.83,7200
BSBM,20120917,1.12,1.13,1.11,1.11,709500
BSM,20120917,1,1,0.99,0.99,22200
BTC,20120917,0.76,0.77,0.75,0.76,6150700
BTNC,20120917,19.3,19.3,19.2,19.2,300
BTS,20120917,5.6,5.75,5.55,5.7,129594800
BUI,20120917,17,17.4,16.8,16.8,1300
BWG,20120917,1.65,1.65,1.64,1.64,7092300
CCET,20120917,2.78,2.78,2.74,2.76,1228500
CCP,20120917,4.46,4.64,4.46,4.56,8491000
CEN,20120917,2.1,2.16,2.08,2.1,804100
CENTEL,20120917,17,17.1,16.5,16.8,4929200
CFRESH,20120917,8.3,8.3,8.2,8.2,1090500
CGD,20120917,0.47,0.48,0.47,0.48,330000
CHARAN,20120917,49.5,49.5,49,49.25,14200
CHOTI,20120917,313,313,310,312,14300
CHOW,20120917,2.02,2.06,2.02,2.04,1199000
CHUO,20120917,23.8,24.1,23.3,23.7,376300
CI,20120917,7.5,7.5,7.4,7.4,155600
CIG,20120917,0.55,0.56,0.54,0.54,1450000
CIMBT,20120917,1.83,1.84,1.81,1.84,3946000
CITY,20120917,3.38,3.4,3.36,3.36,1159900
CK,20120917,8.1,8.35,8.05,8.25,29661400
CM,20120917,4.7,4.72,4.66,4.66,1403400
CMO,20120917,3.2,3.2,3.1,3.12,4161400
CMR,20120917,73,73,72.5,72.5,12000
CNS,20120917,30.5,31.75,30.5,31,284200
CNT,20120917,5.65,5.7,5.65,5.7,876500
COL,20120917,39,40.25,39,40,62800
