<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAY,19840720,9.4204,9.4204,9.4204,9.4204,14323
BBL,19840720,19.3371,19.3371,19.169,19.3371,52110
BJC,19840720,1.38,1.38,1.38,1.38,2250
KBANK,19840720,12.2021,12.2021,12.2021,12.2021,150085
SCB,19840720,18.5286,18.601,18.4562,18.601,59387
SCC,19840720,3.73,3.73,3.73,3.73,61700
SCCC,19840720,25.704,25.8393,25.704,25.704,14782
SPI,19840720,8.7209,8.7209,8.7209,8.7209,3181
SSC,19840720,1.7887,1.8398,1.7887,1.8398,88050
TCAP,19840720,0.7968,0.7968,0.7968,0.7968,71443
TMB,19840720,9.1025,9.1025,9.1025,9.1025,5255
SET,19840720,131.27,131.27,131.27,131.27,652910
