<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACC,20010327,12.3,12.4,12.3,12.4,11000
ADVANC,20010327,40.2,40.4,40,40,121000
AFC,20010327,4,4,4,4,500
AMARIN,20010327,2.35,2.35,2.325,2.325,120000
AP,20010327,0.35,0.36,0.34,0.35,2914000
APURE,20010327,1.4222,1.4222,1.2444,1.3333,244687
AQ,20010327,1.8428,1.8428,1.7551,1.7551,200616
ASIAN,20010327,1.8125,1.8125,1.8125,1.8125,17999
ASP,20010327,2.525,2.525,2.45,2.45,2020000
AYUD,20010327,91,91.5,91,91.5,9000
BANPU,20010327,18,18,17.75,17.75,875600
BAT-3K,20010327,18.75,19,18.75,19,17600
BAY,20010327,7.4,7.5,7.2,7.2,12019500
BBL,20010327,35.25,35.5,34.75,34.75,4124590
BCP,20010327,4.4,4.5,4.4,4.5,103700
BEC,20010327,23.6,23.6,23.4,23.4,1997000
BFIT,20010327,7.5,7.5,7.375,7.375,25000
BIG,20010327,23,23,20.75,20.75,66400
BIGC,20010327,16,16,16,16,131800
BJC,20010327,2.2,2.25,2.2,2.2,24900
BKI,20010327,59.1101,59.9989,59.1101,59.5545,4050
BLAND,20010327,0.27,0.27,0.26,0.26,5148000
BTS,20010327,2.072,2.1662,2.072,2.1662,674550
CCET,20010327,2.2,2.25,2.2,2.225,1285000
CENTEL,20010327,0.6937,0.6937,0.6863,0.6863,438300
CFRESH,20010327,5.1336,5.3003,5.0003,5.0003,716956
CHARAN,20010327,23.5,23.5,23.5,23.5,1000
CHOTI,20010327,182,183,180,180,24600
CK,20010327,1.1,1.1,1.075,1.075,829000
CM,20010327,3.1346,3.1346,3.1346,3.1346,36320
CNS,20010327,23.75,24.25,23.25,23.25,383500
CPF,20010327,3.9,3.9,3.875,3.9,10291100
CSC,20010327,7.3,7.4,6.9,7,885700
CTW,20010327,5.25,5.625,5.125,5.375,263400
CWT,20010327,2.1,2.1,2.1,2.1,4800
DCC,20010327,0.91,0.92,0.89,0.9,217000
DELTA,20010327,19.5,19.7,19.3,19.3,333000
DRACO,20010327,1.225,1.35,1.225,1.3,64000
DTC,20010327,28.75,28.75,28.5,28.5,1000
EASTW,20010327,2.35,2.4,2.35,2.4,239000
EE,20010327,1.375,1.375,1.375,1.375,30000
EGCO,20010327,33.75,33.75,33,33,111000
ERW,20010327,0.7333,0.7333,0.7167,0.7167,386400
ESTAR,20010327,0.35,0.35,0.325,0.35,1534480
FMT,20010327,22.25,22.5,21.75,21.75,33500
GENCO,20010327,1.25,1.25,1.225,1.225,1098000
GOLD,20010327,4.3,4.3,4.2,4.2,2639600
GRAMMY,20010327,9.7,9.85,9.7,9.8,459000
HANA,20010327,12.9,13,12.6,12.7,8051000
ICC,20010327,128,128,128,128,2000
IEC,20010327,0.086,0.087,0.083,0.083,189150000
INTUCH,20010327,17,17,16.5,16.5,371000
IRC,20010327,1.075,1.075,1.075,1.075,50000
IRPC,20010327,1.1156,1.1641,1.0671,1.1156,5156321
ITD,20010327,1.075,1.1,1.025,1.025,4374000
JAS,20010327,0.84,0.85,0.82,0.82,7019000
JUTHA,20010327,2.9,2.9,2.8,2.8,10000
KAMART,20010327,0.5422,0.5422,0.5422,0.5422,11803
KBANK,20010327,22,22,21.5,21.75,2595040
KCE,20010327,3.4934,3.998,3.4352,3.8039,21330238
KGI,20010327,1.5395,1.5737,1.4368,1.4711,32612204
KKP,20010327,21.5,21.75,21.25,21.5,1446000
KTB,20010327,12.25,12.5,12,12,1063873
KYE,20010327,53,57.5,53,56,76600
LANNA,20010327,3.5,3.525,3.5,3.5,398000
LEE,20010327,1.6417,1.6417,1.6333,1.6333,390000
LH,20010327,2.35,2.35,2.075,2.075,38859760
