<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ENGY,20100326,4.22,4.26,4.22,4.24,69100
TDEX,20100326,5.58,5.59,5.52,5.52,1317900
2S,20100326,3.2,3.22,3.18,3.18,407300
A,20100326,3.6,3.6,3.58,3.6,21000
ACAP,20100326,6.9,6.9,6.85,6.85,1000
ACC,20100326,2.38,2.4,2.38,2.38,11300
ADAM,20100326,1.21,1.23,1.2,1.21,35000
ADVANC,20100326,85.75,86.5,85.5,86,8005211
AEC,20100326,2.58,2.58,2.58,2.58,19900
AEONTS,20100326,30.25,30.5,30.25,30.5,10001
AF,20100326,14.4,14.4,14.2,14.2,9600
AGE,20100326,6.8,6.8,6.7,6.75,77000
AH,20100326,9.05,9.25,8.85,8.85,1744600
AHC,20100326,58.75,59,58.75,59,3000
AI,20100326,3.64,3.66,3.54,3.54,1076600
AIT,20100326,29,30,29,29.5,555727
AJ,20100326,4.3,4.54,4.3,4.32,526900
AKR,20100326,0.86,0.87,0.83,0.83,10162300
AMANAH,20100326,1.12,1.13,1.1,1.1,14542100
AMARIN,20100326,12.6,12.7,12.6,12.6,25500
AMATA,20100326,8.55,8.8,8.35,8.35,7216798
AMC,20100326,1.98,2.02,1.98,2,127200
AOT,20100326,38.75,39,38.5,38.5,1243294
AP,20100326,5.5,5.55,5.4,5.4,25901200
APURE,20100326,0.87,0.88,0.86,0.87,3209700
AQ,20100326,0.48,0.49,0.47,0.48,378500
AS,20100326,6.15,6.15,6.05,6.15,213700
ASIAN,20100326,2.84,2.84,2.82,2.82,109900
ASIMAR,20100326,0.81,0.82,0.81,0.82,1726800
ASK,20100326,5.1,5.1,5.05,5.1,137200
ASP,20100326,1.94,1.95,1.92,1.92,13458800
AYUD,20100326,16.4,16.4,16.3,16.3,7500
BAFS,20100326,8.4,8.4,8.4,8.4,66200
BANPU,20100326,594,612,590,602,1964737
BAT-3K,20100326,65.5,65.5,65.5,65.5,500
BAY,20100326,21.6,21.7,21,21,21062798
BBL,20100326,134,135,133,135,3638200
BCH,20100326,5.35,5.4,5.25,5.25,2729601
BCP,20100326,14.5,14.7,14.5,14.5,4789064
BDMS,20100326,25.5,25.5,25,25,336600
BEC,20100326,23.9,24.2,23.9,24.1,1571165
BFIT,20100326,4.02,4.06,4,4,63100
BGT,20100326,2.48,2.54,2.44,2.44,480300
BH,20100326,31.5,31.75,31,31,101100
BIGC,20100326,50.25,50.25,50,50.25,353000
BJC,20100326,5.75,5.75,5.7,5.7,237800
BKI,20100326,201,203,201,201,29100
BKKCP,20100326,8.9,8.9,8.9,8.9,13000
BLA,20100326,24.7,24.8,24.4,24.4,2030200
BLAND,20100326,0.58,0.58,0.56,0.57,12208300
BLISS,20100326,0.06,0.06,0.05,0.06,3315200
BOL,20100326,1.5,1.52,1.49,1.5,418000
BROCK,20100326,0.66,0.67,0.65,0.65,81600
BROOK,20100326,0.46,0.47,0.46,0.46,1123000
BSBM,20100326,1.41,1.42,1.4,1.4,942100
BSM,20100326,1.04,1.04,1.03,1.03,493300
BTC,20100326,0.38,0.38,0.37,0.38,514500
BTS,20100326,0.6969,0.7064,0.6781,0.6875,22901524
BWG,20100326,1.35,1.35,1.33,1.33,239700
CCET,20100326,2.98,3,2.96,2.96,1523672
CCP,20100326,1.26,1.28,1.24,1.24,171500
CEN,20100326,2.76,2.82,2.72,2.76,2668505
CENTEL,20100326,4.12,4.16,4.12,4.14,4156700
CFRESH,20100326,3.76,3.8,3.76,3.76,359300
CGD,20100326,0.45,0.46,0.44,0.44,1329566
CHARAN,20100326,60,60,60,60,1000
CHOTI,20100326,159,160,158,158,6200
CHUO,20100326,6.75,6.75,6.75,6.75,1000
CI,20100326,4.02,4.12,4.02,4.06,766400
CIG,20100326,1.69,1.71,1.62,1.62,12841400
CIMBT,20100326,2.92,2.94,2.74,2.74,29710440
CITY,20100326,1.71,1.77,1.71,1.76,7266500
CK,20100326,6.55,6.55,5.95,6.1,52656512
CM,20100326,4.5,4.52,4.5,4.5,228750
CMO,20100326,1.63,1.64,1.56,1.57,2638200
CNS,20100326,33.75,34.25,33.75,34,96363
CNT,20100326,3.24,3.7,3.24,3.4,11610189
CPALL,20100326,27,27.25,26.75,27.25,12550920
CPF,20100326,14.8,15.1,14.7,14.8,106964928
CPI,20100326,4.16,4.2,4.16,4.16,65100
CPL,20100326,27.5,27.5,27.5,27.5,12915
CPN,20100326,21.2,21.4,20.9,20.9,2209823
CPNRF,20100326,9.95,10,9.95,10,3282700
CPR,20100326,1.91,2.02,1.89,1.89,576600
CRANE,20100326,1.63,1.65,1.6,1.6,383600
CSC,20100326,18.6,18.6,18.4,18.4,17900
CSL,20100326,3.34,3.36,3.34,3.34,1115300
CSP,20100326,2.12,2.2,2.12,2.14,815700
CTARAF,20100326,8.15,8.2,8.1,8.1,65300
CTW,20100326,4.92,5,4.9,4.9,288200
CWT,20100326,2.9,3.12,2.9,3,909700
DCC,20100326,36,36.25,36,36.25,135700
DCON,20100326,2.1,2.12,2.04,2.04,291600
DELTA,20100326,19.1,19.1,18.9,18.9,1660300
DEMCO,20100326,4.42,4.44,4.32,4.32,5692400
DIMET,20100326,0.77,0.77,0.73,0.73,6228400
DRACO,20100326,2.62,2.66,2.6,2.66,19900
DRT,20100326,3.06,3.16,3.06,3.1,2690600
DSGT,20100326,8.6,8.6,8.5,8.6,50300
DTAC,20100326,35.25,35.75,35,35,5966316
DTC,20100326,27.5,27.5,27,27.25,3100
DTCI,20100326,10.3,11,10.1,11,2600
EASON,20100326,1.79,1.84,1.79,1.79,305800
EASTW,20100326,4.58,4.58,4.54,4.54,118000
ECL,20100326,0.98,1,0.97,0.98,16743800
EE,20100326,1.15,1.17,1.15,1.17,3192200
EFORL,20100326,0.1,0.13,0.1,0.11,200782304
EGCO,20100326,79.25,80,79.25,79.25,159138
EMC,20100326,1.24,1.26,1.24,1.24,2077100
EPCO,20100326,1.75,1.76,1.72,1.72,4848800
ERW,20100326,2.4,2.42,2.38,2.38,943000
ESSO,20100326,7.2,7.25,6.95,7.1,38773472
ESTAR,20100326,0.36,0.37,0.36,0.36,1172100
EVER,20100326,0.61,0.61,0.6,0.61,11400
FANCY,20100326,2.62,2.66,2.58,2.6,253400
FC,20100326,1,1.01,0.98,0.98,1738500
FER,20100326,1.2,1.2,1.18,1.18,885400
FNS,20100326,4,4,3.94,3.94,2000
FOCUS,20100326,2.32,2.46,2.24,2.38,6700
FORTH,20100326,3.02,3.04,3,3,235500
FSS,20100326,2.32,2.36,2.32,2.32,7000
FUTUREPF,20100326,10.2,10.2,10.2,10.2,237400
GBX,20100326,1.29,1.31,1.23,1.23,9493200
GC,20100326,4.26,4.3,4.26,4.3,10000
GEL,20100326,0.39,0.4,0.38,0.38,2996700
GENCO,20100326,0.48,0.48,0.47,0.47,345400
GFPT,20100326,5.2,5.5,5.2,5.425,7733000
GJS,20100326,0.19,0.19,0.18,0.18,12634600
GLAND,20100326,5.45,5.55,5.4,5.4,160700
GLOBAL,20100326,3.22,3.48,3.22,3.3,10375800
GLOW,20100326,37,37.5,36.5,37,393600
GOLD,20100326,3.48,3.48,3.46,3.46,309700
GRAMMY,20100326,13.4,13.4,13.4,13.4,800
GREEN,20100326,0.82,0.84,0.82,0.82,331300
GSTEL,20100326,0.38,0.39,0.37,0.38,46569308
GYT,20100326,296,298,296,298,300
HANA,20100326,22,22.1,21.9,21.9,387802
HFT,20100326,1.94,1.98,1.93,1.94,5496900
HMPRO,20100326,5.55,5.6,5.45,5.5,12543976
HTC,20100326,2.88,2.98,2.8,2.9,42600
HTECH,20100326,3.02,3.06,3,3.02,783000
IEC,20100326,0.03,0.03,0.02,0.02,15101500
IFEC,20100326,1.19,1.2,1.18,1.18,505600
IHL,20100326,7.1,7.15,7.1,7.1,2019900
ILINK,20100326,7.65,7.65,7.6,7.65,159900
INET,20100326,1.14,1.16,1.14,1.14,872000
INOX,20100326,1.51,1.51,1.5,1.5,821100
INTUCH,20100326,28.75,29,28.75,29,510600
IRC,20100326,12.4,12.7,12.4,12.6,89800
IRCP,20100326,2.84,2.88,2.84,2.84,16400
IRPC,20100326,4.8,4.84,4.7,4.7,108005184
IT,20100326,6.9,6.9,6.75,6.85,99600
ITD,20100326,2.64,2.64,2.54,2.56,17737400
IVL,20100326,17.9,18.5,17.7,18,119110544
JAS,20100326,0.45,0.45,0.44,0.45,9606006
JCT,20100326,54,54,54,54,1000
JMART,20100326,1.68,1.71,1.68,1.69,1162300
JTS,20100326,1.34,1.35,1.33,1.35,2927000
JUBILE,20100326,3.16,3.86,3.16,3.44,37610320
JUTHA,20100326,4.88,5,4.5,4.9,173200
KAMART,20100326,0.39,0.41,0.34,0.35,7786000
KASET,20100326,5.7,5.85,5.7,5.7,166600
KBANK,20100326,100,100,97.5,98,8599415
KC,20100326,0.95,0.96,0.94,0.94,144000
KCAR,20100326,6.75,6.75,6.7,6.75,21500
KCE,20100326,6.25,6.6,6.2,6.4,27706172
KDH,20100326,24.3,24.3,24.3,24.3,1000
KGI,20100326,1.18,1.19,1.17,1.17,4081970
KIAT,20100326,5.75,5.75,5.7,5.7,312800
KKC,20100326,2.3353,2.3548,2.2964,2.2964,491238
KKP,20100326,27,27.25,26.75,26.75,666200
KSL,20100326,11.8,12,11.6,11.6,2577162
KTB,20100326,11.7,11.8,11.4,11.5,22679780
KTC,20100326,10.6,10.7,10.5,10.5,338500
KWG,20100326,2.36,2.52,2.36,2.36,10331300
KYE,20100326,209,210,207,207,34600
LALIN,20100326,2.4,2.4,2.4,2.4,61800
LANNA,20100326,15.3,15.6,15.2,15.4,2318700
LEE,20100326,4.1,4.12,4.06,4.08,2136600
LH,20100326,6.5,6.5,6.35,6.35,7630600
LHK,20100326,1.58,1.64,1.58,1.6,1035800
LOXLEY,20100326,1.83,1.85,1.81,1.82,22615900
LPN,20100326,7.8,8.2,7.8,8,19866604
LRH,20100326,38.5,40.75,38.5,38.75,1900
LST,20100326,3.54,3.56,3.54,3.54,234200
LTX,20100326,33.5,33.5,33.25,33.25,2000
LUXF,20100326,8.25,8.3,8.25,8.25,88600
LVT,20100326,2.54,2.56,2.5,2.5,2456700
MACO,20100326,2.82,2.84,2.58,2.58,2280300
MAJOR,20100326,8.95,9.05,8.95,8.95,1399201
MAKRO,20100326,95,95,93,93,32805
MANRIN,20100326,10,10,10,10,1000
MAX,20100326,0.53,0.55,0.53,0.53,13178900
MBAX,20100326,2.1,2.1,2.02,2.02,476700
MBK,20100326,78,78,77,77,9400
MBKET,20100326,12.3,12.3,11.8,11.8,5330100
MCOT,20100326,23.3,23.5,23.2,23.2,1023000
MCS,20100326,5.9,5.9,5.8,5.85,2495900
MDX,20100326,1.33,1.33,1.28,1.29,2380700
METCO,20100326,164.5,164.5,164,164.5,21400
MFEC,20100326,4.82,4.82,4.8,4.82,173500
MIDA,20100326,0.54,0.54,0.53,0.53,1612800
