<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ABICO,19970624,1.6,1.7,1.6,1.7,36200
ADVANC,19970624,16.8,17.2,16.2,16.2,7838000
AFC,19970624,5.8,5.8,5.4,5.8,24100
AHC,19970624,16.5,16.5,16.5,16.5,100
AJ,19970624,0.71,0.8,0.7,0.8,16000
ALUCON,19970624,100,100,100,100,500
AMARIN,19970624,1.5,1.5,1.5,1.5,3000
AP,19970624,1.15,1.175,1,1.1,66000
ASIMAR,19970624,1.8242,2.0031,1.8242,2.0031,8387
ASP,19970624,3.4,3.4,3.075,3.075,22405000
BANPU,19970624,80,80,76.72,78.03,70800
BAT-3K,19970624,27.25,27.25,27.25,27.25,200
BAY,19970624,39.096,39.528,37.152,37.368,1212097
BBL,19970624,122,122,112,114,4311215
BCP,19970624,10.25,10.5,9.7,10,744200
BDMS,19970624,2.2132,2.2513,2.2132,2.2513,550344
BEC,19970624,20.8,20.8,19.7,19.9,4654000
BFIT,19970624,16.125,16.25,16,16,26030
BIGC,19970624,7.5,7.7,7.1,7.4,114000
BJC,19970624,8,8.05,7.95,8.05,62600
BLAND,19970624,0.8,0.82,0.76,0.79,824000
BTS,19970624,5.4625,5.4625,4.9916,4.9916,750786
BUI,19970624,14.7049,14.7049,14.7049,14.7049,1047
CEN,19970624,1.35,1.35,1.25,1.3,313000
CENTEL,19970624,0.5403,0.5476,0.533,0.533,320500
CGD,19970624,1.1397,1.1397,1.1397,1.1397,11186
CK,19970624,6.55,6.85,6.4,6.4,1302000
CNS,19970624,8.9,8.9,8.1,8.6,310500
CNT,19970624,5.7,6.2,5.7,6,199300
CPF,19970624,2.851,2.851,2.7977,2.7977,783644
CPH,19970624,116,116,114,114,12200
CPI,19970624,1.4916,1.4916,1.4529,1.4916,64528
CPL,19970624,7.8,8.3,7.8,8.3,1500
CPN,19970624,1.8818,1.9925,1.8818,1.9925,5420
CSC,19970624,15.25,15.25,15,15.25,17648
CTW,19970624,8.7226,8.7226,8.4111,8.4111,105289
CWT,19970624,7.125,7.5,7.125,7.5,60200
DCC,19970624,0.24,0.25,0.24,0.24,917000
DELTA,19970624,13.8,14.3,13.7,14.3,3171000
DRACO,19970624,1.175,1.2,1.175,1.2,15800
DTC,19970624,22,22,21,22,9700
DTCI,19970624,8.5,8.5,8.5,8.5,2000
EE,19970624,0.38,0.38,0.36,0.38,113000
EGCO,19970624,50,50.5,48,48.75,1254559
EMC,19970624,69,70,68.5,70,610
EPCO,19970624,2.025,2.25,2.025,2.25,800
ERW,19970624,1.6933,1.8327,1.6933,1.8327,23091
ESTAR,19970624,0.625,0.65,0.625,0.65,128400
EVER,19970624,3.0299,3.0299,3.0299,3.0299,119
FE,19970624,100,101,100,101,200
FMT,19970624,16,16.25,15,15,99000
GFPT,19970624,0.2364,0.2556,0.23,0.2556,350600
GJS,19970624,5,5,4.6,4.8,100100
GLAND,19970624,58,60,58,59.5,3300
GRAMMY,19970624,24,25.6,24,25.6,1584000
GYT,19970624,160,160,160,160,200
HANA,19970624,6.3035,6.3574,6.1419,6.1419,1054273
ICC,19970624,82.5,82.5,81,81,3500
IEC,19970624,0.2375,0.245,0.22,0.225,87600000
IFEC,19970624,2.7,2.75,2.625,2.75,154000
INTUCH,19970624,7.5892,7.977,7.423,7.4784,10863662
IRPC,19970624,7.6396,7.6396,6.912,7.0333,2057652
ITD,19970624,4.9,4.95,4.775,4.875,2052000
JAS,19970624,2.35,2.375,2.25,2.375,2567000
JUTHA,19970624,4,4.1,3.9,4.1,30100
KAMART,19970624,3.1983,3.3042,3.1983,3.3042,7081
KBANK,19970624,56.2097,56.5403,50.5887,51.5806,7455832
KC,19970624,41.25,42.2813,41.25,42.2813,1842
KCE,19970624,4.7877,5.2628,4.6781,5.2628,1365351
KGI,19970624,2.6648,2.6648,2.433,2.433,2964005
KKC,19970624,4.2365,4.2365,4.2365,4.2365,2454
KKP,19970624,10,10,9.3,9.3,127500
KTB,19970624,28.5,28.75,27,27,7687841
KWG,19970624,29.1594,31.9812,29.1594,31.9812,478
LANNA,19970624,17.8,17.8,17.1,17.1,1292000
LEE,19970624,0.4583,0.4833,0.45,0.4667,4200000
LH,19970624,3.65,3.85,3.45,3.85,6214500
LOXLEY,19970624,5.5,5.6,5.3,5.45,2019000
LPN,19970624,1.5196,1.552,1.4711,1.552,445367
LRH,19970624,7.3328,7.4492,7.3328,7.4492,57563
LTX,19970624,15.75,15.75,15.75,15.75,1000
MAKRO,19970624,70,70.5,65,70.5,256500
MALEE,19970624,8.9,9,8.7,8.7,242500
MAX,19970624,16.6,16.7,16.6,16.7,22000
MBK,19970624,22,22,20,20,315300
MDX,19970624,5.5,5.8,5.5,5.6,11500
METCO,19970624,18.5,18.5,18,18,7200
MFC,19970624,8.5,8.9,8.35,8.9,45000
MINT,19970624,0.8047,0.8047,0.7234,0.7324,131700
MK,19970624,1.25,1.325,1.25,1.325,339000
MODERN,19970624,7.9,8,7.5,7.7,98600
MSC,19970624,1.475,1.55,1.475,1.55,21000
NC,19970624,8.8224,10.0477,8.8224,10.0477,245
NEP,19970624,0.22,0.24,0.2,0.2,2214280
NMG,19970624,43,48,43,48,5100
NOBLE,19970624,3.0744,3.2208,2.928,3.0012,2566530
NPK,19970624,5.5,5.5,5.5,5.5,63
NPP,19970624,19,20,19,20,800
NSI,19970624,120,132,120,132,3000
NTV,19970624,26.5,26.75,26.5,26.75,3300
NWR,19970624,35.0133,35.0133,34.6286,34.6286,10906
OCC,19970624,9.6,9.6,9.6,9.6,5100
PAF,19970624,2.7847,2.7847,2.7847,2.7847,11311
PATO,19970624,3.9,3.95,3.9,3.95,10000
PDI,19970624,7.3,7.9,7.2,7.4,666450
PE,19970624,16,16,15.75,15.75,6200
PF,19970624,9.3,9.6,8.4,9,667500
PK,19970624,1.325,1.35,1.3,1.35,31000
PL,19970624,0.7,0.71,0.7,0.71,330000
POST,19970624,2.625,2.625,2.6,2.6,143000
PR,19970624,22.5,22.5,22.5,22.5,2000
PRANDA,19970624,1.4,1.4,1.3,1.3,553000
PRECHA,19970624,29,29.2,29,29.2,2500
PRG,19970624,22,22,22,22,181000
PSL,19970624,2.525,2.575,2.5,2.5,320000
PTTEP,19970624,32,32,30.4,30.4,804000
QH,19970624,2.0661,2.1334,2.0211,2.0436,2238040
RCL,19970624,5.9252,5.9252,5.9252,5.9252,4990
RML,19970624,0.2735,0.2945,0.2735,0.2945,22814
ROBINS,19970624,9,9,8.5,8.6,35700
ROCK,19970624,71,71,71,71,450000
ROJNA,19970624,12.3,12.3,12.3,12.3,1000
SAMART,19970624,10,10.3,9.85,10.1,233000
SAMCO,19970624,1.375,1.375,1.375,1.375,12000
SAMTEL,19970624,6.1,6.4,6.05,6.4,17000
SAUCE,19970624,42,42,42,42,1000
SAWANG,19970624,8,8.2,8,8.2,6000
SCB,19970624,84.918,85.3771,78.0328,78.4918,1626249
SCC,19970624,40.2,40.2,37.6,37.6,1142500
SCCC,19970624,83.5,84,82.5,83.5,1097850
SCP,19970624,3,3.1,2.9,3.1,9700
SFP,19970624,67,67,67,67,100
SHANG,19970624,16.5,16.5,16.5,16.5,2000
SIAM,19970624,10.25,12,10.25,12,8000
SINGER,19970624,9.6,9.6,9.4,9.4,18000
SIRI,19970624,5.0588,5.2853,5.0588,5.2853,578248
SITHAI,19970624,55.5,61,54,59,60600
SKR,19970624,1.9,1.9,1.9,1.9,29900
SMPC,19970624,2.5,2.5,2.5,2.5,100
SNP,19970624,7.5,7.875,7.5,7.875,6200
SPALI,19970624,0.8,0.81,0.79,0.8,427000
SPC,19970624,5.45,5.45,5.45,5.45,990
SPORT,19970624,10.5,10.5,10.2,10.5,46000
SSC,19970624,31.8,32.6,31.8,32.6,180000
SSI,19970624,0.42,0.46,0.42,0.46,11101000
SSSC,19970624,23.1691,24.6693,23.0025,24.6693,5999
SST,19970624,2.35,2.35,2.35,2.35,6000
STA,19970624,2.5579,2.5823,2.5336,2.5823,34890
STANLY,19970624,29,29,28,28,102000
STEC,19970624,5.85,6.2,5.85,5.95,2062000
STPI,19970624,1.4,1.425,1.35,1.35,81000
SUC,19970624,15.25,15.25,15.25,15.25,38025
SUSCO,19970624,0.26,0.28,0.24,0.24,1427000
SVH,19970624,6.2,6.2,6.1,6.1,4500
SVOA,19970624,0.67,0.68,0.64,0.68,145000
SYNTEC,19970624,4.8688,4.8688,4.8688,4.8688,700
TASCO,19970624,114,118,112,112,489700
TBSP,19970624,18,22,18,22,4300
TC,19970624,6.3,6.5,6.3,6.5,13200
TCAP,19970624,16.8393,17.0833,15.375,15.619,2874336
TCCC,19970624,9.7,9.7,9.6,9.6,8600
TCJ,19970624,109,111,108,108,7800
TCMC,19970624,2.7009,2.7009,2.7009,2.7009,2887
TCOAT,19970624,4.4,4.4,4.4,4.4,200
TFD,19970624,4.5635,4.6782,4.1278,4.1278,219122
TGCI,19970624,1.225,1.225,1.1,1.1,702000
TGPRO,19970624,10.25,10.75,9.9,9.9,29000
THAI,19970624,34.75,36.25,34,35,372700
THCOM,19970624,12.5,12.625,11.625,11.875,779000
THL,19970624,1.0238,1.0471,0.954,1.0471,675785
THRE,19970624,6.2,6.2,6.2,6.2,60000
TIP,19970624,4.025,4.05,4.025,4.025,19000
TIPCO,19970624,1.95,2,1.95,2,150000
TISCO,19970624,53,53,52.5,53,535000
TLUXE,19970624,1.3166,1.3166,1.3166,1.3166,4000
TMB,19970624,22.195,22.195,20.1588,20.3624,4557169
TNL,19970624,3.3,3.3,3.3,3.3,10000
TPC,19970624,8,8,8,8,300900
TPIPL,19970624,15.75,16,15.25,15.5,299551
TPP,19970624,1.9,2,1.8,1.8,70000
TRITN,19970624,3.3296,3.3296,3.1869,3.2345,12148
TRU,19970624,6.8,6.8,6.8,6.8,3750
TRUBB,19970624,1.7411,1.7411,1.7411,1.7411,3728
TRUE,19970624,27.75,29,27.5,27.75,6109700
TTA,19970624,1.1821,1.1821,1.1139,1.1594,1193222
TTI,19970624,23,23,23,23,5000
TTTM,19970624,42.25,42.25,42.25,42.25,400
TU,19970624,2.1,2.125,2.1,2.125,165000
TVI,19970624,16,16,15.25,15.25,3000
TWP,19970624,31,31,30,30,30000
UP,19970624,12,12,12,12,2300
UT,19970624,6.5,6.5,6.5,6.5,7500
UV,19970624,2.225,2.6,2.225,2.6,11000
VIBHA,19970624,0.91,0.96,0.91,0.96,14000
VNT,19970624,3.5,3.7,3.4,3.6,598900
WAVE,19970624,42.75,45,42,45,35700
WIIK,19970624,2.4125,2.425,2.4125,2.425,14000
ZMICO,19970624,0.45,0.46,0.44,0.46,353000
$AGRI,19970624,35.2,35.2,35.2,35.2,475861
$BANK,19970624,492.64,492.64,492.64,492.64,30043452
$COMM,19970624,2096.7,2096.7,2096.7,2096.7,690014
$ENERG,19970624,4616.62,4616.62,4616.62,4616.62,3113359
$ETRON,19970624,378.9,378.9,378.9,378.9,924400
$FIN,19970624,1705.43,1705.43,1705.43,1705.43,30312316
$FOOD,19970624,1409.01,1409.01,1409.01,1409.01,352100
$HELTH,19970624,128.29,128.29,128.29,128.29,133300
$INSUR,19970624,2806.66,2806.66,2806.66,2806.66,21200
$MINE,19970624,9.92,9.92,9.92,9.92,729350
$PKG,19970624,919.74,919.74,919.74,919.74,321076
$PROF,19970624,214.59,214.59,214.59,214.59,200
$PROP,19970624,223.11,223.11,223.11,223.11,6497714
$TRANS,19970624,71.69,71.69,71.69,71.69,1069800
SET,19970624,509.12,510.52,491.83,493.13,223395920
ADVANC-F,19970624,17,17,17,17,90000
BAY-F,19970624,46,46,45,45.62,402900
BBL-F,19970624,176,178,160,173.65,977400
BTS-F,19970624,6,6.9,6,6.03,5200
DTC-F,19970624,22.25,22.25,22,22.05,10000
EGCO-F,19970624,63.5,63.5,59,60.05,1214500
GRAMMY-F,19970624,242,242,242,242,144800
ICC-F,19970624,81,81,81,81,2000
ITD-F,19970624,48.84,48.84,48.84,48.84,7000
KBANK-F,19970624,71.768,72.3711,65.7371,67.474,3923277
KTB-F,19970624,28.75,28.75,27,27.62,287800
LANNA-F,19970624,175,175,175,175,10000
LH-F,19970624,5.15,5.6,5.15,5.339,4751000
PTTEP-F,19970624,178,178,172,173.47,327800
QH-F,19970624,1.84,1.84,1.84,1.84,315000
RCL-F,19970624,155,155,154,154.92,129800
S&J-F,19970624,37,37,37,37,10000
SCB-F,19970624,104,106,94,97.55,687300
SCC-F,19970624,47,47.2,46.6,46.951,1727000
SCCC-F,19970624,83.07,83.07,83.07,83.07,174000
SITHAI-F,19970624,60,60,60,60,500
SUC-F,19970624,18.75,18.75,18,18.24,491000
TASCO-F,19970624,115,115,115,115,50048
TCAP-F,19970624,16.75,16.75,16,16.43,35000
TMB-F,19970624,27.5,27.75,25.75,27.07,373500
TRUE-F,19970624,29,29,29,29,3000
APX,19970624,8,8,8,8,2000
BECL,19970624,24.75,24.75,23.75,24.5,489200
BRC,19970624,3.4,3.7,3.4,3.7,347600
CGS,19970624,1.7003,1.7003,1.5695,1.6131,1716878
CPICO,19970624,52.5,57,52.5,57,3000
DTM,19970624,2.2551,2.3303,2.1048,2.2551,87933
HEMRAJ,19970624,2.0665,2.1881,2.0209,2.1881,253376
ICBCT,19970624,77.4,77.4,74.4,74.4,85750
MGR,19970624,56.5,60,54,59.5,9200
NFC,19970624,6.5733,6.5733,5.78,5.78,1337647
PA,19970624,1.6,1.6,1.6,1.6,47700
PHATRA,19970624,27.5,27.75,25.5,26,2316800
POMPUI,19970624,25.25,28,24.75,28,5000
PYT,19970624,11.5,11.5,11,11.25,52100
SAFARI,19970624,117.529,117.529,115.941,115.941,7555
SCAN,19970624,12.25,12.5,10.5,11,14900
SCIB,19970624,15.8198,15.8198,14.7651,14.7651,2348665
SGF,19970624,1.6751,1.7513,1.599,1.599,201923
SICCO,19970624,7.3424,7.3424,6.8052,6.9484,376063
SMG,19970624,9.6911,9.6911,9.626,9.626,1921
SPSU,19970624,3.65,3.65,3.55,3.6,65400
TCP,19970624,12.298,13.1765,12.298,13.1765,1195
TT&T,19970624,11,11.25,10.25,10.75,6944456
TWFP,19970624,16,16,16,16,100
VGM,19970624,5.72,5.8825,5.6875,5.8825,18461
VI,19970624,12.5,12.75,12.5,12.5,23500
WORLD,19970624,34,34,34,34,100
