<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACC,19981215,21.8,21.8,21.6,21.6,9000
ADVANC,19981215,21.4,21.4,21,21.4,764000
AFC,19981215,2.9,2.9,2.9,2.9,500
AHC,19981215,4.3,4.3,4.3,4.3,100
AJ,19981215,0.16,0.17,0.16,0.17,930000
ASIA,19981215,6,6,6,6,2000
ASIAN,19981215,0.8,0.8,0.8,0.8,10000
ASIMAR,19981215,0.6152,0.6438,0.6009,0.6009,580107
ASP,19981215,5.45,5.5,5.45,5.5,564000
BANPU,19981215,25.06,25.2,24.63,24.77,170900
BAY,19981215,10.25,10.75,9.9,10.75,22211300
BBL,19981215,48.5,50.5,47.75,50.5,3566200
BCP,19981215,6.7,7,6.7,7,72000
BDMS,19981215,1.0684,1.0684,1.0684,1.0684,13103
BEC,19981215,20,20,19.6,19.9,2731000
BFIT,19981215,6.5,6.5,6,6.375,25200
BH,19981215,0.74,0.74,0.74,0.74,75000
BIGC,19981215,7.1,7.1,6.9,7,178700
BJC,19981215,5.9,6,5.9,6,23100
BKI,19981215,61.3322,61.3322,61.3322,61.3322,225
BLAND,19981215,0.45,0.47,0.39,0.42,24118000
BTNC,19981215,6.4,6.4,6.4,6.4,2000
BTS,19981215,5.0858,5.18,4.3323,4.6149,6728191
CENTEL,19981215,0.4746,0.4746,0.4746,0.4746,150700
CHARAN,19981215,37,37,37,37,400
CHOTI,19981215,113,114,111,114,4700
CK,19981215,6.15,6.35,6.15,6.2,240000
CM,19981215,2.226,2.226,2.2033,2.2033,77044
CNS,19981215,62,65.5,61.5,62.5,290400
CPF,19981215,2.4513,2.4513,2.3447,2.438,9421898
CPH,19981215,3.5,3.5,3.3,3.4,100100
CPL,19981215,14.25,15.75,14.25,15.75,6000
CSC,19981215,7,7.4,7,7.4,4500
DELTA,19981215,19.2,19.4,19.2,19.4,141000
DRACO,19981215,1.05,1.075,1.05,1.05,13000
EASTW,19981215,3.8,3.825,3.7,3.775,1508000
EE,19981215,0.65,0.65,0.65,0.65,10000
EGCO,19981215,67,67,65.5,66,69650
EPCO,19981215,1.125,1.125,1.125,1.125,440000
ERW,19981215,0.55,0.6167,0.5333,0.6167,1068600
ESTAR,19981215,0.425,0.45,0.425,0.45,16000
GFPT,19981215,0.3897,0.3961,0.3769,0.3833,1555820
GJS,19981215,3.8,3.8,3.7,3.8,566300
GLAND,19981215,3.8,3.8,3.8,3.8,33000
GOLD,19981215,4.8,4.8,4.4,4.4,16300
GRAMMY,19981215,16.6,16.6,16.5,16.5,160000
HANA,19981215,8.4,8.45,8.35,8.35,25000
HTC,19981215,5.2,5.2,4.7,4.7,80000
IEC,19981215,0.05,0.05,0.05,0.05,1600000
IFEC,19981215,0.17,0.23,0.17,0.23,124000
INTUCH,19981215,7.0906,7.146,7.0353,7.0906,3204220
IRPC,19981215,2.7648,2.9103,2.7648,2.8618,2111924
ITD,19981215,7.7,8.4,7.35,7.35,3586000
JAS,19981215,0.96,0.97,0.91,0.94,361000
JUTHA,19981215,3.7,3.7,3.4,3.4,30000
KAMART,19981215,0.2203,0.2372,0.2203,0.2372,118032
KBANK,19981215,32.8992,34.3871,32.8992,34.3871,3763657
KC,19981215,1,1,0.9,0.9,445800
KCE,19981215,4.2395,4.3492,4.2395,4.3492,652577
KGI,19981215,2.7026,2.7711,2.6684,2.7711,18060232
KKP,19981215,8.9,9.2,8.8,9.2,2800800
KTB,19981215,19.75,20.75,19.25,20.75,11358621
KWG,19981215,1.6,1.6,1.3,1.3,2100
KYE,19981215,32,33,32,33,3500
LANNA,19981215,4.3,4.525,4.3,4.5,309000
LH,19981215,2.1,2.175,2.05,2.125,11628000
LOXLEY,19981215,1.275,1.375,1.275,1.3,210000
LST,19981215,1.0273,1.0273,1.0273,1.0273,1500
LTX,19981215,15,15,15,15,4000
MAKRO,19981215,70,71.5,70,70.5,62500
MALEE,19981215,12,12.75,11.75,12,32500
MAX,19981215,1,1.025,0.99,1.025,630000
MBK,19981215,22,22.75,22,22.75,11000
METCO,19981215,61,61,60,61,21000
MINT,19981215,1.3337,1.3337,1.3111,1.3337,653500
