<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TDEX,20071226,6.2,6.25,6.16,6.2,10745855
A,20071226,3.5,3.5,3.46,3.5,194200
ACC,20071226,2.1,2.2,2.08,2.16,5045700
ADAM,20071226,7.4,7.5,7.25,7.45,3089476
ADVANC,20071226,97,97,95,96,1135391
AEC,20071226,5.35,5.45,5.3,5.3,13000
AEONTS,20071226,44,44,43,43,14700
AFC,20071226,4.38,4.4,4.3,4.34,1000
AH,20071226,10.6,10.7,10.6,10.6,288000
AHC,20071226,58,58,58,58,500
AI,20071226,6.3,6.35,6.25,6.35,143500
AIT,20071226,13.1,13.3,13,13.1,31000
AJ,20071226,2.72,2.74,2.7,2.7,445600
AKR,20071226,2.3,2.34,2.24,2.24,13576100
AMANAH,20071226,0.54,0.56,0.54,0.54,1201600
AMARIN,20071226,13.5,13.5,13.5,13.5,19000
AMATA,20071226,17.4,17.5,17.2,17.5,672800
AMC,20071226,2.08,2.16,2.08,2.1,413000
AOT,20071226,58.5,58.5,58,58,123085
AP,20071226,6.3,6.4,6.1,6.25,5557700
APURE,20071226,2.0978,2.2756,2.08,2.2222,30749062
AQ,20071226,0.82,0.84,0.81,0.81,3571900
ASIA,20071226,46.25,46.25,46.25,46.25,200
ASIAN,20071226,1.47,1.47,1.41,1.42,1050000
ASIMAR,20071226,1.11,1.14,1.11,1.12,4764400
ASK,20071226,5,5,5,5,5000
ASP,20071226,3.74,3.78,3.66,3.7,8987200
AYUD,20071226,20.6,20.6,20.6,20.6,1800
BAFS,20071226,11.1,11.1,11,11,368221
BANPU,20071226,408,408,394,394,2316716
BAT-3K,20071226,67,67.5,66.5,67.5,13100
BAY,20071226,26.25,26.25,25.5,25.75,4958861
BBL,20071226,118,119,117,117,3125190
BCH,20071226,4.6,4.6286,4.5714,4.6,503900
BCP,20071226,13.2,13.7,13.2,13.4,382300
BDMS,20071226,33.25,33.25,33,33,429500
BEC,20071226,28,28.25,27.75,27.75,1293300
BFIT,20071226,6.65,6.8,6.65,6.65,46300
BGT,20071226,1.9,2,1.88,1.88,4080101
BH,20071226,40.5,40.5,39.5,40.5,969891
BIGC,20071226,45,45,44,44.5,14500
BJC,20071226,6.6,6.85,6.55,6.7,1075336
BKI,20071226,181.333,182.667,181.333,182.667,31255
BLAND,20071226,0.77,0.78,0.76,0.76,8973300
BLISS,20071226,3.04,3.86,3.04,3.82,8685700
BOL,20071226,0.95,1.05,0.95,1.05,2400
BROCK,20071226,1.08,1.09,1.03,1.05,1789100
BROOK,20071226,0.61,0.64,0.6,0.62,4533900
BSBM,20071226,1.19,1.2,1.18,1.2,665400
BTC,20071226,0.85,0.87,0.85,0.86,128900
BTS,20071226,0.8665,0.9041,0.8476,0.8759,24632588
BWG,20071226,7.7,7.9,7.45,7.7,6466101
CCET,20071226,6.9,6.95,6.8,6.9,1837310
CCP,20071226,1.35,1.38,1.34,1.34,130600
CEN,20071226,1.59,1.63,1.57,1.59,11239000
CENTEL,20071226,5.4,5.6,5.4,5.6,254500
CFRESH,20071226,1.82,1.82,1.81,1.82,97700
CGD,20071226,0.6133,0.6311,0.6044,0.6222,29844678
CHARAN,20071226,66,66,66,66,2000
CI,20071226,3.66,3.72,3.66,3.68,81000
CIG,20071226,2.24,2.29,2.24,2.28,899200
CIMBT,20071226,0.7906,0.8146,0.7846,0.8146,27066324
CITY,20071226,2.26,2.3,2.26,2.28,32100
CK,20071226,8.4,8.4,8.25,8.25,1057800
CM,20071226,2.9,2.92,2.9,2.9,48500
CMO,20071226,1.8,1.81,1.79,1.79,31800
CMR,20071226,32,32,32,32,8000
CNS,20071226,35.25,36.25,35.25,36,33700
CNT,20071226,2.12,2.16,2.12,2.12,174185
CPALL,20071226,9.95,9.95,9.75,9.9,4250616
CPF,20071226,4.48,4.52,4.46,4.48,5202291
CPH,20071226,6.6,6.75,6.35,6.75,3300
CPI,20071226,3.6,3.6,3.5,3.5,10200
CPL,20071226,14,14,14,14,700
CPN,20071226,25.25,25.25,24.5,24.7,965700
CPNRF,20071226,9.2,9.2,9.1,9.1,1651602
CPR,20071226,1.4,1.65,1.4,1.65,1900
CSC,20071226,14.5,14.5,14.4,14.4,24300
CSL,20071226,4,4,3.92,3.92,22100
CSP,20071226,1.73,1.73,1.72,1.72,3600
CSR,20071226,45.25,45.25,45.25,45.25,500
CTW,20071226,7.45,7.45,7.45,7.45,5000
CWT,20071226,2.8,2.8,2.74,2.74,6500
DCC,20071226,15.7,15.8,15.7,15.8,21400
DELTA,20071226,21.6,21.6,21.3,21.3,343616
DEMCO,20071226,4.16,4.18,4.12,4.14,647600
DRACO,20071226,3.325,3.325,3.275,3.275,7400
DRT,20071226,2.84,2.86,2.82,2.82,255510
DSGT,20071226,6.2,6.2,6.15,6.15,5700
DTAC,20071226,39.25,39.25,38.5,38.75,466532
DTCI,20071226,7.45,7.45,7.45,7.45,100
EASON,20071226,2.2,2.22,2.2,2.2,384200
EASTW,20071226,4.72,4.74,4.7,4.7,366501
ECL,20071226,0.52,0.52,0.51,0.51,407500
EGCO,20071226,111,111,110,111,302242
EIC,20071226,4.84,4.86,4.84,4.84,431003
EMC,20071226,3.38,3.44,3.36,3.36,720240
EPCO,20071226,2,2.04,2,2.04,350391
ERW,20071226,4,4.04,4,4.02,1075000
ESTAR,20071226,0.34,0.35,0.34,0.34,880700
EVER,20071226,1.7076,1.7763,1.6683,1.6978,37283000
FANCY,20071226,1.97,1.97,1.97,1.97,200
FC,20071226,1.81,1.87,1.8,1.82,15921100
FER,20071226,1.39,1.41,1.23,1.26,61418900
FNS,20071226,8.8,8.8,8.8,8.8,16000
FOCUS,20071226,2.96,2.96,2.96,2.96,250000
FORTH,20071226,3.8,3.825,3.8,3.825,38400
FSS,20071226,3.7,3.7,3.7,3.7,30000
GBX,20071226,1.63,1.64,1.53,1.54,62869700
GC,20071226,3.62,3.74,3.62,3.74,600
GEL,20071226,1.43,1.45,1.39,1.44,5111538
GENCO,20071226,0.71,0.71,0.71,0.71,85300
GFPT,20071226,1.21,1.21,1.2,1.21,587000
GJS,20071226,0.24,0.25,0.24,0.24,4894000
GLAND,20071226,6,6,5.95,6,4901
GLOW,20071226,32.5,33.25,32.25,33,1008270
GOLD,20071226,7.4,7.85,7.4,7.65,23400
GRAMMY,20071226,9.85,9.9,9.8,9.9,23300
GRAND,20071226,3.72,3.72,3.72,3.72,100
GREEN,20071226,2.1,2.16,2.06,2.12,1397400
GSTEL,20071226,0.72,0.73,0.71,0.72,8337100
HANA,20071226,21.6,21.6,21,21,461400
HFT,20071226,0.91,0.91,0.91,0.91,100
HMPRO,20071226,2.5608,2.5925,2.5608,2.5714,455900
HTC,20071226,2.94,2.94,2.94,2.94,100
IEC,20071226,0.139,0.147,0.134,0.145,1397175040
IFEC,20071226,0.75,0.79,0.75,0.76,5168000
ILINK,20071226,6.8,6.9,6.8,6.9,136400
INET,20071226,1.48,1.5,1.47,1.48,642400
INOX,20071226,1.24,1.28,1.24,1.27,4441600
INSURE,20071226,65,65,65,65,2300
INTUCH,20071226,25.5,25.75,25,25.5,158705
IRC,20071226,12,12,12,12,10000
IRPC,20071226,6.1,6.1,5.95,6,18917504
IT,20071226,6.65,6.65,6.5,6.55,60300
ITD,20071226,8.3,8.3,8.05,8.05,5788000
JAS,20071226,0.39,0.41,0.39,0.4,8453300
JCT,20071226,44,44,44,44,500
JTS,20071226,1.49,1.53,1.49,1.5,627400
JUTHA,20071226,8.75,8.75,8.65,8.7,113700
KAMART,20071226,0.45,0.46,0.45,0.45,969800
KASET,20071226,1.23,1.29,1.22,1.24,4862600
KBANK,20071226,86,87,85,85.5,7006462
KC,20071226,0.86,0.87,0.86,0.87,32750
KCAR,20071226,6.15,6.2,6.15,6.2,32500
KCE,20071226,3.52,3.52,3.5,3.5,417500
KDH,20071226,35,35.25,35,35.25,7000
KGI,20071226,2.76,2.78,2.7,2.74,13371400
KKP,20071226,28,28,27.5,28,437320
KSL,20071226,12.9,12.9,12.8,12.8,97400
KTB,20071226,10,10.1,9.85,9.9,11696489
