<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ABICO,19960904,4.9,5.2,4.8,5.2,76400
ADVANC,19960904,31.4,31.4,30.6,31,2410000
AFC,19960904,9,9,9,9,10000
AHC,19960904,37,39,37,39,2200
AJ,19960904,0.98,1,0.98,1,35000
AMARIN,19960904,3.5,3.575,3.5,3.575,263000
APURE,19960904,7.4667,7.4667,7.4667,7.4667,1125
ASIA,19960904,16.75,17.5,16.75,17.5,1200
ASIMAR,19960904,4.4354,4.7931,4.3996,4.6858,34247
ASP,19960904,4.85,4.95,4.75,4.8,2045000
AYUD,19960904,171,177,171,177,400
BANPU,19960904,204.59,204.59,204.59,204.59,6700
BAT-3K,19960904,83,85.5,83,85.5,16900
BAY,19960904,90.72,92.448,88.992,90.72,852714
BBL,19960904,212,212,208,212,815120
BCP,19960904,27.75,29,27.75,28,1253300
BDMS,19960904,3.0336,3.0336,3.0336,3.0336,11793
BEC,19960904,26.2,26.6,26.2,26.4,2339000
BFIT,19960904,61,62,60.5,61,18486
BH,19960904,4.1,4.1,4.1,4.1,10000
BIGC,19960904,34.75,35.5,34.25,34.5,22600
BJC,19960904,9.4,9.55,9.35,9.55,19100
BKI,19960904,182.219,182.219,176.886,176.886,10800
BLAND,19960904,2.35,2.375,2.25,2.3,1857000
BTNC,19960904,27,27,27,27,100
BTS,19960904,30.3735,31.0798,27.548,27.548,521653
CEN,19960904,2.225,2.3,2.15,2.3,61000
CENTEL,19960904,0.7229,0.7229,0.6863,0.6863,245200
CHARAN,19960904,60,60,60,60,1000
CK,19960904,16.8,16.8,16.2,16.6,248500
CNS,19960904,36,36.5,34.5,34.5,236400
CNT,19960904,13,13.25,11.75,12.25,135602
CPF,19960904,4.8493,4.9559,4.7961,4.9559,2627160
CPH,19960904,114,115,113,113,38200
CPI,19960904,2.557,2.557,2.557,2.557,12905
CPL,19960904,10.5,11.5,10.5,11.5,10700
CPN,19960904,5.7561,5.7561,5.7008,5.7008,805816
CTW,19960904,15.2646,15.2646,15.1867,15.1867,4173
CWT,19960904,11.75,11.75,11.5,11.5,32000
DCC,19960904,2.2,2.325,2.2,2.325,137000
DELTA,19960904,10.1,10.2,9.95,10.2,104000
DRACO,19960904,1.775,1.825,1.75,1.775,6400
DTC,19960904,31.5,31.5,31,31,2050
DTCI,19960904,16,16,16,16,2400
EE,19960904,1.125,1.15,1.1,1.15,75000
EGCO,19960904,73,73.5,71,72,931300
EMC,19960904,101,104,99,103,15880
EPCO,19960904,8.25,8.25,7.875,8.0625,167600
ERW,19960904,3.3865,3.4363,3.3865,3.4363,54215
ESTAR,19960904,1.525,1.525,1.475,1.475,408000
EVER,19960904,17.8108,18.425,17.4014,18.425,42064
GEL,19960904,6.0313,6.261,6.0313,6.261,3046
GFPT,19960904,0.3961,0.3961,0.3706,0.3897,621390
GJS,19960904,9.1,9.2,8.8,8.9,255700
GLAND,19960904,210,210,210,210,16000
GOLD,19960904,10.25,10.25,9.8,9.9,94644
GYT,19960904,310,320,310,320,300
HANA,19960904,6.7884,6.8961,6.7345,6.7884,386071
HTC,19960904,3.65,3.65,3.65,3.65,3000
ICC,19960904,175,175,175,175,1000
IEC,19960904,1.11,1.12,1.09,1.09,12990000
IFEC,19960904,2.4,2.5,2.4,2.5,18000
INTUCH,19960904,21.0504,21.1612,20.8288,20.8288,3624831
IRC,19960904,5.95,6,5.95,6,38000
IRPC,19960904,10.6701,10.6701,10.0168,10.0168,1610050
ITD,19960904,19.3,19.4,18.4,18.7,978000
JAS,19960904,7.3,7.5,7.3,7.4,2731000
KAMART,19960904,5.1257,5.2104,5.0833,5.2104,49573
KBANK,19960904,112.419,112.419,110.436,111.758,889337
KC,19960904,53.625,53.625,53.1094,53.625,39272
KCE,19960904,7.6018,7.748,7.6018,7.675,738767
