<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHINA,20101216,7.46,7.46,7.43,7.44,177300
ENGY,20101216,5.33,5.33,5.2,5.3,14500
TDEX,20101216,7.23,7.23,7.15,7.18,2284300
2S,20101216,3.16,3.18,3.16,3.18,20000
A,20101216,3.66,3.66,3.64,3.66,75000
ACAP,20101216,5.35,5.35,5.25,5.25,23600
ACC,20101216,2.42,2.44,2.38,2.38,352300
ADAM,20101216,0.96,0.96,0.96,0.96,300
ADVANC,20101216,85,87.75,85,86.25,16671600
AEC,20101216,2.56,2.56,2.54,2.56,79800
AEONTS,20101216,32.25,32.25,32.25,32.25,30100
AF,20101216,16.7,16.7,16.7,16.7,5000
AGE,20101216,13.1,13.2,12.8,12.8,6741600
AH,20101216,16.4,16.4,15.9,16,437100
AHC,20101216,68.5,69.5,68.5,69.5,2700
AI,20101216,4,4.02,3.94,3.94,2186500
AIT,20101216,44.5,44.5,44,44.25,89800
AJ,20101216,30.25,32,30,30.5,7889300
AKR,20101216,1.24,1.26,1.23,1.25,5685000
AMANAH,20101216,1.02,1.02,1,1,2766400
AMARIN,20101216,12.2,12.3,12.2,12.2,22800
AMATA,20101216,14.7,15.2,14.7,15.1,21438600
AMC,20101216,1.99,1.99,1.98,1.98,20200
AOT,20101216,39,39.5,38.5,39.5,2217300
AP,20101216,6.45,6.45,6.35,6.35,5700100
APURE,20101216,0.84,0.85,0.83,0.83,1729300
AQ,20101216,0.53,0.54,0.53,0.54,1757500
AQUA,20101216,0.48,0.49,0.48,0.49,331900
ARIP,20101216,1.75,1.81,1.69,1.7,24324500
AS,20101216,10.2,10.2,10.2,10.2,39700
ASIA,20101216,33.75,33.75,33.75,33.75,200
ASIAN,20101216,3.48,3.7,3.48,3.64,5049100
ASIMAR,20101216,0.72,0.72,0.72,0.72,10200
ASK,20101216,8.9,9,8.9,9,59200
ASP,20101216,2.82,2.84,2.78,2.78,3757600
AYUD,20101216,18.2,18.2,18.2,18.2,21200
BAFS,20101216,10.9,10.9,10.8,10.9,32500
BANPU,20101216,790,802,786,802,989950
BAT-3K,20101216,59.75,59.75,59.75,59.75,1000
BAY,20101216,23.4,23.5,23.2,23.3,10239700
BBL,20101216,148.5,149.5,147.5,149,2619800
BCH,20101216,6.75,7.35,6.75,6.8,42334200
BCP,20101216,18.3,18.4,17.8,18,9318900
BDMS,20101216,46.25,48.75,46,46.75,27031600
BEC,20101216,31.5,31.75,31,31.5,5309900
BFIT,20101216,4.46,4.46,4.46,4.46,2000
BGT,20101216,1.7,1.72,1.7,1.72,3800
BH,20101216,32.75,33.25,32.5,32.75,868100
BIGC,20101216,85.5,85.75,85.25,85.75,687000
BJC,20101216,18.9,19.1,18.7,18.7,777600
BKI,20101216,246,246,245,245,7100
BLA,20101216,31.75,33.25,31,33,11780200
BLAND,20101216,0.74,0.74,0.73,0.73,18698700
BLISS,20101216,0.05,0.06,0.05,0.05,1072500
BOL,20101216,1.32,1.33,1.32,1.33,10100
BROCK,20101216,0.71,0.71,0.71,0.71,200000
BROOK,20101216,0.86,0.87,0.85,0.85,903700
BSBM,20101216,1.46,1.48,1.46,1.47,213800
BSM,20101216,0.79,0.79,0.79,0.79,30000
BTC,20101216,0.4,0.42,0.4,0.41,2406900
BTS,20101216,0.82,0.83,0.81,0.82,158473500
BWG,20101216,1.62,1.63,1.61,1.61,183800
CCET,20101216,3.46,3.46,3.4,3.42,2130600
CCP,20101216,3.22,3.34,3.22,3.3,3836900
CEN,20101216,5.35,5.35,5.2,5.25,842900
CENTEL,20101216,5.2,5.25,5.05,5.05,4004100
CFRESH,20101216,4.78,5.05,4.78,5.05,10733700
CGD,20101216,0.71,0.72,0.71,0.71,4576600
CI,20101216,3.98,4.02,3.96,3.96,222000
CIMBT,20101216,3.24,3.3,3.22,3.26,1393200
CITY,20101216,1.91,1.92,1.91,1.91,576300
CK,20101216,10.2,10.3,9.9,9.95,46248400
CM,20101216,4.06,4.08,4.04,4.06,998400
CMO,20101216,1.41,1.44,1.41,1.42,1057500
CMR,20101216,35.25,39.5,35,39,95000
CNS,20101216,29.75,29.75,29.5,29.75,59700
CNT,20101216,4.74,4.96,4.72,4.96,18292300
COL,20101216,8.5,8.5,8.4,8.4,142800
CPALL,20101216,41,41,39.5,40.25,16115200
CPF,20101216,23.9,24,23.7,23.7,12243500
CPH,20101216,5.6,6.15,5.6,5.9,21800
CPI,20101216,4.48,4.48,4.4,4.44,159300
CPL,20101216,31.5,31.75,31.25,31.75,20400
CPN,20101216,28.5,29.25,28.25,29.25,6857000
CPNRF,20101216,11.6,11.6,11.5,11.6,1235400
CPR,20101216,2.52,2.54,2.52,2.54,500
CRANE,20101216,1.86,1.88,1.86,1.86,346600
CSC,20101216,32,32,31.25,31.5,15000
CSL,20101216,5.15,5.2,5.1,5.1,1366300
CSP,20101216,2.14,2.14,2.12,2.12,600
CTARAF,20101216,8.55,8.55,8.55,8.55,5000
CTW,20101216,13.7,14,13.7,13.8,4925200
CWT,20101216,12.6,12.7,12.1,12.2,306500
DCC,20101216,58.5,59.25,58.5,59.25,526900
DCON,20101216,3.16,3.4,3.1,3.14,7565900
DELTA,20101216,34.5,34.75,34,34.5,1645100
DEMCO,20101216,5.3,5.4,5.3,5.35,4923700
DIMET,20101216,0.71,0.72,0.7,0.7,188200
DRACO,20101216,3.26,3.28,3.22,3.24,442300
DRT,20101216,6.25,6.3,6.2,6.25,176700
DSGT,20101216,9.05,9.25,8.95,9,331900
DTAC,20101216,42.25,42.5,42,42.5,3633100
DTC,20101216,32,32,32,32,800
EASON,20101216,1.83,1.84,1.82,1.84,44400
EASTW,20101216,6.75,6.85,6.75,6.8,144200
ECL,20101216,0.86,0.86,0.85,0.86,843600
EE,20101216,1.3,1.32,1.27,1.27,9926100
EFORL,20101216,0.09,0.1,0.09,0.09,1047200
EGCO,20101216,100,106.5,100,106.5,3798200
EMC,20101216,1.79,1.82,1.79,1.82,5005100
EPCO,20101216,1.9,1.91,1.89,1.89,912200
ERW,20101216,2.34,2.34,2.3,2.32,203800
ESSO,20101216,8.15,8.15,7.75,7.95,35069800
ESTAR,20101216,0.44,0.44,0.43,0.44,2243700
EVER,20101216,0.49,0.5,0.49,0.5,44900
F&D,20101216,27,27.25,27,27.25,6000
FANCY,20101216,2.02,2.04,2,2.04,469400
FC,20101216,1.77,1.86,1.77,1.84,14605700
FER,20101216,1.94,1.96,1.91,1.91,8518600
FNS,20101216,4.04,4.2,4.04,4.2,46000
FORTH,20101216,4.16,4.22,4.16,4.2,239000
FUTUREPF,20101216,12.4,12.5,12.4,12.5,60000
GBX,20101216,1.02,1.02,1,1,745700
GC,20101216,5.85,5.9,5.75,5.75,75100
GEL,20101216,0.12,0.12,0.11,0.12,3889700
GENCO,20101216,0.55,0.56,0.55,0.55,442000
GFPT,20101216,8.05,8.05,7.95,7.95,1828600
GJS,20101216,0.25,0.25,0.24,0.25,120455000
GL,20101216,28.5,28.75,27.75,28.25,205700
GLOBAL,20101216,10.9,11.1,10.4,10.4,7128300
GLOW,20101216,45.75,47,45.5,47,1734200
GOLD,20101216,3.46,3.52,3.46,3.52,61900
GOLDPF,20101216,8.05,8.1,8.05,8.1,13300
GRAMMY,20101216,15.3,15.7,15.3,15.5,306800
GREEN,20101216,0.81,0.82,0.81,0.82,1300
GSTEL,20101216,0.7,0.71,0.69,0.7,143815600
GUNKUL,20101216,6.95,7.05,6.9,6.95,3567000
GYT,20101216,398,400,398,400,300
HANA,20101216,27.25,27.5,27,27,1411800
HFT,20101216,2.36,2.36,2.32,2.32,101300
HMPRO,20101216,8.6,8.65,8.3,8.45,15257500
HTC,20101216,5,5,4.84,4.9,101800
HTECH,20101216,4.22,4.22,4.12,4.12,262700
IEC,20101216,0.02,0.02,0.01,0.02,23674000
IFEC,20101216,1.63,1.64,1.61,1.62,1289800
IFS,20101216,1.52,1.52,1.49,1.49,1429600
IHL,20101216,11.5,11.5,11.2,11.4,870600
ILINK,20101216,6.85,6.9,6.85,6.85,214200
INET,20101216,1.4,1.4,1.39,1.39,1200
INOX,20101216,1.59,1.59,1.57,1.57,2947400
INTUCH,20101216,30,30,29.25,29.75,931300
IRC,20101216,12.9,12.9,12.8,12.8,127300
IRCP,20101216,4.82,5.4,4.82,5.1,79800
IRPC,20101216,5.95,5.95,5.65,5.8,293350900
IT,20101216,8.4,8.5,8.35,8.35,752300
ITD,20101216,4.74,4.76,4.64,4.64,50513600
IVL,20101216,59.5,60,57.5,57.5,24554000
JAS,20101216,2.14,2.18,2.12,2.12,151335400
JCT,20101216,54.5,54.5,54.5,54.5,100
JMART,20101216,2.76,2.78,2.7,2.7,674400
JTS,20101216,2.5,2.52,2.46,2.46,8269800
JUBILE,20101216,6.4,6.4,6.3,6.3,262100
JUTHA,20101216,5.55,5.55,5.4,5.4,595300
KAMART,20101216,0.4,0.4,0.4,0.4,110000
KASET,20101216,6.3,6.5,6.25,6.25,1659000
KBANK,20101216,125,126,123,124,4378700
KC,20101216,0.9,0.91,0.89,0.89,122000
KCAR,20101216,9.5,9.6,9.4,9.5,346000
KCE,20101216,7.85,7.9,7.8,7.85,1163400
KDH,20101216,40.5,40.5,40.5,40.5,200
KGI,20101216,2.76,2.76,2.7,2.72,7853100
KIAT,20101216,16.8,16.8,16.4,16.4,113300
KKC,20101216,8.4,8.55,8.3,8.35,5578100
KKP,20101216,38,38,37.5,38,2230300
KSL,20101216,13.3,13.5,13.3,13.3,2013900
KTB,20101216,17,17.5,16.9,17.4,91066200
KTC,20101216,12.4,12.6,12.4,12.5,100900
KWG,20101216,2.12,2.18,2.1,2.12,582600
KYE,20101216,215,215,214,214,7400
L&E,20101216,8.05,8.2,8.05,8.2,33300
LALIN,20101216,2.46,2.46,2.44,2.46,218100
LANNA,20101216,19.1,19.3,19,19.1,2187200
LEE,20101216,3.26,3.28,3.16,3.24,1770300
LH,20101216,6.7,6.8,6.7,6.75,5456400
LHK,20101216,3.24,3.54,3.24,3.5,21413600
LOXLEY,20101216,2.76,2.76,2.72,2.72,10925700
LPN,20101216,9.15,9.25,9.1,9.15,6176300
LRH,20101216,54,54,54,54,22900
LST,20101216,5.35,5.55,5.2,5.25,43210400
LTX,20101216,41,41,41,41,500
LUXF,20101216,6.7,6.7,6.55,6.6,161800
LVT,20101216,1.71,1.76,1.71,1.73,2074400
M-CHAI,20101216,39,39,39,39,1000
MACO,20101216,3.84,3.84,3.8,3.84,60500
MAJOR,20101216,13.1,13.2,12.7,13,3231000
MAKRO,20101216,159,159,155.5,156.5,150400
MANRIN,20101216,10.5,10.5,10.5,10.5,9400
MATCH,20101216,2.08,2.1,2.06,2.1,20200
MATI,20101216,6.95,7,6.85,6.85,691500
MAX,20101216,0.19,0.19,0.18,0.19,7741100
MBAX,20101216,1.75,1.75,1.75,1.75,30400
MBK,20101216,103,103,101,102,60100
MBKET,20101216,15.5,15.6,15.2,15.3,1418000
MCOT,20101216,27.5,27.5,27,27.5,1378600
MCS,20101216,10.5,10.6,10.3,10.3,3904200
MDX,20101216,4.64,4.74,4.6,4.66,6721200
METCO,20101216,301,315,295,306,13100
MFEC,20101216,4.4,4.42,4.4,4.42,55300
MIDA,20101216,0.67,0.69,0.67,0.69,283300
MILL,20101216,2.3,2.3,2.26,2.28,10202300
MINT,20101216,12.7,12.8,12.4,12.4,5076800
MJD,20101216,2.88,2.88,2.84,2.84,206000
MJLF,20101216,10.2,10.4,10.2,10.3,841300
MK,20101216,2.9,2.9,2.84,2.9,2428500
ML,20101216,0.83,0.86,0.83,0.86,1127900
MNIT,20101216,8,8,7.95,8,21100
MODERN,20101216,48.75,49,48.5,48.5,22800
MONTRI,20101216,9.95,9.95,9.95,9.95,300
MOONG,20101216,4.28,4.3,4.24,4.24,182000
MPIC,20101216,1.61,1.82,1.58,1.75,74884000
MTI,20101216,69.75,69.75,69.5,69.5,6000
NBC,20101216,7.3,7.35,7.3,7.35,554200
NCH,20101216,1.12,1.16,1.12,1.14,1686100
NEP,20101216,0.39,0.39,0.38,0.39,1400900
NEWS,20101216,0.07,0.08,0.06,0.07,27146600
NINE,20101216,6.45,6.5,6.1,6.1,826300
NMG,20101216,11.7,11.8,11.4,11.5,250300
NNCL,20101216,1.77,1.82,1.77,1.79,36621200
NOBLE,20101216,5.95,5.95,5.8,5.85,597900
NWR,20101216,0.74,0.75,0.72,0.72,7219600
OGC,20101216,44.5,44.5,44.5,44.5,11400
OHTL,20101216,474,474,474,474,50
OISHI,20101216,87.75,89,87.75,89,6500
PAE,20101216,0.62,0.63,0.61,0.61,3979500
PAF,20101216,1.01,1.02,1,1,379000
PAP,20101216,2.54,2.56,2.52,2.52,813100
PATO,20101216,14,14,13.6,13.8,1499200
PB,20101216,220,222,220,222,2400
PDI,20101216,22.2,22.4,22.1,22.2,1044100
PE,20101216,0.47,0.48,0.46,0.46,4788600
PERM,20101216,1.05,1.05,1.04,1.04,1598300
PF,20101216,4.16,4.16,4.14,4.14,448400
PHOL,20101216,5.15,5.25,4.86,4.86,9941800
PICO,20101216,3.1,3.14,3.08,3.1,463800
PL,20101216,4.62,4.74,4.62,4.72,279200
PLE,20101216,1.5,1.51,1.47,1.48,1185000
PM,20101216,2.5,2.52,2.48,2.52,2228900
POLAR,20101216,0.34,0.34,0.33,0.33,109700
PPM,20101216,2.72,2.72,2.68,2.68,340400
PR,20101216,248,248,248,248,500
PRANDA,20101216,6.5,6.5,6.45,6.45,189500
PREB,20101216,3.06,3.1,2.96,3.1,1067500
PRECHA,20101216,1.19,1.22,1.19,1.21,1540400
PRG,20101216,71,71,71,71,400
PRIN,20101216,2.02,2.04,2,2.02,2089300
PRINC,20101216,1.42,1.42,1.37,1.38,374500
PRO,20101216,0.21,0.21,0.2,0.21,599200
PSL,20101216,19.3,19.3,19.1,19.3,1197300
PT,20101216,1.36,1.38,1.35,1.35,64000
PTL,20101216,35.25,36.5,35,35.5,15568100
PTT,20101216,320,321,317,320,6664900
PTTEP,20101216,171,171.5,168,168.5,9252200
PYLON,20101216,2.82,2.88,2.82,2.84,511600
Q-CON,20101216,4.12,4.14,4.12,4.14,34500
