<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TDEX,20080131,5.53,5.73,5.5,5.68,15116800
A,20080131,3.48,3.48,3.46,3.48,60100
ACAP,20080131,6.2,6.2,6.2,6.2,1000
ACC,20080131,2.66,2.68,2.6,2.6,1190500
ADAM,20080131,6.9,7.1,6.65,6.7,3214500
ADVANC,20080131,92.5,94.5,91,93.5,5700032
AEONTS,20080131,41.5,41.5,41.5,41.5,400
AF,20080131,12.5,12.5,12.5,12.5,9700
AH,20080131,10,10.2,10,10.2,145500
AHC,20080131,54,54,54,54,400
AI,20080131,5,5.3,5,5.15,675000
AIT,20080131,12.5,12.9,12.5,12.6,23250
AJ,20080131,2.4,2.44,2.4,2.42,59400
AKR,20080131,2.04,2.1,2.02,2.08,9268800
AMANAH,20080131,0.52,0.54,0.51,0.53,2456600
AMARIN,20080131,13.3,13.3,13.3,13.3,4300
AMATA,20080131,14.2,14.8,14.1,14.7,5259141
AMC,20080131,2,2.1,2,2.08,619200
AOT,20080131,52.5,55.5,52,54,1520533
AP,20080131,5.3,5.45,5.2,5.4,12218200
APURE,20080131,2.2044,2.3111,2.1867,2.2044,28317824
AQ,20080131,0.64,0.7,0.64,0.68,11948366
ASIA,20080131,42.75,44.75,42.5,44.75,700
ASIAN,20080131,1.29,1.29,1.23,1.25,359700
ASIMAR,20080131,0.96,1,0.96,0.98,4522100
ASK,20080131,4.9,4.9,4.9,4.9,3100
ASP,20080131,3.02,3.18,3.02,3.16,42297200
AYUD,20080131,20.5,20.5,20.5,20.5,1300
BAFS,20080131,10.4,10.5,10.2,10.4,734400
BANPU,20080131,444,460,432,432,3369750
BAT-3K,20080131,65,65,64.5,64.5,2100
BAY,20080131,23.1,23.9,22.7,23.4,12207867
BBL,20080131,115,119,113,118,14711040
BCH,20080131,4.1143,4.2,4.1143,4.1429,332700
BCP,20080131,13,13.1,12.9,13,96700
BDMS,20080131,28.5,29,28.25,28.5,425541
BEC,20080131,24.6,24.9,24.6,24.8,5330300
BFIT,20080131,5.8,6.05,5.8,5.95,389600
BGT,20080131,1.58,1.63,1.58,1.58,841500
BH,20080131,36,36.75,35.75,36.75,948500
BIGC,20080131,43.75,43.75,43.75,43.75,65400
BJC,20080131,6.25,6.3,6.2,6.2,783600
BKI,20080131,185.333,185.333,185.333,185.333,600
BKKCP,20080131,8.9,8.9,8.9,8.9,1300
BLAND,20080131,0.71,0.72,0.7,0.71,11740000
BLISS,20080131,6.04,6.48,6.04,6.32,7109900
BOL,20080131,1.09,1.09,1.09,1.09,30000
BROCK,20080131,0.98,1.01,0.98,1,3936100
BROOK,20080131,0.6,0.62,0.6,0.61,1124000
BSBM,20080131,1.2,1.23,1.2,1.2,1954500
BTC,20080131,0.7,0.77,0.69,0.74,2423100
BTS,20080131,0.7535,0.8194,0.744,0.81,7067470
BWG,20080131,9.15,9.5,9.05,9.45,9081000
CCET,20080131,5.85,6,5.85,6,4203800
CCP,20080131,1.26,1.3,1.22,1.25,352000
CEN,20080131,1.54,1.57,1.49,1.49,13067000
CENTEL,20080131,5.5,5.6,5.5,5.55,163496
CFRESH,20080131,1.82,1.82,1.81,1.81,17600
CGD,20080131,0.5867,0.5956,0.5778,0.5867,4231125
CHARAN,20080131,66,66,65.5,65.5,3600
CI,20080131,3.22,3.28,3.22,3.22,28700
CIG,20080131,2.32,2.47,2.32,2.45,1465400
CIMBT,20080131,0.7727,0.7786,0.7547,0.7547,7961321
CITY,20080131,2.22,2.22,2.22,2.22,11000
CK,20080131,7.5,7.75,7.5,7.55,5487500
CM,20080131,2.86,2.86,2.86,2.86,10000
CMO,20080131,1.8,1.8,1.75,1.8,62200
CNS,20080131,29.75,31.5,29.75,31.25,54500
CNT,20080131,2,2.04,2,2.02,50400
CPALL,20080131,10.6,10.8,10.5,10.8,5513205
CPF,20080131,4.26,4.3,4.16,4.3,13993000
CPH,20080131,5.85,6.7,5.8,6.7,10200
CPI,20080131,3.6,3.72,3.6,3.62,38777
CPL,20080131,13,13.1,13,13,4000
CPN,20080131,20.4,23,20.4,23,5531300
CPNRF,20080131,9.4,9.5,9.4,9.5,86000
CPR,20080131,1.4,1.7,1.4,1.7,136000
CSC,20080131,14,14.1,13.9,14,83060
CSL,20080131,3.64,3.68,3.62,3.68,247600
CSP,20080131,1.74,1.76,1.74,1.75,123000
CTW,20080131,7.45,7.45,7.45,7.45,500000
DCC,20080131,15.6,15.7,15.6,15.7,434800
DCON,20080131,2.2,2.38,2.2,2.38,1600
DELTA,20080131,21.2,21.6,21.2,21.6,2070900
DEMCO,20080131,4.5,4.5,4.4,4.4,407100
DIMET,20080131,1.8,1.8,1.7,1.7,23020100
DRACO,20080131,3.15,3.175,3.125,3.125,5600
DRT,20080131,2.72,2.76,2.72,2.74,187600
DSGT,20080131,5.35,5.55,5.35,5.55,94300
DTAC,20080131,41,43.5,41,43.25,8207515
EASON,20080131,2.28,2.28,2.28,2.28,100
EASTW,20080131,4.82,4.82,4.8,4.82,680700
ECL,20080131,0.5,0.5,0.49,0.49,757500
EGCO,20080131,95.5,98.5,95.5,98.5,1993012
EIC,20080131,4.6,4.62,4.6,4.62,230000
EMC,20080131,4.48,4.6,4.44,4.6,266480
EPCO,20080131,1.91,1.92,1.9,1.9,644867
ERW,20080131,4.18,4.22,4.18,4.2,266200
ESTAR,20080131,0.29,0.31,0.29,0.3,3553900
EVER,20080131,1.4917,1.5506,1.4917,1.5211,14595800
F&D,20080131,6,6,6,6,200
FANCY,20080131,1.94,1.94,1.94,1.94,41800
FC,20080131,2.26,2.34,2.24,2.26,12676900
FER,20080131,1.99,2.08,1.99,2,47462800
FNS,20080131,8.4,8.4,8.25,8.35,158000
FORTH,20080131,3.575,3.6,3.55,3.575,180600
FSS,20080131,3.8,3.82,3.8,3.82,267500
FUTUREPF,20080131,9.8,9.8,9.8,9.8,18000
GBX,20080131,1.33,1.38,1.33,1.34,11657100
GC,20080131,3.62,3.62,3.58,3.58,75500
GEL,20080131,1.36,1.4,1.36,1.4,10425200
GENCO,20080131,0.64,0.64,0.64,0.64,658200
GFPT,20080131,1.21,1.21,1.19,1.2,581000
GJS,20080131,0.22,0.23,0.22,0.22,38748900
GL,20080131,12.6,12.6,12.6,12.6,10100
GLAND,20080131,5.85,5.85,5.85,5.85,2000
GLOW,20080131,31.5,33,31,33,1741000
GOLDPF,20080131,9.85,9.85,9.85,9.85,1000
GRAMMY,20080131,10,10.1,10,10.1,30900
GRAND,20080131,4.42,4.48,4.42,4.48,1300
GREEN,20080131,2.02,2.06,2,2.02,2246100
