<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AYUD,19880223,62.5414,64.0856,62.5414,64.0856,8547
BAY,19880223,24.7581,25.3305,24.4718,25.1874,1707765
BBL,19880223,29.6495,29.8244,29.1247,29.2997,1633310
BFIT,19880223,25.3171,25.6768,24.3278,24.5976,88950
BJC,19880223,4.0444,4.0667,4.0444,4.0667,20700
CIMBT,19880223,13.0585,13.0585,13.0585,13.0585,4624
CPF,19880223,1.5247,1.5247,1.4106,1.4417,10074916
CSC,19880223,20.7287,20.7287,20.7287,20.7287,2471
CTW,19880223,3.7726,3.9385,3.7726,3.9385,747681
DTC,19880223,43.1191,43.1191,43.1191,43.1191,3506
FE,19880223,53.7467,53.7467,53.7467,53.7467,1034
KBANK,19880223,19.2418,19.3461,19.0332,19.0332,1321477
NC,19880223,22.0603,22.6259,22.0603,22.0603,33942
OCC,19880223,53,54,53,53.8,17000
PDI,19880223,33.4957,33.664,31.8125,32.3174,210907
SCB,19880223,33.9093,34.9858,33.4787,33.9093,956795
SCC,19880223,17.85,17.93,17.77,17.85,1390000
SCCC,19880223,135.921,136.636,133.778,135.207,91820
SFP,19880223,86.5,87,84,85,131700
SINGER,19880223,4.864,4.9154,4.6581,4.761,2455771
SKR,19880223,2.3741,2.3741,2.1677,2.1677,34872
SPC,19880223,5.102,5.343,4.7002,5.0618,1819620
SSC,19880223,6.5723,6.6643,6.5723,6.5723,723980
TCAP,19880223,12.2332,12.4907,11.7181,12.2976,5467099
TCMC,19880223,9.5188,9.7315,9.5188,9.7315,22559
TGCI,19880223,1.7573,1.7573,1.7573,1.7573,112290
THL,19880223,0.4669,0.4669,0.452,0.452,998077
TISCO,19880223,34.3228,37.5574,33.7837,35.7604,1748361
TMB,19880223,20.2384,20.4868,19.8659,19.8659,427232
TPC,19880223,7.9271,8.2141,7.9271,8.1321,5209447
UP,19880223,22.4957,23.1385,21.6923,22.0137,293737
WG,19880223,22.8682,23.2778,21.776,22.4586,227061
SET,19880223,361.1,361.1,361.1,361.1,9823500
BBL-F,19880223,36.3,36.3,36.3,36.3,550000
BJC-F,19880223,19,19,19,19,50000
KBANK-F,19880223,23.5206,23.5206,23.5206,23.5206,217213
SCB-F,19880223,66.1,66.1,66.1,66.1,154500
SCCC-F,19880223,100.65,100.65,100.65,100.65,284000
SUC-F,19880223,40,40,40,40,100000
DTM,19880223,10.9538,11.1223,10.9538,11.1223,215967
ICBCT,19880223,37.996,38.7502,36.2989,37.2417,189847
SGF,19880223,4.9668,5.1524,4.6418,4.8275,1464934
UFM,19880223,14.3,14.5,13.7,13.8,53000
