<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAY,19871215,19.3199,20.6079,19.3199,20.6079,1238185
BBL,19871215,24.2269,25.8012,23.5272,25.8012,2074830
BFIT,19871215,10.7474,10.7474,10.7474,10.7474,8894
BJC,19871215,2.6,2.6,2.6,2.6,450
ICC,19871215,67.6481,67.6481,66.9788,66.9788,2510
KBANK,19871215,16.0087,16.8431,16.0087,16.8431,1575374
SCB,19871215,25.5127,27.6657,25.5127,27.0198,414288
SCC,19871215,11.13,11.73,11.13,11.73,290000
SCCC,19871215,71.8007,77.5162,71.8007,77.5162,21275
SFP,19871215,53,55,53,55,31800
SINGER,19871215,3.1654,3.4228,3.1654,3.4228,3060000
SPC,19871215,2.4747,2.6193,2.4747,2.6193,161780
SPI,19871215,30.4808,30.4808,30.4808,30.4808,2535
SSC,19871215,4.0067,4.0885,4.0067,4.0885,19560
TCAP,19871215,3.2514,3.5734,3.2514,3.5734,2205475
TF,19871215,36.7315,36.7315,36.7315,36.7315,4426
TISCO,19871215,13.0283,13.2979,13.0283,13.2979,237056
TMB,19871215,17.0102,18.2519,17.0102,18.2519,428886
TPC,19871215,6.9157,6.9157,6.8747,6.9157,131697
UP,19871215,12.3113,13.1702,12.3113,13.1702,125728
WG,19871215,13.3796,14.267,13.3796,14.267,199228
SET,19871215,263.11,263.11,263.11,263.11,3687600
ICBCT,19871215,20.4594,21.2136,20.4594,21.2136,76360
UFM,19871215,11.5,11.5,11.5,11.5,3000
