<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACC,20010430,12.6,13,12.6,12.7,795000
ADVANC,20010430,41.4,41.6,40.4,40.8,42040
ALUCON,20010430,81,81,81,81,5000
AMARIN,20010430,2.5,2.5,2.475,2.475,239000
AP,20010430,0.42,0.42,0.41,0.42,200000
APURE,20010430,1.1556,1.2444,1.1556,1.2444,219600
AQ,20010430,1.6673,1.6673,1.6673,1.6673,335026
ASIAN,20010430,2.15,2.15,2.15,2.15,20000
ASP,20010430,2.525,2.55,2.5,2.5,2600000
AYUD,20010430,94,95,94,95,8600
BANPU,20010430,19.25,19.5,19,19,4142500
BAT-3K,20010430,18.25,19.5,18,19.5,615200
BAY,20010430,6.7,6.9,6.7,6.8,15218200
BBL,20010430,36.75,37.75,36.75,37.5,2373808
BCP,20010430,4.4,4.4,4.2,4.3,188000
BDMS,20010430,1.45,1.45,1.45,1.45,131034
BEC,20010430,22.8,22.8,22.8,22.8,165000
BFIT,20010430,8.375,8.875,8.375,8.5,11046400
BIG,20010430,26,26.5,25.75,26,15000
BIGC,20010430,16,16,16,16,36100
BJC,20010430,2.3,2.525,2.3,2.45,1082300
BKI,20010430,62.2211,62.2211,62.2211,62.2211,225
BLAND,20010430,0.26,0.26,0.26,0.26,6050000
BTS,20010430,1.6953,1.6953,1.6953,1.6953,473555
BUI,20010430,8.7847,8.7847,8.7847,8.7847,261
CCET,20010430,2.1,2.2,2.1,2.175,367000
CENTEL,20010430,0.6644,0.6718,0.6644,0.6718,31500
CFRESH,20010430,4.2669,4.3003,4.2669,4.3003,11999
CHOTI,20010430,186,187,186,187,29300
CIMBT,20010430,11.0262,11.2424,10.9181,11.0262,12647965
CK,20010430,1.075,1.075,1.05,1.075,215000
CM,20010430,3.3163,3.3163,3.2709,3.2936,108962
CNS,20010430,23.25,24,23.25,23.5,573500
CPF,20010430,4.15,4.175,4.125,4.175,2055000
CPH,20010430,2.9,2.9,2.9,2.9,6000
CPN,20010430,1.2176,1.2176,1.2176,1.2176,54202
CSC,20010430,7.3,7.3,7.1,7.1,617900
CTW,20010430,6.125,6.125,5.75,5.875,817200
CWT,20010430,2.1,2.25,2.1,2.2,78800
DCC,20010430,0.97,0.97,0.97,0.97,60000
DELTA,20010430,20.4,20.6,20.2,20.6,1290000
DRACO,20010430,1.275,1.275,1.275,1.275,4000
DTC,20010430,29,29,29,29,100
DTCI,20010430,9.1,10.25,9.1,9.3,384600
EGCO,20010430,31,31,30.75,31,119920
ERW,20010430,0.6333,0.65,0.6333,0.65,1137000
ESTAR,20010430,0.275,0.3,0.275,0.275,605200
FANCY,20010430,2.0999,2.0999,2.0832,2.0832,61202
FMT,20010430,21.25,22.5,21.25,21.5,47200
GEL,20010430,0.5285,0.5974,0.5285,0.5974,4787
GENCO,20010430,1.15,1.175,1.15,1.175,45000
GFPT,20010430,0.6708,0.6708,0.6708,0.6708,93910
GOLD,20010430,4.1,4.2,4.1,4.2,620500
GRAMMY,20010430,8.45,8.45,8.4,8.45,33000
HANA,20010430,13.1,13.2,12.9,13.1,8767500
ICC,20010430,120,120,120,120,100
IEC,20010430,0.08,0.081,0.079,0.079,141920000
INTUCH,20010430,16.3,16.3,16.1,16.2,390000
IRC,20010430,1.075,1.1,1.075,1.075,915000
IRPC,20010430,0.9701,0.9701,0.9216,0.9216,381399
ITD,20010430,0.95,0.95,0.92,0.94,2062000
JAS,20010430,0.74,0.75,0.74,0.74,11651000
KAMART,20010430,0.5676,0.5676,0.5676,0.5676,11685246
KBANK,20010430,21,21.25,20.75,21,1230160
KCE,20010430,4.1533,4.2309,4.1145,4.1533,1889695
KGI,20010430,1.4711,1.4711,1.4368,1.4368,27852540
KKP,20010430,19.75,20.25,19.75,19.75,1146280
KTB,20010430,11.25,11.75,11.25,11.5,1909087
KWG,20010430,2.4,2.7,2.4,2.7,10100
KYE,20010430,54,54,54,54,1000
LH,20010430,2.6,2.625,2.6,2.625,2054860
LOXLEY,20010430,0.99,1.025,0.99,1,34780000
LPN,20010430,0.1681,0.1746,0.1681,0.1746,210312
LRH,20010430,8.8459,8.8459,8.8459,8.8459,1073
LST,20010430,1.475,1.475,1.475,1.475,100
LTX,20010430,27.75,27.75,27.75,27.75,700
MAKRO,20010430,56,57,56,57,14100
MALEE,20010430,3.8,3.9,3.7,3.7,584800
MANRIN,20010430,8.5,8.5,8.5,8.5,7000
MATI,20010430,3.975,3.975,3.95,3.95,12000
MBK,20010430,18.25,18.5,18.25,18.5,12000
METCO,20010430,65,65.5,64.5,64.5,138600
MINT,20010430,0.9268,0.9495,0.9268,0.9495,214200
MK,20010430,0.39,0.39,0.39,0.39,375000
MODERN,20010430,9.5,9.5,9.5,9.5,4000
MSC,20010430,1.05,1.1,1.025,1.025,255000
NEP,20010430,0.14,0.14,0.14,0.14,290000
NMG,20010430,10.75,10.75,10.5,10.75,221600
NOBLE,20010430,1.3,1.3,1.3,1.3,1097000
NWR,20010430,1.2024,1.2024,1.1543,1.1543,747620
OCC,20010430,28.25,29.5,28.25,29.5,26000
OGC,20010430,21.5,22.25,21,21,95500
OHTL,20010430,199,199,199,199,400
PAF,20010430,1.8299,1.8299,1.8299,1.8299,96150
PDI,20010430,10,10,10,10,40850
PL,20010430,1.825,1.85,1.8,1.8,1902000
PR,20010430,52,52,51,51,8700
PRAKIT,20010430,5.9,5.9,5.9,5.9,10000
PRANDA,20010430,1.5,1.5,1.5,1.5,70000
PTTEP,20010430,21.2,21.2,20.8,20.8,2654500
QH,20010430,0.7,0.72,0.7,0.7,7973000
RATCH,20010430,15.25,15.5,15.25,15.5,160300
RCI,20010430,0.2,0.2,0.2,0.2,70000
RCL,20010430,2.45,2.5,2.45,2.45,518000
ROH,20010430,31.75,31.75,31.75,31.75,5000
SAMART,20010430,1.525,1.525,1.5,1.5,1135000
SAMCO,20010430,0.96,0.97,0.92,0.92,5149000
SAMTEL,20010430,1.35,1.35,1.325,1.35,425000
SAWANG,20010430,8.5,8.5,8.3,8.3,4300
SCB,20010430,22.75,23.25,22.75,22.75,894066
SCC,20010430,29.4,30.2,29.4,30,1942100
SCCC,20010430,139,140,138,138,114400
SCP,20010430,1.8,1.9,1.8,1.8,38800
SE-ED,20010430,2.5,2.5,2.5,2.5,12000
SIAM,20010430,1.8,1.8,1.7,1.7,2300
SIRI,20010430,3.1712,3.2467,3.1712,3.2467,375477
SITHAI,20010430,4,4,3.8,3.9,165600
SNP,20010430,10.125,10.375,10.125,10.375,23400
SPALI,20010430,0.37,0.37,0.36,0.36,300000
SSC,20010430,8.5,8.5,8.3,8.3,126000
SSF,20010430,1.506,1.6258,1.506,1.5915,5273645
SSI,20010430,0.24,0.24,0.23,0.24,2242000
SSSC,20010430,1.2001,1.2668,1.2001,1.2668,146684
SST,20010430,2.1,2.1,2.1,2.1,1000
STA,20010430,1.1206,1.2424,1.1206,1.145,3723145
STANLY,20010430,13.125,13.375,13,13,484800
STEC,20010430,0.82,0.83,0.8,0.81,3773000
SUC,20010430,10.75,10.75,10.5,10.75,37023
SUSCO,20010430,0.34,0.36,0.34,0.36,413000
SVH,20010430,6.2,6.2,6.2,6.2,15000
SVI,20010430,1.275,1.275,1.25,1.25,8316000
SVOA,20010430,0.87,0.89,0.8,0.82,53500000
TASCO,20010430,9.3,9.3,9.2,9.2,243700
TC,20010430,14,14,13.75,14,111000
TCAP,20010430,8.1,8.3,8,8.2,14624800
TCC,20010430,1.2,1.2,1,1,470700
TCJ,20010430,9.5,10,9.4,9.6,3057400
TCMC,20010430,2.1815,2.5971,2.1815,2.2854,1816477
TFD,20010430,0.7522,0.7614,0.7247,0.7247,10844951
TGCI,20010430,0.56,0.59,0.56,0.56,1962000
THAI,20010430,27.5,27.75,27.25,27.75,41800
