<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ENGY,20090219,2.64,2.64,2.62,2.63,106000
TDEX,20090219,3.14,3.17,3.13,3.16,3903000
A,20090219,3.28,3.28,3.24,3.24,52500
ACC,20090219,2.44,2.52,2.44,2.44,573600
ADAM,20090219,1.58,1.67,1.51,1.52,3451000
ADVANC,20090219,77.5,80.5,77.5,79,13022639
AEC,20090219,2.5,2.72,2.5,2.72,1400
AH,20090219,3.5,3.5,3.46,3.5,75600
AHC,20090219,49,49,49,49,2900
AI,20090219,3.14,3.2,3.12,3.12,52100
AIT,20090219,12.8,13.1,12.8,13.1,28700
AJ,20090219,3,3,2.98,2.98,125300
AKR,20090219,0.97,1.02,0.97,0.99,6504200
AMANAH,20090219,0.32,0.33,0.31,0.31,8402200
AMARIN,20090219,12,12,12,12,3100
AMATA,20090219,3.64,3.64,3.6,3.64,2828000
AMC,20090219,0.94,0.96,0.94,0.96,42000
AOT,20090219,17.6,17.6,17.5,17.5,1131110
AP,20090219,2.06,2.12,2.06,2.08,20727500
AQ,20090219,0.24,0.25,0.24,0.24,2191100
AS,20090219,6.9,6.95,6.9,6.95,121000
ASIA,20090219,36.75,37.5,36.75,37.5,10425
ASIAN,20090219,1.68,1.69,1.68,1.69,55000
ASIMAR,20090219,1.08,1.08,1.05,1.05,1967300
ASK,20090219,3.74,3.78,3.74,3.74,19400
ASP,20090219,1.23,1.27,1.2,1.2,75863696
AYUD,20090219,13,13,12.4,12.6,34000
BAFS,20090219,5.4,5.45,5.4,5.45,47500
BANPU,20090219,222,224,222,222,1395765
BAT-3K,20090219,28,30.5,28,30.5,1000
BAY,20090219,8.95,9.05,8.95,8.95,5684300
BBL,20090219,75,77,75,76,3446500
BCH,20090219,4.1714,4.2,4.1714,4.1714,720000
BCP,20090219,7.3,7.3,7.25,7.3,555300
BDMS,20090219,17.3,17.3,17.2,17.2,450760
BEC,20090219,18.4,18.7,18.4,18.7,2217400
BFIT,20090219,3.3,3.56,3.26,3.26,972400
BGT,20090219,1.81,1.82,1.76,1.76,77900
BH,20090219,21.6,21.7,21.4,21.4,43650
BIGC,20090219,40,40,39.5,40,275100
BJC,20090219,4.58,4.62,4.58,4.62,11700
BKI,20090219,130,130,129.333,129.333,1050
BLAND,20090219,0.21,0.22,0.21,0.21,6823200
BLISS,20090219,0.32,0.36,0.32,0.32,10870100
BOL,20090219,1.44,1.44,1.43,1.43,85000
BROCK,20090219,0.53,0.55,0.52,0.53,884900
BROOK,20090219,0.28,0.28,0.28,0.28,200
BSBM,20090219,1.02,1.04,1.02,1.02,160152
BSM,20090219,0.48,0.5,0.48,0.5,200
BTC,20090219,0.36,0.37,0.35,0.35,216100
BTS,20090219,0.3673,0.3673,0.3391,0.3485,19646462
BUI,20090219,11,11,11,11,8000
BWG,20090219,1.91,1.94,1.9,1.91,4080444
CCET,20090219,1.4,1.4,1.38,1.38,837200
CCP,20090219,0.86,0.9,0.83,0.86,149400
CEN,20090219,1.8,1.8,1.75,1.78,844500
CENTEL,20090219,3.1,3.1,3.1,3.1,2000
CFRESH,20090219,1.01,1.02,0.99,1,460800
CGD,20090219,0.15,0.15,0.15,0.15,291000
CHUO,20090219,7,7,7,7,6500
CI,20090219,1.96,1.96,1.9,1.94,55201
CIG,20090219,0.745,0.76,0.745,0.745,1257200
CIMBT,20090219,1.138,1.144,1.138,1.138,255276
CITY,20090219,1.21,1.21,1.21,1.21,75000
CK,20090219,3.68,3.74,3.68,3.68,4005200
CM,20090219,2.86,2.9,2.86,2.9,153200
CMO,20090219,1.02,1.02,1,1,88800
CMR,20090219,22.8,22.8,22.8,22.8,500
CNS,20090219,13.6,14,13.6,13.6,636400
CNT,20090219,1.8,1.8,1.8,1.8,1000
CPALL,20090219,12.8,12.9,12.6,12.8,4465203
CPF,20090219,3.44,3.48,3.44,3.48,7161539
CPI,20090219,4,4,4,4,500
CPN,20090219,13.3,13.5,13.2,13.4,511900
CPNRF,20090219,7.7,7.7,7.6,7.65,1409600
CPR,20090219,0.92,0.92,0.92,0.92,100
CRANE,20090219,1.59,1.59,1.59,1.59,25000
CSC,20090219,12.2,12.2,12,12.1,5700
CSL,20090219,2.4,2.52,2.4,2.48,2241400
CSP,20090219,2.32,2.32,2.32,2.32,6000
CSR,20090219,41,41,41,41,1000
CTARAF,20090219,8.5,8.5,8.45,8.45,24000
CTW,20090219,3.5,3.5,3.3,3.32,81800
CWT,20090219,1.21,1.21,1.2,1.2,6300
DCC,20090219,12,12.2,12,12.1,139000
DELTA,20090219,10.8,10.8,10.5,10.6,943300
DEMCO,20090219,3.32,3.32,3.2,3.3,47000
DIMET,20090219,0.52,0.55,0.52,0.52,1833500
DRACO,20090219,1.79,1.82,1.78,1.82,47300
DRT,20090219,1.94,1.94,1.9,1.94,619098
DSGT,20090219,2.96,2.96,2.94,2.94,14200
DTAC,20090219,29.25,30.25,29,29.5,5977500
DTC,20090219,21,21,21,21,100
EASON,20090219,1.66,1.67,1.65,1.65,42100
EASTW,20090219,2.8,2.8,2.8,2.8,80400
ECL,20090219,0.39,0.4,0.39,0.39,181700
EE,20090219,0.54,0.55,0.54,0.54,2721300
EFORL,20090219,0.165,0.224,0.157,0.218,153185904
EGCO,20090219,71.5,71.5,70.5,70.5,222260
EIC,20090219,4.1,4.1,4.06,4.06,130500
EMC,20090219,1.1,1.2,1.1,1.1,2480780
EPCO,20090219,1.63,1.63,1.62,1.62,125200
ERW,20090219,1.35,1.35,1.32,1.33,33200
ESSO,20090219,4.54,4.58,4.54,4.54,2232521
ESTAR,20090219,0.28,0.3,0.28,0.28,754200
EVER,20090219,0.79,0.79,0.77,0.77,4037100
FANCY,20090219,1.08,1.09,1.07,1.07,68800
FC,20090219,1.22,1.24,1.18,1.18,599600
FER,20090219,1.49,1.5,1.37,1.38,23390300
FNS,20090219,3.02,3.2,3,3,90700
FORTH,20090219,2.74,2.84,2.74,2.84,12900
FSS,20090219,1.8,1.91,1.78,1.8,225800
FUTUREPF,20090219,9,9,9,9,1100
GBX,20090219,0.45,0.54,0.45,0.54,128040304
GC,20090219,2.2,2.2,2.1,2.1,20100
GEL,20090219,0.49,0.5,0.49,0.49,3906600
GENCO,20090219,0.45,0.45,0.44,0.44,203600
GFPT,20090219,2.01,2.01,1.98,1.98,1347000
GJS,20090219,0.13,0.14,0.13,0.13,1242000
GLAND,20090219,4.36,4.36,4.36,4.36,101
GLOW,20090219,21.1,21.2,21.1,21.2,258600
GOLD,20090219,1.85,1.89,1.84,1.84,138600
GOLDPF,20090219,7.1,7.1,7,7,1900
GRAMMY,20090219,9.8,10.2,9.8,9.8,79600
GRAND,20090219,1.6,1.6,1.6,1.6,300
GREEN,20090219,0.88,0.91,0.87,0.88,2910100
GSTEL,20090219,0.36,0.37,0.36,0.36,18960700
GYT,20090219,220,220,220,220,100
HANA,20090219,11.3,11.3,11,11,262600
HFT,20090219,1.18,1.2,1.18,1.2,22000
HMPRO,20090219,1.7388,1.7599,1.7283,1.7388,4149000
IEC,20090219,0.07,0.071,0.069,0.07,56961000
IFEC,20090219,0.56,0.59,0.56,0.56,391900
ILINK,20090219,4.58,4.58,4.5,4.54,620100
INET,20090219,0.66,0.69,0.66,0.68,548500
INOX,20090219,0.91,0.92,0.9,0.9,662200
INTUCH,20090219,17.8,18.5,17.8,18.3,119000
IRC,20090219,6.45,6.45,6.2,6.45,500
IRCP,20090219,2.4,2.4,2.4,2.4,10000
IRPC,20090219,1.9,1.95,1.9,1.92,20916404
IT,20090219,3.86,3.86,3.8,3.86,80000
ITD,20090219,2.54,2.58,2.52,2.54,50213600
JAS,20090219,0.36,0.37,0.35,0.35,15168100
JCT,20090219,42.5,42.75,42.5,42.75,3500
JTS,20090219,0.94,0.95,0.86,0.86,15050800
JUTHA,20090219,4.1,4.14,4.08,4.14,6303
KAMART,20090219,0.3,0.3,0.29,0.29,86000
KASET,20090219,4.34,4.36,4.26,4.26,2183300
KBANK,20090219,46,46.75,45.75,46.75,4283726
KCAR,20090219,4.1,4.12,4.08,4.12,28400
KCE,20090219,0.84,0.84,0.82,0.82,239700
KGI,20090219,0.86,0.95,0.84,0.85,112203168
KKP,20090219,10.6,10.6,10.4,10.4,1080400
KSL,20090219,6.4,6.4,6.35,6.4,343800
KTB,20090219,4,4.06,4,4.02,14361137
KTC,20090219,8,8,7.85,7.9,219500
KWG,20090219,0.69,0.69,0.68,0.68,5000
KYE,20090219,38.75,39,38.75,39,1700
LALIN,20090219,1.09,1.11,1.07,1.07,131498
LANNA,20090219,6.75,6.85,6.7,6.75,940700
LEE,20090219,1.94,1.94,1.93,1.94,7103
LH,20090219,3.02,3.06,3,3.02,21763180
LHK,20090219,0.99,1.01,0.98,0.98,174200
LOXLEY,20090219,1.93,2,1.93,1.96,19725600
LPN,20090219,2.54,2.66,2.48,2.56,62196148
LRH,20090219,24,24.3,24,24.3,1100
