<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ABC,19910913,28.4375,28.875,28.4375,28.875,24800
ABICO,19910913,10.2007,10.2786,10.2007,10.2007,15730
AFC,19910913,72,72,71.5,72,17820
AJ,19910913,5.35,5.4,5.2,5.25,8334000
ALUCON,19910913,144,144,140,140,3900
ASIA,19910913,53.8569,53.8569,53.4638,53.4638,635
ASP,19910913,5.001,5.001,4.829,4.854,6181000
BANPU,19910913,27.75,27.99,27.28,27.28,159400
BAY,19910913,25.1311,25.9067,24.976,25.1311,39102
BBL,19910913,31,31.2,30,30.6,886400
BFIT,19910913,101.985,101.985,101.301,101.985,22206
BH,19910913,13.3887,13.3887,13.3887,13.3887,5527
BIG,19910913,61.5,61.5,61,61,3100
BKI,19910913,169.963,169.963,169.963,169.963,892
BTNC,19910913,48.5,48.5,48,48,9800
BTS,19910913,136.563,136.563,129.97,131.854,435543
BUI,19910913,74.8711,74.8711,74.8711,74.8711,1227
CEN,19910913,7.1066,7.1066,6.7225,7.1066,141610
CENTEL,19910913,2.9389,2.9389,2.8432,2.8673,261600
CNS,19910913,61.6631,62.8157,60.5105,60.5105,57260
CNT,19910913,24.038,24.038,23.1743,23.1743,320269
CPF,19910913,3.6503,3.677,3.597,3.6503,6384000
CSC,19910913,63.8798,63.8798,63.8798,63.8798,914
CTW,19910913,39.5737,39.5737,39.2204,39.5737,18676
CWT,19910913,46.3262,46.6525,45.0213,45.0213,129964
DTC,19910913,85.6727,86.6246,85.6727,85.6727,2153
ERW,19910913,6.0885,6.1665,6.0495,6.0495,251733
GEL,19910913,24.532,25.0178,24.2891,24.532,508865
GYT,19910913,294,294,284,284,3100
HTC,19910913,4.5265,4.5265,4.3984,4.3984,148819
ICC,19910913,311.192,311.192,311.192,311.192,26896
IFEC,19910913,3.5064,3.5064,3.3689,3.3689,363610
INSURE,19910913,71,75,69,74,205000
INTUCH,19910913,8.2791,8.2791,8.0553,8.0553,4074397
JUTHA,19910913,48.0954,48.0954,46.3777,46.3777,66249
KBANK,19910913,19.8874,19.8874,19.1729,19.5301,403060
KCE,19910913,4.5549,4.5549,4.5163,4.5163,44038
KDH,19910913,33.5,33.5,32.75,33.25,7300
KGI,19910913,9.1283,9.2019,8.981,8.981,190162
KKC,19910913,7.254,7.254,6.9827,6.9827,88496
KKP,19910913,48.022,48.022,46.3517,46.7692,649449
KTB,19910913,9.9281,9.9281,9.9281,9.9281,184237
KWC,19910913,121.765,135.384,121.765,135.384,1622
LEE,19910913,1.2667,1.275,1.2417,1.2417,2472000
LH,19910913,5.6941,5.6941,5.5661,5.6941,6874156
LTX,19910913,37.25,37.5,37,37.25,14500
MANRIN,19910913,57,58,45,48.5,1931500
MATI,19910913,13.0479,13.2219,12.874,13.1349,293140
MFC,19910913,28.6,28.6,28,28.2,461000
MINT,19910913,0.862,0.862,0.8451,0.862,32200
MK,19910913,9.7358,9.9286,9.7358,9.9286,141087
NC,19910913,47.0526,47.5428,47.0526,47.0526,3060
NEP,19910913,2.65,2.8,2.625,2.7,28058000
NKI,19910913,68.4596,68.8358,68.4596,68.8358,1327
NMG,19910913,51.6381,52.1934,49.9724,49.9724,24851
NPK,19910913,41.5,46,41.5,46,54700
OCC,19910913,61,64,61,61,9900
OHTL,19910913,208,208,208,208,350
PAF,19910913,9.2824,9.2824,9.1497,9.2161,514309
PDI,19910913,71.536,71.536,70.2736,70.2736,90897
PE,19910913,104.112,104.112,102.676,104.112,6544
PG,19910913,2.7556,2.7556,2.7556,2.7556,23214
POLAR,19910913,11.3508,11.5369,11.1648,11.5369,98340
PRAKIT,19910913,6.8357,6.8357,6.6804,6.7321,52130
PRANDA,19910913,32,32,32,32,4500
QH,19910913,5.5553,5.6045,5.3587,5.4078,9493059
RAM,19910913,60,65,56,57.5,396100
RCI,19910913,6.206,6.304,6.009,6.206,775000
RCL,19910913,6.0416,6.0851,5.9982,6.0851,73610
ROH,19910913,27.75,28,27,27.25,108100
