<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20120711,10.99,11.07,10.99,11.05,11000
CHINA,20120711,5.59,5.6,5.58,5.6,27800
ENGY,20120711,5.13,5.19,5.11,5.19,153200
GLD,20120711,2.27,2.27,2.26,2.26,348600
TDEX,20120711,8.37,8.44,8.37,8.41,669500
TGOLDETF,20120711,4.99,4.99,4.99,4.99,72600
A,20120711,3.68,3.68,3.66,3.68,110000
AAV,20120711,3.72,3.74,3.68,3.68,46644600
ACAP,20120711,6.85,6.95,6.75,6.95,28300
ACC,20120711,3.64,3.68,3.62,3.62,213000
ADAM,20120711,1.06,1.09,1.04,1.07,7729500
ADVANC,20120711,204,206,200,205,5657800
AEC,20120711,4,4,4,4,10000
AEONTS,20120711,34,34.25,34,34,7900
AFC,20120711,7.2,7.5,6.9,7.15,5200
AGE,20120711,3.38,3.38,3.36,3.36,1497300
AH,20120711,14.6,14.6,14.4,14.4,106700
AHC,20120711,14.3,15.4,14.3,14.9,25100
AI,20120711,3.8,3.86,3.76,3.76,2335900
AIT,20120711,55,56,55,56,101800
AJ,20120711,12,12,11.9,11.9,1115300
AKR,20120711,0.78,0.78,0.77,0.78,367800
ALUCON,20120711,104,105,104,105,1200
AMANAH,20120711,0.92,0.93,0.91,0.91,337000
AMARIN,20120711,13.3,13.6,13.3,13.3,96000
AMATA,20120711,17,17.4,16.9,17.2,8681400
AMC,20120711,2,2,1.97,1.97,167100
AOT,20120711,64.5,65.5,64.5,64.5,6799600
AP,20120711,7.1,7.2,7.05,7.2,28254700
APCO,20120711,6.5,6.6,6.4,6.4,838400
APCS,20120711,5.7,5.75,5.65,5.7,323800
APURE,20120711,2.08,2.1,2.02,2.06,13906000
AQ,20120711,0.38,0.4,0.35,0.35,924114300
AQUA,20120711,0.39,0.39,0.38,0.38,601300
ARIP,20120711,1.37,1.38,1.35,1.35,3724900
AS,20120711,17.2,17.2,17.2,17.2,29000
ASIA,20120711,35.5,35.5,35.5,35.5,600
ASIAN,20120711,4.02,4.06,4.02,4.04,184900
ASIMAR,20120711,1.78,1.81,1.76,1.77,9109400
ASK,20120711,11,11.1,10.9,11,97800
ASP,20120711,2.34,2.34,2.32,2.34,585100
AYUD,20120711,23,23,23,23,2300
BAFS,20120711,13.3,13.3,13.1,13.2,81100
BANPU,20120711,458,460,456,460,388000
BAT-3K,20120711,75,75,74,74,2900
BAY,20120711,31.5,32.75,31.5,32.75,12371000
BBL,20120711,189,194,189,193,3138600
BCH,20120711,9.1,9.25,9.1,9.2,36283000
BCP,20120711,21.8,22,21.5,21.8,5126900
BDMS,20120711,102,106.5,101.5,104,3692200
BEC,20120711,55.75,57,54,54.5,1763300
BFIT,20120711,5.5,5.5,5.45,5.5,256300
BGT,20120711,1.64,1.68,1.64,1.66,546900
BH,20120711,79.25,82,79,81.25,3588000
BIGC,20120711,216,216,212,214,337100
BJC,20120711,39.25,39.5,39,39.25,524000
BKI,20120711,248,249,248,249,2400
BKKCP,20120711,9.2,9.2,9.2,9.2,1000
BLA,20120711,46.25,46.25,45.25,45.25,1183500
BLAND,20120711,0.7,0.7,0.69,0.7,10591200
BOL,20120711,1.48,1.48,1.48,1.48,300
BROCK,20120711,0.9,0.91,0.9,0.91,147300
BROOK,20120711,1.76,1.76,1.71,1.71,45600
BSBM,20120711,1.19,1.21,1.19,1.19,1001600
BSM,20120711,1.08,1.12,1.08,1.12,72100
BTC,20120711,0.68,0.7,0.66,0.67,28638500
BTS,20120711,0.79,0.8,0.78,0.79,54883700
BWG,20120711,1.63,1.64,1.62,1.63,2385000
CCET,20120711,2.6,2.6,2.56,2.56,81100
CCP,20120711,2.8,2.88,2.8,2.8,7308800
CEN,20120711,2.46,2.54,2.42,2.52,8275600
CENTEL,20120711,14.4,14.6,14.3,14.5,5032300
CFRESH,20120711,7.55,7.9,7.55,7.75,5358000
CGD,20120711,0.46,0.46,0.45,0.46,1444500
CHARAN,20120711,46.5,46.5,46.5,46.5,1700
CHOTI,20120711,340,341,339,339,2500
CHOW,20120711,2.06,2.1,2.02,2.08,968600
CHUO,20120711,9.25,9.4,9,9,23000
CI,20120711,5.9,5.9,5.75,5.8,138900
CIG,20120711,0.58,0.59,0.58,0.58,2288800
CIMBT,20120711,2.28,2.28,2.24,2.26,534500
CITY,20120711,2.96,3.02,2.94,3,1423700
CK,20120711,7.45,7.55,7.35,7.4,6762400
CM,20120711,3.42,3.46,3.42,3.46,56000
CMO,20120711,2.26,2.3,2.26,2.26,868500
CMR,20120711,63.75,63.75,63.75,63.75,200
CNS,20120711,29,29.25,29,29.25,93700
CNT,20120711,4.84,4.84,4.8,4.8,214000
COL,20120711,37,37,36.5,36.75,14700
COLOR,20120711,2.88,2.92,2.86,2.86,42200
CPALL,20120711,36,36.25,35.75,36.25,10245800
CPF,20120711,35.75,36.5,35.75,36.5,34919700
CPH,20120711,6.6,6.85,6.05,6.4,1482100
CPI,20120711,5.25,5.35,5.2,5.35,665600
CPL,20120711,23.1,23.1,23.1,23.1,7000
CPN,20120711,48.5,49,48,48,2167000
CPNRF,20120711,14.6,14.7,14.6,14.7,1561000
CPR,20120711,2.68,2.68,2.64,2.64,34500
CRANE,20120711,3.42,3.56,3.42,3.44,1784100
CSC,20120711,49,49.25,47,47,11300
CSL,20120711,8,8.1,7.9,8,2701700
CSP,20120711,2,2,2,2,1000
CTARAF,20120711,9,9.05,9,9.05,275100
CTW,20120711,7.95,7.95,7.9,7.95,37700
CWT,20120711,2.18,2.18,2.12,2.14,4882300
DCC,20120711,51.75,52.5,51.75,51.75,397200
DCON,20120711,5.4,5.4,4.96,5.1,2998500
DELTA,20120711,22,22.1,21.9,21.9,1404300
DEMCO,20120711,5.35,5.35,5.25,5.3,2495900
DIMET,20120711,1.83,1.83,1.8,1.8,1172800
DRT,20120711,6.3,6.45,6.3,6.3,1592300
DSGT,20120711,11.4,12.1,11.3,12.1,3644300
DTAC,20120711,75.75,79.5,75.5,79.25,26122700
DTC,20120711,34.25,34.25,33.75,34,6100
DTCI,20120711,14.1,15.4,14.1,14.3,300
DTCPF,20120711,9.65,9.65,9.65,9.65,314100
EARTH,20120711,4.86,4.86,4.8,4.82,4601600
EASON,20120711,2.62,2.62,2.54,2.54,1920000
EASTW,20120711,10.9,11,10.8,10.8,552600
ECL,20120711,0.89,0.89,0.86,0.87,4792200
EE,20120711,0.61,0.62,0.61,0.61,2574600
EFORL,20120711,0.08,0.09,0.07,0.09,32912100
EGCO,20120711,113,114,112,112,279400
EIC,20120711,1.65,1.68,1.59,1.59,400
EMC,20120711,1.56,1.57,1.55,1.57,656100
EPCO,20120711,2.02,2.04,2.02,2.02,424000
ERW,20120711,2.64,2.68,2.6,2.62,1287100
ESSO,20120711,10.4,10.4,10.2,10.3,12370700
ESTAR,20120711,0.77,0.77,0.74,0.75,38305300
EVER,20120711,0.57,0.57,0.55,0.55,851800
FANCY,20120711,1.72,1.73,1.72,1.72,65000
FC,20120711,1.09,1.1,1.08,1.08,1243200
FER,20120711,1.45,1.47,1.44,1.46,4257900
FNS,20120711,2.46,2.5,2.46,2.5,8200
FOCUS,20120711,1.83,1.85,1.8,1.84,2525900
FORTH,20120711,3.48,3.54,3.46,3.5,128000
FSS,20120711,2.02,2.04,2,2.04,193500
FUTUREPF,20120711,15.1,15.4,15.1,15.4,121300
GBX,20120711,0.67,0.68,0.67,0.68,61600
GC,20120711,4.7,4.72,4.7,4.72,18400
GEL,20120711,0.22,0.22,0.22,0.22,17116100
GENCO,20120711,0.76,0.77,0.75,0.75,2852700
GFPT,20120711,9.4,9.4,9.25,9.35,956300
GIFT,20120711,4.12,4.12,4.04,4.04,89500
GJS,20120711,0.14,0.14,0.13,0.13,18761900
GL,20120711,31,31,30.75,31,29600
GLOBAL,20120711,11.5,11.7,11.4,11.5,4717000
GLOW,20120711,60.5,61.75,60.25,61.25,1182000
GOLD,20120711,6.05,6.2,5.85,5.95,9367300
GOLDPF,20120711,7.95,7.95,7.95,7.95,108000
GRAMMY,20120711,24.4,24.4,23.8,23.8,1096100
GRAND,20120711,1.15,1.16,1.15,1.15,2058400
GREEN,20120711,0.68,0.68,0.68,0.68,65600
GSTEL,20120711,0.39,0.4,0.39,0.39,21606600
GUNKUL,20120711,15.8,15.9,15.7,15.8,354900
HANA,20120711,19,19.1,18.9,19,193900
HFT,20120711,2.6,2.66,2.58,2.6,14990400
HMPRO,20120711,12.2,12.3,12.1,12.2,5458300
HTC,20120711,17.6,17.8,17.5,17.5,375800
HTECH,20120711,4.06,4.1,4.06,4.06,513800
HYDRO,20120711,6.1,6.15,6.05,6.1,49700
ICC,20120711,39.75,39.75,39.75,39.75,1000
