<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AYUD,19880609,103.077,113.372,101.019,113.372,51287
BAY,19880609,25.0443,25.1874,25.0443,25.0443,1545643
BBL,19880609,30.1365,30.1365,29.7701,30.1365,1085140
BFIT,19880609,30.8931,31.2529,30.8931,30.8931,627106
BJC,19880609,4.8222,5,4.8222,5,5400
BKI,19880609,54.2283,54.6231,54.2283,54.6231,15193
CNS,19880609,13.2547,13.2547,13.2547,13.2547,99947
CPF,19880609,2.6586,2.6759,2.6414,2.6414,3747700
CTW,19880609,4.2535,4.2701,4.2204,4.2535,120553
DTC,19880609,78.025,78.7094,78.025,78.025,4675
IFEC,19880609,2.1186,2.1447,2.1186,2.1186,489360
KBANK,19880609,19.0332,19.0332,18.7203,18.9289,2073975
NC,19880609,24.7,25.2656,24.7,24.8885,54096
NEP,19880609,0.5302,0.5396,0.5302,0.5349,5780950
NMG,19880609,17.5476,19.3585,16.2362,17.5476,2845611
PDI,19880609,56.2189,57.2288,56.2189,56.5555,271506
POST,19880609,1.7405,1.7577,1.7405,1.7577,46396
PR,19880609,10.2044,10.2044,10.2044,10.2044,6999
SCB,19880609,34.1246,34.3399,34.1246,34.3399,263803
SCC,19880609,27.41,27.81,27.41,27.81,1828700
SCCC,19880609,172.893,174.322,172.893,173.608,96299
SFP,19880609,96,97,96,96,35800
SINGER,19880609,5.6618,5.7647,5.6618,5.6618,986971
SKR,19880609,3.2687,3.3547,3.2687,3.2687,424326
SPC,19880609,5.7245,5.8499,5.7245,5.7663,227350
SSC,19880609,10.1906,10.1906,10.1906,10.1906,195670
TCAP,19880609,15.4524,15.71,15.3237,15.71,4796139
TCMC,19880609,21.2711,21.6965,21.2711,21.5902,37606
TF,19880609,72.7853,72.7853,72.7853,72.7853,1475
TGCI,19880609,2.6269,2.6269,2.6269,2.6269,261810
THL,19880609,1.6896,1.7414,1.6822,1.6896,5559401
TISCO,19880609,37.7372,38.2763,37.7372,38.0966,210348
TMB,19880609,19.8659,19.8659,19.8659,19.8659,398633
UP,19880609,26.5128,27.1556,26.5128,26.8342,603972
WG,19880609,27.7024,28.1098,27.7024,27.7024,63084
SET,19880609,443.94,443.94,443.94,443.94,5493071
BBL-F,19880609,36,36,36,36,465550
BRC-F,19880609,406,406,406,406,4300
DTC-F,19880609,1100,1100,1100,1100,2400
SCB-F,19880609,67.5,67.5,67.5,67.5,59000
SPC-F,19880609,72,72,72,72,50000
TCAP-F,19880609,130.746,130.746,130.746,130.746,33114
DTM,19880609,11.2066,11.6279,11.1223,11.2066,1426529
ICBCT,19880609,43.6529,43.8415,43.6529,43.8415,13781
SGF,19880609,4.4562,4.5026,4.4562,4.4562,107709
UFM,19880609,13,13.2,12.9,13.2,34000
