<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
A,20060424,3.84,3.86,3.8,3.82,221300
ABC,20060424,6.3,6.3,6.3,6.3,100
ACAP,20060424,7.45,7.5,7.45,7.5,210000
ACC,20060424,2.26,2.38,2.24,2.36,1847200
ADAM,20060424,1.0658,1.0658,1.0405,1.0405,116797
ADVANC,20060424,89.5,89.5,87,87.5,2268247
AEC,20060424,7.95,8.05,7.7,7.95,97000
AEONTS,20060424,51,51,50,50,28400
AF,20060424,7,7,7,7,1000
AFC,20060424,5.35,5.55,5.35,5.35,13060
AH,20060424,25.75,26.25,25.5,26.25,15100
AHC,20060424,79,79,79,79,1600
AI,20060424,9.05,9.1,8.8,8.8,643100
AIT,20060424,9.0667,9.2667,9.0667,9.1333,795000
AJ,20060424,3.6,3.62,3.54,3.56,317100
AMANAH,20060424,0.77,0.77,0.76,0.77,748500
AMARIN,20060424,11.6,11.8,11.6,11.7,30660
AMATA,20060424,21.6,21.8,20.9,20.9,986700
AOT,20060424,51,52,51,51.5,3185945
AP,20060424,4.2,4.2,4.16,4.16,9965900
APURE,20060424,4.5333,6,4.5333,6,14635230
AQ,20060424,2.9017,2.9017,2.883,2.883,2080959
ASIAN,20060424,4.36,4.38,4.3,4.38,337300
ASIMAR,20060424,1.28,1.28,1.26,1.26,1433900
ASK,20060424,7.8445,7.8445,7.7951,7.8445,89589
ASP,20060424,4.86,4.92,4.82,4.84,44198024
AYUD,20060424,16.3,16.3,16.3,16.3,1000
BAFS,20060424,7.789,7.789,7.664,7.664,691860
BANPU,20060424,156,158,156,157,2611600
BAT-3K,20060424,57,57,57,57,8500
BAY,20060424,18.6,18.7,18.3,18.5,2985210
BBL,20060424,115,115,113,114,2952190
BCH,20060424,2.56,2.5943,2.5143,2.5371,14024400
BCP,20060424,14,14.3,14,14.2,3359800
BDMS,20060424,27.75,28.25,27.75,28,675400
BEC,20060424,15.1,15.1,15,15,2259500
BFIT,20060424,11.4,11.4,11,11,1451800
BH,20060424,36.25,36.25,36,36,192752
BIGC,20060424,38.5,38.5,38.5,38.5,800
BJC,20060424,4.75,4.75,4.725,4.75,25000
BKI,20060424,148,148,148,148,31800
BKKCP,20060424,8.9,9,8.9,9,51500
BLAND,20060424,0.79,0.79,0.77,0.77,24854124
BLISS,20060424,2.125,2.125,1.9966,2.0252,1264200
BOL,20060424,0.22,0.238,0.22,0.238,3600
BROOK,20060424,0.73,0.73,0.71,0.73,140000
BSBM,20060424,1.68,1.71,1.66,1.66,11728700
BTC,20060424,1.82,1.83,1.76,1.77,11377100
BUI,20060424,17.8,17.8,17.4,17.4,2000
CCET,20060424,3.7,3.7,3.54,3.64,5413700
CCP,20060424,2.06,2.06,2.02,2.02,1244100
CEN,20060424,2.7,2.78,2.68,2.74,14831500
CENTEL,20060424,5.2571,5.2571,5.2571,5.2571,40400
CFRESH,20060424,2.66,2.7,2.66,2.68,250800
CHARAN,20060424,46,46,46,46,1500
CHUO,20060424,12.2,12.3,12.2,12.3,9400
CI,20060424,4.54,4.58,4.4,4.44,118600
CIG,20060424,1.74,1.74,1.71,1.74,2100
CIMBT,20060424,3.3079,3.3079,3.1565,3.1565,2521507
CITY,20060424,3.1,3.16,2.98,2.98,5203100
CK,20060424,10.9,10.9,10.7,10.7,2378200
CM,20060424,2.6349,2.6349,2.5985,2.6167,223757
CMO,20060424,1.81,1.82,1.8,1.8,28400
CMR,20060424,15.05,15.05,15.05,15.05,3372
